DateTime,AddedIPs,RemovedIPs
1579018275,4,6
1579021921,3,8
1579025494,4,5
1579029099,7,13
1579032744,7,4
1579036306,7,5
1579039919,6,3
1579043530,6,6
1579047190,16,6
1579050676,8,1
1579054336,4,2
1579057895,4,30
1579061540,4,4
1579065089,4,6
1579068722,5,4
1579072304,5,1
1579075949,2,6
1579079510,5,11
1579083100,6,12
1579086713,8,4
1579090329,7,4
1579093919,7,8
1579097529,6,8
1579101133,13,5
1579104731,3,3
1579108275,3,3
1579111933,4,4
1579115514,4,10
1579119121,6,4
1579122697,8,9
1579126306,6,6
1579129906,6,2
1579133823,21,4
1579137215,9,3
1579140723,4,5
1579144368,6,20
1579147921,5,11
1579151516,7,8
1579155118,3,5
1579158715,7,7
1579162294,4,6
1579165897,6,8
1579169524,12,5
1579173089,10,3
1579176710,5,3
1579180313,5,8
1579183910,5,10
1579187499,4,4
1579191100,8,6
1579194715,4,4
1579198297,4,7
1579201927,4,8
1579205485,3,7
1579209120,9,15
1579212717,11,4
1579216288,10,1
1579219922,10,5
1579223610,17,4
1579227123,16,3
1579230707,5,12
1579234318,3,30
1579237913,8,6
1579241510,6,2
1579245156,7,12
1579248706,9,8
1579252313,12,13
1579255929,13,8
1579259554,5,7
1579263110,8,4
1579266719,5,5
1579270343,5,10
1579273914,6,9
1579277518,5,12
1579281116,8,3
1579284744,6,4
1579288308,6,7
1579291939,10,3
1579295594,4,6
1579299111,6,10
1579302697,6,16
1579306339,13,4
1579309999,17,5
1579313544,11,7
1579317155,11,8
1579320791,3,30
1579324341,9,8
1579327962,8,8
1579331566,1,4
1579335183,6,2
1579338768,2,1
1579342359,2,4
1579345954,3,5
1579349572,5,12
1579353153,9,6
1579356774,2,6
1579360358,5,6
1579363962,12,8
1579367531,6,3
1579371165,4,4
1579374742,6,2
1579378348,5,7
1579381986,6,6
1579385549,6,7
1579389166,6,11
1579392768,11,5
1579396388,26,5
1579399960,2,7
1579403574,6,13
1579407150,12,15
1579410779,12,2
1579414393,4,4
1579417962,1,6
1579421580,6,3
1579425151,2,8
1579428753,5,4
1579432360,9,1
1579435966,4,7
1579439556,7,3
1579443172,1,3
1579446749,3,7
1579450374,4,9
1579453937,5,7
1579457578,4,4
1579461178,6,5
1579464748,6,6
