DateTime,Entries,UniqueIPs
1569232360,3,3
1569238104,2,2
1569270054,3,3
1569275799,5,5
1569312351,4,4
1569318277,3,3
1569357142,2,2
1569361215,1,1
1569403242,2,2
1569414090,1,1
1569428902,2,2
1569441897,3,3
1569444030,4,4
1569447904,5,5
1569459670,6,6
1569491072,6,6
1569515310,5,5
1569529477,4,4
1569531392,3,3
1569533543,2,2
1569537424,3,3
1569539314,4,4
1569545051,3,3
1569548900,4,4
1569560733,5,5
1569578187,4,4
1569612501,6,6
1569626176,4,4
1569628118,5,5
1569635782,4,4
1569647304,3,3
1569649217,4,4
1569651155,5,5
1569697734,4,4
1569714766,3,3
1569735865,2,2
1569737811,1,1
1569757212,0,0
1569781472,1,1
1569798984,2,2
1569869789,1,1
1569886341,1,1
1569890192,2,2
1569912267,3,3
1569918270,4,4
1569972746,3,3
1569976836,2,2
1569998694,1,1
1570002756,0,0
1570057967,1,1
1570101828,2,2
1570145541,1,1
1570173175,2,2
1570188509,1,1
1570231964,2,2
1570259573,1,1
1570277321,2,2
1570318125,1,1
1570361320,0,0
1570529790,1,1
1570604173,2,2
1570679307,1,1
1570688930,2,2
1570690915,1,1
1570773367,0,0
1570835790,1,1
1570877678,2,2
1570923615,1,1
1570962283,0,0
1571013146,1,1
1571015074,3,3
1571020817,4,4
1571037160,5,5
1571100761,3,3
1571102675,2,2
1571106766,1,1
1571122105,0,0
1571157876,1,1
1571207070,2,2
1571214749,3,3
1571244252,2,2
1571293694,1,1
1571299505,0,0
1571321337,1,1
1571342917,2,2
1571364112,3,3
1571385201,4,4
1571389276,5,5
1571408192,4,4
1571416097,5,5
1571420529,6,6
1571426433,8,8
1571430270,7,7
1571443721,8,8
1571451633,7,7
1571463382,8,8
1571471073,7,7
1571472975,8,8
1571477052,7,7
1571492420,8,8
1571500343,9,9
1571504177,8,8
1571506347,7,7
1571508509,8,8
1571512362,6,6
1571521946,7,7
1571529729,6,6
1571547415,7,7
1571549314,6,6
1571558981,6,6
1571570898,7,7
1571578821,6,6
1571586756,5,5
1571593234,4,4
1571598995,5,5
1571606650,4,4
1571613377,5,5
1571630672,6,6
1571634514,5,5
1571646317,5,5
1571652997,6,6
1571657077,5,5
1571685185,4,4
1571700266,3,3
1571715870,4,4
1571733655,3,3
1571769776,4,4
1571785479,3,3
1571802972,2,2
1571826252,3,3
1571854115,2,2
1571873567,1,1
1571910971,0,0
1571921302,1,1
1571958292,2,2
1572007954,1,1
1572033881,2,2
1572045860,1,1
1572095066,2,2
1572097225,3,3
1572101080,4,4
1572119357,3,3
1572134517,4,4
1572182219,3,3
1572184102,2,2
1572187965,1,1
1572216973,0,0
1572230479,1,1
1572254907,2,2
1572317537,1,1
1572337962,0,0
1572400843,1,1
1572410922,4,4
1572438540,5,5
1572477646,6,6
1572487391,5,5
1572497568,2,2
1572525620,1,1
1572559005,2,2
1572564800,1,1
1572598339,2,2
1572608449,3,3
1572645394,2,2
1572649732,3,3
1572685033,2,2
1572696768,1,1
1572715971,2,2
1572737569,1,1
1572800189,0,0
1572859259,1,1
1572900276,2,2
1572906262,3,3
1572945933,3,3
1572987399,2,2
1572991347,1,1
1573032276,0,0
1573069705,1,1
1573108886,2,2
1573116760,3,3
