DateTime,AddedIPs,RemovedIPs
1579815383,1,0
1579817297,3,6
1579819213,7,4
1579821158,1,6
1579823055,4,1
1579824980,2,2
1579826896,5,4
1579828816,4,4
1579830752,4,3
1579832659,2,5
1579834581,6,5
1579836500,8,5
1579838640,2,9
1579840568,5,2
1579842521,1,2
1579844417,2,3
1579846337,4,11
1579848262,4,5
1579850196,6,3
1579852144,5,4
1579854050,8,2
1579855964,3,7
1579857873,4,6
1579859777,2,3
1579861723,4,5
1579863709,4,6
1579865567,3,3
1579867731,3,9
1579869620,3,6
1579871567,1,3
1579873463,1,1
1579875406,5,2
1579877306,1,3
1579879220,1,0
1579881161,1,3
1579883057,2,3
1579885004,1,2
1579888886,1,2
1579890754,2,1
1579892930,2,1
1579894822,3,0
1579896993,2,2
1579898915,1,3
1579900820,1,1
1579902738,2,2
1579904719,3,4
1579906620,2,5
1579908667,2,1
1579910532,4,1
1579912364,0,5
1579914299,2,2
1579916198,6,4
1579918107,3,4
1579920021,5,6
1579921951,2,4
1579923865,4,5
1579925779,3,2
1579927701,4,4
1579929630,1,3
1579931541,2,4
1579933469,3,3
1579935381,5,5
1579937301,4,5
1579940423,5,7
1579942332,1,3
1579944266,7,5
1579946177,5,4
1579948094,3,5
1579950136,4,2
1579951941,3,4
1579953937,0,3
1579955783,3,0
1579957702,3,0
1579959613,2,2
1579961551,5,4
1579963452,3,1
1579965385,2,1
1579967308,2,1
1579969210,0,2
1579971127,1,1
1579973053,5,0
1579974983,1,2
1579976891,3,1
1579979794,2,2
1579981702,4,1
1579983624,0,1
1579985533,2,1
1579987452,5,0
1579989390,4,1
1579991292,1,3
1579994177,5,3
1579996100,2,1
1579998264,6,1
1580000169,6,2
1580002091,3,3
1580005290,10,4
1580007126,6,3
1580009090,4,6
1580010974,1,0
1580012891,3,1
1580015780,7,2
1580017712,4,1
1580019681,0,1
1580021529,2,1
1580023467,3,4
1580025385,3,2
1580027291,3,5
1580029325,2,3
1580031136,2,5
1580033301,3,3
1580035214,4,4
1580037149,28,6
1580039068,415,2
1580040983,478,2
1580042909,0,1
1580044814,1,1
1580046728,0,3
1580048663,1,5
1580050571,2,3
1580052491,1,0
1580054561,3,4
1580056575,1,2
1580058510,1,3
1580060412,3,2
1580062334,1,3
1580064268,4,1
1580066175,2,1
1580068094,5,3
1580071928,0,1
1580073855,4,5
1580075785,1,4
1580080576,2,8
1580082499,1,1
1580084421,2,4
1580086328,3,8
1580088253,6,1
1580090192,2,5
1580092094,3,7
1580094222,5,7
1580096173,4,3
1580098103,7,4
1580100011,3,3
1580101937,1,2
1580103877,2,4
1580105773,3,4
1580107760,5,2
1580109622,2,3
1580111558,2,4
1580113456,2,2
1580115389,3,3
1580117310,2,2
1580119384,2,3
1580121368,2,6
1580123307,5,0
1580125213,3,366
1580127142,3,561
1580129077,0,2
1580130985,1,1
1580132896,0,2
1580134829,0,2
1580136748,2,0
1580138656,2,1
1580140590,1,2
1580144464,2,1
1580146366,2,2
1580148518,2,5
1580150417,4,1
1580152600,1,4
1580154498,3,2
1580156428,2,2
1580158333,2,2
1580160271,2,3
1580162174,1,1
1580164107,5,1
1580166089,1,2
1580167939,1,0
1580169754,1,3
1580171571,1,4
1580173715,1,3
1580175613,1,3
1580177535,3,1
1580179471,5,7
1580181376,10,2
1580183306,5,6
1580185223,7,3
1580187131,2,3
1580189062,5,3
1580190969,4,1
1580192891,5,2
1580194985,3,6
1580196988,3,2
1580198907,5,3
1580200811,7,3
1580202752,1,3
1580204650,7,3
1580206581,7,3
1580208507,2,3
1580210410,3,3
1580212334,4,3
1580214269,1,3
1580216172,2,1
1580218090,2,0
1580220142,0,1
1580222169,1,4
1580224127,0,2
1580226013,2,2
1580227931,4,1
1580229863,1,1
1580232165,4,3
1580234190,1,3
1580236101,1,6
1580238166,3,1
1580240179,3,3
1580242108,0,2
1580244019,2,0
1580245932,2,1
1580247868,4,0
1580249775,1,4
1580251696,4,5
1580253655,1,3
1580255535,1,1
1580257453,2,0
1580259404,3,0
1580261320,4,1
1580263308,1,1
1580265144,1,3
1580267324,2,5
1580269230,3,3
1580271158,1,6
1580273066,1,5
1580274983,4,3
1580276900,3,4
1580278829,5,4
1580280734,5,5
1580282679,2,5
1580284575,4,4
1580286507,4,7
1580288596,2,3
1580290575,1,6
1580292532,2,8
1580294415,5,3
1580296338,2,3
1580298266,3,6
1580300189,1,1
1580302103,3,0
1580304010,2,2
1580305931,2,2
1580307928,4,1
1580309770,2,0
1580311712,2,3
1580313932,3,4
1580315788,2,1
1580317703,2,2
1580319612,0,2
1580321550,0,1
1580323468,3,1
1580325373,4,3
1580327308,3,3
1580329213,5,2
1580331129,5,1
1580333067,9,2
1580334971,3,2
1580336922,4,2
1580338977,1,2
1580340991,2,2
1580343165,0,3
1580345055,2,4
1580346972,2,3
1580348906,1,0
1580350817,3,2
1580352729,2,2
1580354663,6,1
1580356575,2,1
1580358738,3,0
1580360689,3,4
1580362630,0,2
1580364503,1,3
1580366416,2,4
1580368347,0,4
1580370284,2,3
1580372177,1,3
1580374109,2,6
1580376024,1,2
1580377931,1,4
1580379866,5,5
1580381773,2,2
1580383696,3,1
1580385774,2,4
1580387772,3,6
1580389691,0,3
1580391626,1,2
1580393533,1,4
1580395472,1,4
1580397376,0,1
1580399309,1,2
1580401216,1,5
1580403129,1,1
1580405065,0,3
1580406973,0,1
1580408907,1,2
1580410972,0,3
1580412985,1,3
1580414902,1,6
1580416833,4,5
1580418732,1,2
1580420668,4,11
1580422840,2,2
1580424732,2,1
1580426662,0,1
1580428585,2,0
1580430520,4,1
1580433621,4,4
1580435530,4,2
1580437461,3,1
1580439375,2,2
1580441295,0,6
1580444174,0,3
1580446104,3,4
1580448012,3,1
1580449928,3,3
1580451738,4,0
1580453828,0,2
1580455697,2,2
1580457820,3,1
1580459776,3,0
1580461709,2,2
1580463617,2,3
1580465537,1,0
1580467479,0,4
1580469381,1,3
1580471297,3,3
1580473223,1,1
1580475133,0,2
1580478971,2,2
1580480888,3,0
1580482947,4,2
1580484983,1,1
1580487157,0,2
1580489059,2,1
1580492490,4,0
1580494347,1,1
1580498446,1,0
1580500330,2,1
1580502258,0,1
1580504185,1,2
1580506097,1,1
1580508097,0,3
1580509990,4,3
1580511899,0,2
1580513777,5,1
1580515738,1,5
1580517617,6,3
1580519533,1,2
1580521472,1,3
1580523403,4,2
1580525300,1,2
1580527215,0,1
1580529146,1,1
1580531068,1,0
1580532982,6,4
1580534896,4,2
1580537150,2,6
1580538988,3,2
1580541139,0,2
1580543058,0,4
1580544990,4,3
1580546894,0,2
1580548822,4,3
1580550733,4,2
1580552688,0,2
1580554574,2,1
1580556517,1,4
1580559414,4,6
1580561293,2,0
1580563236,4,0
1580565137,0,1
1580567067,1,2
1580568993,1,4
1580570895,0,2
1580573095,3,2
1580574975,8,2
1580576922,2,1
1580578820,5,2
1580580879,1,0
1580582896,0,4
1580584845,0,1
1580586733,0,1
1580588670,5,0
1580590573,2,2
1580592528,2,1
1580595872,4,3
1580597774,2,0
1580599692,5,1
1580601775,4,1
1580603787,1,6
1580605697,2,2
1580607613,0,1
1580609556,3,1
1580611455,6,5
1580613388,9,1
1580615308,2,1
1580617221,2,1
1580619145,5,5
