DateTime,AddedIPs,RemovedIPs
1579828816,11,16
1579830752,19,22
1579832660,20,11
1579834581,14,26
1579836500,8,44
1579838669,21,28
1579840569,15,17
1579842521,14,27
1579844418,23,23
1579846337,11,18
1579848263,15,14
1579850196,6,31
1579852153,17,15
1579854052,10,22
1579855965,10,30
1579857874,25,28
1579859778,16,23
1579861723,8,18
1579863732,11,12
1579865568,18,13
1579867731,9,22
1579869620,17,25
1579871568,13,29
1579873464,23,16
1579875408,18,18
1579877307,22,17
1579879221,15,10
1579881161,23,15
1579883057,13,17
1579885004,12,13
1579886900,16,20
1579888907,11,27
1579890754,13,15
1579892931,24,16
1579894822,14,13
1579896994,12,18
1579898915,15,10
1579900821,17,17
1579902738,8,14
1579904720,14,20
1579906622,16,22
1579908668,5,19
1579910546,8,16
1579912364,13,10
1579914305,3,12
1579916199,8,23
1579918107,1,24
1579920022,4,17
1579921951,14,23
1579923865,9,15
1579925780,9,18
1579927703,10,16
1579929630,5,20
1579931542,7,23
1579933469,6,12
1579935382,9,12
1579937302,8,7
1579940424,12,24
1579942333,29,150
1579944267,138,26
1579946177,9,14
1579948094,8,4
1579950159,8,4
1579952186,15,26
1579954109,18,8
1579956011,20,11
1579957950,13,12
1579959851,13,21
1579961776,10,13
1579963714,5,19
1579965608,15,18
1579967529,13,23
1579969476,16,15
1579971392,10,10
1579973310,14,15
1579975325,11,11
1579977158,7,8
1579979094,11,23
1579980972,8,22
1579982913,12,9
1579984835,22,11
1579986735,14,14
1579988666,13,10
1579990587,23,7
1579992508,12,11
1579994427,11,17
1579996331,15,6
1579998264,15,6
1580000169,9,10
1580002091,14,5
1580005290,18,5
1580007127,2,2
1580009090,5,20
1580010974,10,10
1580012892,13,3
1580014869,12,11
1580016732,13,1
1580018708,8,8
1580020582,5,6
1580022509,7,9
1580024424,8,6
1580026348,17,6
1580028256,18,12
1580030193,7,13
1580032108,3,7
1580034014,8,4
1580035947,9,5
1580037867,8,18
1580039777,19,13
1580041697,10,21
1580044588,19,13
1580046508,12,10
1580048413,12,10
1580050330,9,5
1580052264,13,14
1580054172,14,16
1580056101,8,5
1580058108,13,10
1580059950,6,11
1580062831,34,15
1580064735,28,3
1580066660,12,16
1580068589,8,16
1580070503,3,20
1580073383,20,16
1580075322,11,14
1580077229,8,12
1580079415,11,6
1580081294,10,20
1580083387,11,13
1580085193,5,9
1580087101,4,6
1580088976,14,8
1580090922,3,9
1580092840,2,6
1580094741,9,7
1580096670,8,14
1580098578,9,14
1580100504,7,19
1580102433,11,11
1580104332,16,9
1580106259,15,4
1580108693,24,12
1580110575,7,9
1580112505,8,14
1580114422,8,24
1580116339,7,6
1580118270,4,9
1580122352,15,17
1580124255,6,11
1580126205,11,10
1580128094,6,5
1580130228,10,11
1580132185,12,12
1580134105,13,12
1580136060,22,5
1580138196,9,11
1580140098,6,7
1580142031,12,8
1580143934,6,18
1580145853,13,7
1580147786,14,14
1580149705,14,22
1580151868,14,17
1580153779,11,28
1580155723,14,5
1580157618,2,10
1580159562,6,12
1580161457,7,12
1580163403,10,9
1580165315,10,12
1580167219,16,15
1580169149,12,11
1580171056,14,6
1580172990,5,4
1580174892,16,14
1580176954,5,6
1580178969,15,2
1580181158,10,16
1580183053,12,6
1580184977,14,16
1580186915,11,8
1580188810,13,14
1580190728,11,17
1580192666,9,18
1580194622,14,21
1580196494,11,14
1580198518,9,5
1580200336,19,152
1580202350,156,11
1580204191,1843,5
1580206093,144,3
1580208014,23,5
1580209953,20,9
1580211876,18,7
1580213784,16,10
1580215705,16,9
1580217612,18,7
