DateTime,AddedIPs,RemovedIPs
1579767638,0,3
1579769558,4,1
1579771480,2,1
1579773374,0,3
1579775295,12,4
1579777528,2,2
1579779386,1,1
1579781570,2,3
1579783457,1,3
1579785428,12,9
1579787338,2,2
1579789221,1,1
1579791174,22,2
1579793061,4,1
1579794982,3,1
1579796900,0,1
1579799118,1,0
1579800979,1,4
1579802896,1,1
1579804818,1,2
1579807019,0,5
1579810815,0,3
1579812743,2,1
1579814660,1,1
1579816595,0,6
1579818494,1,1
1579820671,1,0
1579822587,5,1
1579824492,2,6
1579826413,4,1
1579828339,1,10
1579830250,14,2
1579832193,4,1
1579834096,2,2
1579836027,1,1
1579837939,2,1
1579839891,0,1
1579841799,0,12
1579843718,1,4
1579845855,2,1
1579847790,1,2
1579849717,4,6
1579853541,11,0
1579855458,4,1
1579857409,1,3
1579859294,4,0
1579861214,5,9
1579863138,1,6
1579865080,1,0
1579866975,2,1
1579868892,7,2
1579871072,5,1
1579873055,9,13
1579874932,9,2
1579876830,5,6
1579878760,2,19
1579880795,0,4
1579882829,3,1
1579884734,1,1
1579888593,1,1
1579890492,1,1
1579892591,0,1
1579894824,2,0
1579896996,2,1
1579898917,2,0
1579900822,0,3
1579902740,1,1
1579904722,0,2
1579908670,1,4
1579910642,0,1
1579912574,1,1
1579914757,4,1
1579916655,1,10
1579918576,2,3
1579920511,2,3
1579922445,1,1
1579926256,1,1
1579930097,0,1
1579932258,1,2
1579934185,1,1
1579936099,1,1
1579938024,6,1
1579939957,3,2
1579941854,9,1
1579943836,1,0
1579945735,0,2
1579947641,2,0
1579949554,0,1
1579953398,2,0
1579955295,0,1
1579957502,2,4
1579959388,1,3
1579961311,1,2
1579963219,1,1
1579965161,1,1
1579967065,1,0
1579968979,0,2
1579970922,0,3
1579974746,1,1
1579976665,2,1
1579978608,1,0
1579980523,3,2
1579982714,3,1
1579984592,5,3
1579986506,0,2
1579990357,0,2
1579992281,3,0
1579994180,4,0
1579996104,3,2
1579998267,4,2
1580000171,0,3
1580002094,3,2
1580006183,0,1
1580008122,0,2
1580010030,1,0
1580011954,2,1
1580013854,1,0
1580015781,1,0
1580017713,1,1
1580019683,0,2
1580021530,0,1
1580023469,1,0
1580025387,1,8
1580027292,0,4
1580029415,1,5
1580031383,1,0
1580033302,2,1
1580035215,2,1
1580037150,28,1
1580039070,413,1
1580040984,972,1
1580042910,2590,3
1580044815,1076,0
1580046729,1755,2
1580048665,1161,0
1580050573,1735,0
1580052492,1458,2
1580054607,1700,0
1580056578,1746,0
1580058516,1637,0
1580060415,2092,2
1580062336,1530,1
1580064271,1646,2
1580066178,1433,1
1580068101,1818,2
1580070030,1489,4
1580071931,1824,2
1580073859,1381,0
1580075790,2065,1
1580077691,1926,2
1580080579,166,1
1580082503,1,1
1580086332,1,0
1580088257,1,1
1580090196,0,2
1580092110,1,0
1580096198,2,2
1580098108,2,1
1580100014,1,0
1580103880,0,2
1580105776,1,0
1580107805,1,1
1580111568,2,1
1580113459,1,1
1580115391,2,0
1580117312,1,0
1580119458,1,1
1580121370,0,1
1580123313,4,1
1580125218,1,363
1580127162,1,834
1580129086,3,2649
1580130987,1,1116
1580132898,0,1665
1580134832,0,1204
1580136752,0,1673
1580138658,1,1431
1580140596,1,1777
1580142496,4,1445
1580145630,3,3116
1580147542,0,1801
1580149455,2,1460
1580151422,0,1639
1580153290,1,1481
1580155257,4,1794
1580157151,1,1450
1580159139,0,1687
1580160988,0,1734
1580162963,0,1585
1580164854,0,1739
1580166757,1,0
1580168654,1,0
1580170578,2,0
1580174440,0,1
1580176331,0,1
1580178257,1,0
1580180189,3,0
1580182111,1,2
1580184213,1,1
1580186212,0,1
1580191949,2,1
1580193853,1,1
1580195799,1,1
1580197708,2,3
1580199612,1,1
1580203465,3,0
1580205373,1,3
1580210178,2,3
1580212107,2,0
1580214011,0,2
1580215935,0,3
1580217868,0,1
1580219777,2,0
1580221712,2,0
1580223794,2,1
1580225777,1,1
1580227730,2,2
1580229613,0,2
1580231563,1,2
1580233458,1,0
1580235407,0,4
1580237299,1,0
1580239233,1,0
1580241135,0,3
1580243056,2,4
1580245010,0,2
1580246930,2,1
1580252913,3,0
1580254815,1,1
1580256740,3,3
1580258666,1,0
1580260577,3,0
1580262493,3,1
1580264439,4,1
1580266349,0,3
1580268260,1,1
1580272099,1,0
1580275221,2,0
1580277127,1,0
1580279050,0,3
1580280981,75,0
1580282909,0,2
1580286017,3,1
1580287946,1,1
1580289858,0,1
1580291781,1,0
1580293691,1,0
1580295762,1,3
1580297780,3,0
1580299715,1,0
1580301614,0,1
1580303555,1,0
1580307374,1,0
1580309311,1,3
1580311217,1,2
1580315065,3,1
1580316975,1,1
1580320977,1,1
1580322988,2,0
1580324894,2,1
1580326813,0,1
1580328747,0,1
1580330653,1,0
1580332580,2,2
1580334507,4,0
1580336409,3,2
1580340265,1,0
1580342169,0,4
1580344132,2,7
1580346101,3,4
1580347930,2,1
1580349783,3,4
1580351785,5,1
1580353692,5,0
1580355622,1,2
