DateTime,Entries,UniqueIPs
1579767638,147,147
1579769558,150,150
1579771480,151,151
1579773374,148,148
1579775295,156,156
1579777528,156,156
1579779386,156,156
1579781570,155,155
1579783457,153,153
1579785428,156,156
1579787338,156,156
1579789221,156,156
1579791174,176,176
1579793061,179,179
1579794982,181,181
1579796900,180,180
1579799118,181,181
1579800979,178,178
1579802896,178,178
1579804818,177,177
1579807019,172,172
1579810815,169,169
1579812743,170,170
1579814660,170,170
1579816595,164,164
1579818494,164,164
1579820671,165,165
1579822587,169,169
1579824492,165,165
1579826413,168,168
1579828339,159,159
1579830250,171,171
1579832193,174,174
1579834096,174,174
1579836027,174,174
1579837939,175,175
1579839891,174,174
1579841799,162,162
1579843718,159,159
1579845855,160,160
1579847790,159,159
1579849717,157,157
1579853541,168,168
1579855458,171,171
1579857409,169,169
1579859294,173,173
1579861214,169,169
1579863138,164,164
1579865080,165,165
1579866975,166,166
1579868892,171,171
1579871072,175,175
1579873055,171,171
1579874932,178,178
1579876830,177,177
1579878760,160,160
1579880795,156,156
1579882829,158,158
1579884734,158,158
1579888593,158,158
1579890492,158,158
1579892591,157,157
1579894824,159,159
1579896996,160,160
1579898917,162,162
1579900822,159,159
1579902740,159,159
1579904722,157,157
1579908670,154,154
1579910642,153,153
1579912574,153,153
1579914757,156,156
1579916655,147,147
1579918576,146,146
1579920511,145,145
1579922445,145,145
1579926256,145,145
1579930097,144,144
1579932258,143,143
1579934185,143,143
1579936099,143,143
1579938024,148,148
1579939957,149,149
1579941854,157,157
1579943836,158,158
1579945735,156,156
1579947641,158,158
1579949554,157,157
1579953398,159,159
1579955295,158,158
1579957502,156,156
1579959388,154,154
1579961311,153,153
1579963219,153,153
1579965161,153,153
1579967065,154,154
1579968979,152,152
1579970922,149,149
1579974746,149,149
1579976665,150,150
1579978608,151,151
1579980523,152,152
1579982714,154,154
1579984592,156,156
1579986506,154,154
1579990357,152,152
1579992281,155,155
1579994180,159,159
1579996104,160,160
1579998267,162,162
1580000171,159,159
1580002094,160,160
1580006183,159,159
1580008122,157,157
1580010030,158,158
1580011954,159,159
1580013854,160,160
1580015781,161,161
1580017713,161,161
1580019683,159,159
1580021530,158,158
1580023469,159,159
1580025387,152,152
1580027292,148,148
1580029415,144,144
1580031383,145,145
1580033302,146,146
1580035215,147,147
1580037150,174,174
1580039070,586,586
1580040984,1557,1557
1580042910,4144,4144
1580044815,5220,5220
1580046729,6973,6973
1580048665,8134,8134
1580050573,9869,9869
1580052492,11325,11325
1580054607,13025,13025
1580056578,14771,14771
1580058516,16408,16408
1580060415,18498,18498
1580062336,20027,20027
1580064271,21671,21671
1580066178,23103,23103
1580068101,24919,24919
1580070030,26404,26404
1580071931,28226,28226
1580073859,29607,29607
1580075790,31671,31671
1580077691,33595,33595
1580080579,33760,33760
1580082503,33760,33760
1580086332,33761,33761
1580088257,33761,33761
1580090196,33759,33759
1580092110,33760,33760
1580096198,33760,33760
1580098108,33761,33761
1580100014,33762,33762
1580103880,33760,33760
1580105776,33761,33761
1580107805,33761,33761
1580111568,33762,33762
1580113459,33762,33762
1580115391,33764,33764
