DateTime,AddedIPs,RemovedIPs
1579839891,21,19
1579841798,13,22
1579843718,13,26
1579845825,18,21
1579847790,17,24
1579849716,14,12
1579851621,13,18
1579853540,10,14
1579855458,13,14
1579857408,17,23
1579859293,15,115
1579861213,12,471
1579863137,19,303
1579865079,22,454
1579866974,14,268
1579868892,21,281
1579871053,13,561
1579873047,8,602
1579874932,14,504
1579876829,14,550
1579878759,22,464
1579880794,27,608
1579882829,319,362
1579884734,596,637
1579886654,552,535
1579888593,617,619
1579890492,531,503
1579892571,703,681
1579894824,725,803
1579896995,634,563
1579898917,596,608
1579900822,453,542
1579902740,618,724
1579904721,583,589
1579906624,678,901
1579908669,154,246
1579910622,350,320
1579912573,583,728
1579914757,632,911
1579916655,641,294
1579918575,534,16
1579920511,642,10
1579922445,336,13
1579924354,396,10
1579926255,415,21
1579928236,697,17
1579930097,579,13
1579932241,811,23
1579934185,616,15
1579936099,461,12
1579938024,126,13
1579939957,16,11
1579941853,19,10
1579943825,16,15
1579945734,13,15
1579947640,10,12
1579949554,12,18
1579951478,11,20
1579953398,11,14
1579955295,69,20
1579957502,12,14
1579959388,20,8
1579961311,21,13
1579963218,14,13
1579965160,10,22
1579967064,9,27
1579968978,8,228
1579970921,13,615
1579972829,12,540
1579974745,17,618
1579976664,16,523
1579978608,24,705
1579980522,11,598
1579982710,12,659
1579984592,17,579
1579986505,16,450
1579988422,11,601
1579990357,16,540
1579992280,15,683
1579994180,17,345
1579996103,12,227
1579998266,16,551
1580000171,15,633
1580002093,12,553
1580004211,18,649
1580006182,76,596
1580008121,11,456
1580010029,19,364
1580011954,42,388
1580013853,51,606
1580015781,25,593
1580017713,22,757
1580019683,17,652
1580021530,11,538
1580023469,23,292
1580025386,12,58
1580027292,21,23
1580029395,17,20
1580031382,22,18
1580033302,15,18
1580035215,28,21
1580037150,16,13
1580039069,16,16
1580040984,16,25
1580042910,235,61
1580044815,292,15
1580046729,349,20
1580048665,289,24
1580050572,338,13
1580052492,277,13
1580054598,335,12
1580056577,344,18
1580058515,303,14
1580060414,332,14
1580062336,300,21
1580064270,369,26
1580066177,295,14
1580068100,337,17
1580070029,316,11
1580071930,373,23
1580073858,301,18
1580075789,350,14
1580077690,298,18
1580080579,433,26
1580082502,207,15
1580084424,334,16
1580086331,350,17
1580088256,352,13
1580090195,390,15
1580092109,321,22
1580094294,397,14
1580096175,354,17
1580098107,334,13
1580100013,370,26
1580101938,353,19
1580103879,332,22
1580105775,308,11
1580107804,315,12
1580109623,283,14
1580111567,380,8
1580113457,319,11
1580115390,383,17
1580117311,341,19
1580119434,411,15
1580121369,326,15
1580123312,304,17
1580125217,483,9
1580127145,464,9
1580129085,533,202
1580130986,450,295
1580132897,482,339
1580134831,89,302
1580136751,19,355
1580138657,20,286
1580140595,14,327
1580142495,15,301
1580145629,33,522
1580147541,25,334
1580149455,19,318
1580151421,24,376
1580153290,18,299
1580155242,17,348
1580157150,25,333
1580159137,21,340
1580160988,21,343
1580162963,16,303
1580164854,19,352
1580166757,17,284
1580168653,17,176
1580170578,30,321
1580172497,27,358
1580174440,20,356
1580176330,25,381
1580178257,26,327
1580180189,14,389
1580182110,15,305
1580184195,29,401
1580186211,18,366
1580188107,24,339
1580190016,15,358
1580191949,15,295
1580193852,23,329
1580195799,17,277
1580197707,17,371
1580199611,11,329
1580201527,16,377
1580203464,24,320
1580205373,16,425
1580207288,19,335
1580210178,28,429
1580212107,18,550
1580214011,18,426
1580215934,26,540
1580217867,24,452
1580219777,30,398
1580221712,27,54
1580223775,28,22
1580225777,36,24
1580227729,27,16
1580229613,30,31
1580231563,21,15
1580233457,33,25
1580235407,25,17
1580237299,31,32
1580239233,17,27
1580241135,17,18
1580243056,19,21
1580245009,22,36
1580246929,26,19
1580249098,28,22
1580250977,31,25
1580252912,21,19
1580254814,25,24
1580256740,21,38
1580258665,18,30
1580260576,24,25
1580262492,25,21
1580264439,30,28
1580266349,27,23
1580268260,23,19
1580270198,23,25
1580272099,27,25
1580274159,30,25
1580276173,24,20
1580278107,27,17
1580280016,19,21
1580281937,13,20
1580283876,23,18
1580285784,31,14
1580287717,22,23
1580289622,32,22
1580291532,35,19
1580293459,23,20
1580295384,25,17
1580297292,20,18
1580300425,41,32
1580302333,17,23
1580304272,25,23
1580306172,25,29
1580307972,76,24
1580310153,25,24
1580311966,11,34
1580313939,34,26
1580315792,22,28
1580317705,26,26
1580319613,29,28
1580321551,27,18
1580323470,22,28
1580325375,17,23
1580327310,24,21
1580329215,18,20
1580331131,30,17
1580333069,20,27
1580334973,30,31
1580336924,22,26
1580339059,24,26
1580340992,20,21
1580343166,24,22
1580345057,32,19
1580346974,15,27
1580348907,19,31
1580350818,22,26
1580352730,23,29
1580354688,16,30
1580356576,23,23
1580358739,29,27
1580360712,18,28
1580362631,22,25
1580364515,19,25
1580366418,21,22
1580368348,22,17
1580370286,16,25
1580372182,22,33
1580374110,24,18
1580376025,23,31
1580377932,26,36
1580379868,23,25
1580381778,17,29
1580383697,12,22
1580385830,23,26
1580387773,24,15
1580389692,25,16
1580391627,27,35
1580393534,22,22
1580395477,22,77
1580397377,20,17
1580399311,26,19
1580401218,12,29
1580403130,23,29
1580405066,18,18
1580406977,30,33
1580408908,23,20
1580411050,28,24
1580412986,58,24
1580414904,21,21
1580416835,44,16
1580418733,33,29
1580420670,42,19
1580422841,68,24
1580424734,24,30
1580426663,27,14
1580428586,17,27
1580430543,25,23
1580432616,22,27
1580434573,22,17
1580436755,41,22
1580438656,23,21
1580440602,23,21
1580442511,24,23
1580444416,17,19
1580446331,23,28
1580448297,30,17
1580450173,25,24
1580452124,34,21
1580454376,18,27
1580456413,20,17
1580458348,19,23
1580460277,16,17
1580462210,26,22
1580464094,20,22
1580466022,26,27
1580467937,29,19
1580469852,28,20
1580471784,19,21
1580473716,21,20
1580476844,46,49
1580478735,22,18
1580480673,36,24
1580482582,28,17
1580484745,23,24
1580486755,29,22
1580488709,25,16
1580490833,30,24
1580492905,26,29
1580494820,18,20
1580496758,24,24
1580498657,20,31
1580500591,18,49
1580502496,18,24
1580504611,22,54
1580506576,17,40
1580508528,14,72
1580510420,21,28
1580512340,21,25
1580514278,24,22
1580516177,30,22
1580518100,23,22
1580520030,26,25
1580521943,25,27
1580523858,24,24
1580525788,24,21
1580527703,16,21
1580529857,26,22
1580531785,37,20
1580533691,26,22
1580535632,28,32
1580537570,29,30
1580539497,27,21
1580541406,20,18
1580543306,27,19
1580545221,20,17
1580547164,24,23
1580549113,16,20
1580550985,41,26
1580552919,29,22
1580554978,27,32
1580556984,20,26
1580559163,23,19
1580561061,30,28
1580563237,17,41
1580565140,19,24
1580567081,20,34
1580568994,19,25
1580570896,14,19
1580573116,18,31
1580574976,19,19
1580576924,25,22
1580578824,20,23
1580580881,16,18
1580582897,22,23
1580584847,16,27
1580586734,21,18
1580588672,20,20
1580590574,21,15
1580592529,26,23
1580594590,20,15
1580596590,22,16
1580598502,27,29
1580600418,23,23
1580602388,19,24
1580604274,28,23
1580606177,11,21
1580608109,30,28
1580610017,28,22
1580611930,24,28
1580613866,25,19
1580615773,17,22
1580617690,24,29
1580619767,14,28
1580621784,23,32
1580623709,20,27
1580625615,28,26
1580627550,9,21
1580629480,30,25
1580631379,23,24
1580633309,20,29
1580635210,16,22
1580637150,29,38
1580639063,28,30
1580640972,18,29
1580642908,27,16
1580644907,21,29
1580646743,23,20
1580648661,22,23
1580650587,24,25
1580652505,20,18
1580654416,27,23
1580656351,22,14
1580658256,23,15
1580660427,24,15
1580662346,34,27
1580664254,28,24
1580666199,25,23
1580668363,27,16
1580670310,20,19
1580672180,16,17
1580674122,11,24
1580676030,11,15
1580677945,18,30
1580679879,17,19
1580682022,22,26
1580683948,23,26
1580685861,21,22
1580687785,27,22
1580689693,22,24
1580691866,13,23
1580693785,31,25
1580695697,15,23
1580697614,18,30
1580699567,24,18
1580701458,25,22
1580703379,19,25
1580705313,14,20
1580707239,17,7
1580709134,31,31
1580711100,21,22
1580712987,22,24
1580714904,21,23
1580717038,34,24
1580718997,30,26
1580720908,24,14
1580722820,26,21
1580724756,22,23
1580726661,24,28
1580728578,11,23
1580730513,20,23
1580732418,23,22
1580734351,18,24
1580736274,14,17
1580738177,25,25
1580740096,13,21
1580742237,21,22
1580744186,20,20
1580746115,10,16
1580748019,29,34
1580749962,13,25
1580751859,23,26
1580753779,18,25
1580755732,23,30
1580757617,28,17
1580759534,17,16
1580761475,19,9
1580763393,21,16
1580765306,24,23
1580767513,38,21
1580769392,39,22
1580771310,30,18
1580773216,26,21
1580775176,26,22
1580777060,17,21
1580778981,15,24
1580781027,36,24
1580782894,34,18
1580784841,31,19
1580786694,16,20
1580788602,23,28
1580790493,25,14
1580792687,23,12
1580794595,30,28
1580796508,33,24
1580798415,26,16
1580800464,22,38
1580802272,27,22
1580804176,33,24
1580806003,30,27
1580807843,28,19
1580809704,20,29
1580811642,22,19
1580813557,27,23
1580815466,31,19
