DateTime,AddedIPs,RemovedIPs
1579748195,2,1
1579750098,2,3
1579752226,3,2
1579754174,2,2
1579756131,0,2
1579758044,2,2
1579759972,5,1
1579761889,3,0
1579763779,3,0
1579765694,2,7
1579767638,0,1
1579769558,2,3
1579771481,0,3
1579773374,1,1
1579775296,5,2
1579777547,3,3
1579779386,0,1
1579781571,2,3
1579783457,3,4
1579785429,0,2
1579787338,1,0
1579789222,1,1
1579792119,3,1
1579794018,2,0
1579795978,0,1
1579797853,1,1
1579800020,0,1
1579801939,1,1
1579803856,0,1
1579805775,2,0
1579807720,1,3
1579809794,3,1
1579811770,1,1
1579813697,1,1
1579815613,0,1
1579817555,2,4
1579819454,4,2
1579821624,1,7
1579823533,1,1
1579825456,2,3
1579827374,3,1
1579829303,1,2
1579831483,2,1
1579833381,1,5
1579835314,2,1
1579837216,4,2
1579839136,1,1
1579841055,4,2
1579843014,2,1
1579844895,0,3
1579846815,1,3
1579848730,1,3
1579850655,4,3
1579852572,5,2
1579854494,2,1
1579856642,3,3
1579858603,5,0
1579860531,1,2
1579862420,3,4
1579864334,0,1
1579866261,3,1
1579868220,1,3
1579870104,2,2
1579872065,0,1
1579873963,2,1
1579875884,0,1
1579877829,0,2
1579879729,1,1
1579881871,3,1
1579883779,1,1
1579887624,0,1
1579889545,1,1
1579891468,1,1
1579893635,5,0
1579895537,2,0
1579897481,0,2
1579899379,1,0
1579901299,0,1
1579903354,3,1
1579905384,0,6
1579907249,1,0
1579909231,1,1
1579911141,1,0
1579913079,1,4
1579914977,1,1
1579916913,1,1
1579918813,0,5
1579920731,1,3
1579922699,1,3
1579924577,1,2
1579926492,2,1
1579929404,3,5
1579931316,3,0
1579933219,2,3
1579935135,1,1
1579937071,0,2
1579938976,1,5
1579940916,2,2
1579944010,7,2
1579946178,3,3
1579948095,2,3
1579950242,1,3
1579952187,1,2
1579954112,1,3
1579956012,2,1
1579957951,2,0
1579959852,0,1
1579961777,4,1
1579963734,1,0
1579965609,2,1
1579967530,0,1
1579969478,2,1
1579971393,1,0
1579973311,2,0
1579975385,1,1
1579977373,2,1
1579979315,2,2
1579981211,2,2
1579983152,1,1
1579985067,1,0
1579986981,3,0
1579988894,3,1
1579990832,1,1
1579992731,3,0
1579994657,3,3
1579998504,4,1
1580000664,0,1
1580002583,3,1
1580004502,3,1
1580006414,2,1
1580008346,2,2
1580010258,1,0
1580012228,5,5
1580014144,3,1
1580016017,2,1
1580017978,2,2
1580021772,3,1
1580023697,2,3
1580025848,4,1
1580027784,0,2
1580029727,0,2
1580031616,3,3
1580033578,2,6
1580035459,1,2
1580037402,59,3
1580039307,426,1
1580041256,436,1
1580043133,0,1
1580045066,2,0
1580046974,1,4
1580048890,4,2
1580050978,1,1
1580053234,2,1
1580055149,0,1
1580057073,1,1
1580058984,3,2
1580060898,1,0
1580062833,1,1
1580064737,2,1
1580066662,2,1
1580068591,1,0
1580070504,1,0
1580073385,2,3
1580075323,1,2
1580077231,0,1
1580079416,0,4
1580081296,2,2
1580083428,3,3
1580085380,1,1
1580087303,2,0
1580089213,1,1
1580091147,3,3
1580093064,2,2
1580094978,1,3
1580096927,5,3
1580098840,4,4
1580100728,2,3
1580102655,1,1
1580104582,1,2
1580106494,2,1
1580108695,2,2
1580110576,0,2
1580112506,0,3
1580114423,2,1
1580116341,1,0
1580118272,1,3
1580122354,4,3
1580124256,2,139
1580126206,1,572
1580128096,3,214
1580134109,1,1
1580136062,1,3
1580140099,1,2
1580143936,1,2
1580145855,4,2
1580147788,1,2
1580149707,2,1
1580151927,0,2
1580153781,1,2
1580155725,2,0
1580157620,1,2
1580159564,0,2
1580161460,4,1
1580163405,3,0
1580165318,3,0
1580167221,2,1
1580169151,1,1
1580171058,0,3
1580172992,0,3
1580174894,2,2
1580177021,1,1
1580178971,0,2
1580181160,3,2
1580183055,2,4
1580184979,5,6
1580186916,4,2
1580188812,2,0
1580190730,2,1
1580192668,4,2
1580194624,1,4
1580196496,6,1
1580199612,4,1
1580201528,3,3
1580203465,4,1
1580205374,5,2
1580207289,2,2
1580210179,2,4
1580212108,5,1
1580214011,1,3
1580215935,1,1
1580217868,1,1
1580219777,1,1
1580221713,1,3
1580223815,0,1
1580225778,0,2
1580227730,0,1
1580229613,0,1
1580231563,3,3
1580233458,3,3
1580235407,1,1
1580237300,0,1
1580239233,4,2
1580241135,2,1
1580243057,2,1
1580245010,3,0
1580246930,0,1
1580249109,1,1
1580250978,3,4
1580252913,0,2
1580254815,1,3
1580260577,4,2
1580262493,1,0
1580264440,0,1
1580266349,1,1
1580268260,2,3
1580270200,2,2
1580272099,2,2
1580275221,1,5
1580277127,1,2
1580279050,1,2
1580280982,2,1
1580282911,4,6
1580286018,1,4
1580287946,3,4
1580289859,0,2
1580291782,2,4
1580293692,2,2
1580296824,2,5
1580298729,1,3
1580300653,1,1
1580302601,3,0
1580304488,0,1
1580306530,2,2
1580308340,1,0
1580311218,3,1
1580313130,4,1
1580315066,2,0
1580316994,0,2
1580318893,1,4
1580320992,0,1
1580322989,3,1
1580324895,2,2
1580326813,2,2
1580328747,5,2
1580330653,6,0
1580332580,4,2
1580334508,7,1
1580336410,4,3
1580338330,1,1
1580340265,0,2
1580344133,0,1
1580347208,1,6
1580351066,3,0
1580352968,0,2
1580354892,2,1
1580356862,1,1
1580358739,2,0
1580360715,1,1
1580362631,0,1
1580364515,0,1
1580366418,0,1
1580368349,0,4
1580370286,1,2
1580372183,0,2
1580374111,2,2
1580376025,1,0
1580377932,0,2
1580379868,4,3
1580381779,3,2
1580383698,1,0
1580385838,2,2
1580387774,2,1
1580389693,0,3
1580391627,0,1
1580393535,0,3
1580395478,0,2
1580397378,0,1
1580399312,1,2
1580401218,0,4
1580403131,2,0
1580405067,0,1
1580408908,1,2
1580411059,0,1
1580412987,0,3
1580414904,1,6
1580416836,3,4
1580418734,0,3
1580420670,2,9
1580422842,0,4
1580424734,1,3
1580426664,2,0
1580430543,4,1
1580434573,0,2
1580436756,3,2
1580438657,1,0
1580440602,1,1
1580442512,0,2
1580446331,1,1
1580448297,1,1
1580450173,2,1
1580456413,1,1
1580460278,1,1
1580462211,1,2
1580464094,2,1
1580466023,1,3
1580467938,0,1
1580469853,2,2
1580471784,1,1
1580476844,0,1
1580478753,1,0
1580480673,2,0
