DateTime,AddedIPs,RemovedIPs
1579837941,102,38
1579839893,53,30
1579841802,176,20
1579843720,153,32
1579845899,69,39
1579847792,71,50
1579849718,31,48
1579851623,210,142
1579853544,201,69
1579855460,375,67
1579857412,44,79
1579859295,174,35
1579861216,171,26
1579863139,80,34
1579865081,121,48
1579866976,49,84
1579868894,107,54
1579871117,149,192
1579873086,302,69
1579874936,149,69
1579876833,64,121
1579878762,73,73
1579880797,22,83
1579882831,110,162
1579884736,53,54
1579886656,41,99
1579888597,151,143
1579890494,59,165
1579893636,55,122
1579895538,59,127
1579897482,78,134
1579899379,88,136
1579901300,119,102
1579903371,69,52
1579905384,90,45
1579907250,89,100
1579909231,82,126
1579911142,42,104
1579913081,48,70
1579914977,38,62
1579916914,34,35
1579918814,39,125
1579920731,71,140
1579922700,106,66
1579924577,88,96
1579926492,41,52
1579929405,131,335
1579931317,72,46
1579933221,52,36
1579935136,133,75
1579937072,97,129
1579938977,40,209
1579940916,78,271
1579943013,233,196
1579944985,147,128
1579946890,160,163
1579948825,191,145
1579950750,200,144
1579952655,140,34
1579954594,142,78
1579956520,85,134
1579958410,49,173
1579960332,76,332
1579962271,98,72
1579964174,73,74
1579966090,52,52
1579968187,41,49
1579970191,172,114
1579972115,51,50
1579974045,48,77
1579975940,77,116
1579977874,106,54
1579979795,74,31
1579981703,83,51
1579983625,40,98
1579985535,51,75
1579987455,39,132
1579989392,44,39
1579991293,93,69
1579993259,54,122
1579995158,55,92
1579998268,133,60
1580000173,53,29
1580002095,37,36
1580004335,98,29
1580006184,30,36
1580008123,58,114
1580010031,102,56
1580011955,47,89
1580013855,44,30
1580015783,37,99
1580017714,67,76
1580019685,132,78
1580021531,52,100
1580023471,104,114
1580025388,61,50
1580027294,83,80
1580029509,118,241
1580031384,49,168
1580033304,50,176
1580035217,59,179
1580037152,55,208
1580039089,207,156
1580040986,23,162
1580042912,156,115
1580044817,221,55
1580046731,134,65
1580048667,186,108
1580050574,49,96
1580052494,192,59
1580054688,164,59
1580056579,103,175
1580058519,39,56
1580060433,52,61
1580062338,64,73
1580064272,65,108
1580066180,89,80
1580068103,94,101
1580070032,46,40
1580071933,36,59
1580073860,83,45
1580075824,33,53
1580077692,82,94
1580079692,50,58
1580081551,57,56
1580083434,90,97
1580085381,124,52
1580087304,29,63
1580089213,41,46
1580091148,122,103
1580093065,130,39
1580094979,132,108
1580096929,190,86
1580098840,172,57
1580100729,162,40
1580102656,19,45
1580104583,26,70
1580106495,24,120
1580108696,137,74
1580110577,147,91
1580112508,50,66
1580114424,324,100
1580116342,357,106
1580118273,337,51
1580122355,84,102
1580124257,29,149
1580126207,85,84
1580128097,95,133
1580130309,34,97
1580132188,30,199
1580134110,27,130
1580136063,25,129
1580138203,31,110
1580140100,34,196
1580142033,28,130
1580143937,56,58
1580145855,60,50
1580147788,75,63
1580149707,72,59
1580152832,124,149
1580154731,76,91
1580156657,59,57
1580158593,71,45
1580160499,56,86
1580162614,67,32
1580164573,92,76
1580166759,83,70
1580168655,60,116
1580170580,61,107
1580172499,76,93
1580174442,59,44
1580176332,73,69
1580178259,61,74
1580180191,63,164
1580182112,65,215
1580184264,87,145
1580186213,73,248
1580188110,52,38
1580190019,61,26
1580191951,71,29
1580193854,60,121
1580195800,72,80
1580197709,55,130
1580199614,72,56
1580201529,88,478
1580203467,73,470
1580205375,66,219
1580207290,25,26
1580210180,58,68
1580212109,43,55
1580214013,39,156
1580215936,21,35
1580217869,48,33
1580219778,18,30
1580221715,37,31
1580223861,32,28
1580225779,28,42
1580227731,59,37
1580229615,45,53
1580231565,47,55
1580233459,48,78
1580235408,53,79
1580237301,38,85
1580239235,47,74
1580241136,37,82
1580243057,46,66
1580245011,31,76
1580246931,40,66
1580249123,22,85
1580250979,31,98
1580252914,27,86
1580254816,36,78
1580256742,43,61
1580258667,55,77
1580260597,34,63
1580262494,43,74
1580264440,38,76
1580266350,29,73
1580268262,44,66
1580270201,30,86
1580272100,17,72
1580274223,34,64
1580276175,31,64
1580278109,35,71
1580280018,40,63
1580281938,27,68
1580283878,36,68
1580285785,42,77
1580287718,40,93
1580289623,32,83
1580291533,30,73
1580293460,37,33
1580295385,38,46
1580297294,27,46
1580299327,31,40
1580301148,40,25
1580303153,42,33
1580304994,20,46
1580306899,27,23
1580308817,27,48
1580310754,37,29
1580312655,36,32
1580314578,62,69
1580316545,60,39
1580318416,51,58
1580320330,67,39
1580322294,37,57
1580324173,38,33
1580326092,42,43
1580328986,60,63
1580330913,45,31
1580332842,47,36
1580334775,53,28
1580336683,58,22
1580338576,45,31
1580340517,43,34
1580342726,51,46
1580344590,56,50
1580346521,42,37
1580348441,53,45
1580350360,42,51
1580352261,41,34
1580354179,39,44
1580356111,55,31
1580358015,46,22
1580359932,36,29
1580361869,40,27
1580363774,46,35
1580365952,40,42
1580367873,44,34
1580369788,43,28
1580371705,38,42
1580373615,50,36
1580375562,38,34
1580377457,48,34
1580379377,62,31
1580381311,57,36
1580383221,46,33
1580385141,73,31
1580387058,36,36
1580388980,33,48
1580390914,35,19
1580392955,33,34
1580394971,41,32
1580396791,27,40
1580398605,24,30
1580400525,51,52
1580402415,43,50
1580404365,40,64
1580406367,38,80
1580408215,20,61
1580410095,37,30
1580412027,37,45
1580413932,52,33
1580415853,69,37
1580417785,74,46
1580419691,71,40
1580421863,121,45
1580423789,57,56
1580425715,68,34
1580427618,76,50
1580429538,79,41
1580431463,54,57
1580433393,60,45
1580435296,62,42
1580437228,53,45
1580439135,70,45
1580441072,48,43
1580442986,52,46
1580444897,45,49
1580447071,32,40
1580448999,16,44
1580450898,27,42
1580452813,29,42
1580454736,21,33
1580456680,29,44
1580458581,18,47
1580460765,41,61
1580462655,50,37
1580464589,48,64
1580466500,33,55
1580468592,35,48
1580470572,37,67
1580472522,34,64
1580474420,24,26
1580476366,26,35
1580478260,17,38
1580480178,39,25
1580482116,35,39
1580484016,36,24
1580485938,44,34
1580487889,48,28
1580489878,54,49
1580491853,55,56
1580494008,50,33
1580496069,52,35
1580497967,29,36
1580499880,35,60
1580501778,42,48
1580503697,34,68
1580505631,27,80
1580507566,36,107
1580509476,33,69
1580511387,49,69
1580513294,26,69
1580516425,78,114
1580518330,34,64
1580520253,27,60
1580522184,33,56
1580524088,27,71
1580526068,47,58
1580527950,38,46
1580529913,46,43
1580531786,34,46
1580533693,23,25
1580535633,25,17
1580537571,29,33
1580539502,30,27
1580541407,31,19
1580543307,43,27
1580545223,42,20
1580547166,55,39
1580549132,37,54
1580550987,35,43
1580552921,71,34
1580555054,52,36
1580556986,42,38
1580559164,39,37
1580561063,23,23
1580563239,14,26
1580565188,26,29
1580567083,22,37
1580568996,73,36
1580570898,93,22
1580573124,100,39
1580574978,43,35
1580576926,31,32
1580578829,39,28
1580580888,55,35
1580582899,66,31
1580584862,44,22
1580586751,36,26
1580588675,40,27
1580590576,35,22
1580592531,30,16
1580594732,139,25
1580596592,29,32
1580598504,34,32
1580600421,56,29
1580602392,50,35
1580604276,19,33
1580606179,24,23
1580608111,70,17
1580610019,61,21
1580611932,49,31
1580613868,136,41
1580615775,63,30
1580617692,60,33
1580619883,44,22
1580621787,39,17
1580623712,33,30
1580625618,21,27
1580627552,41,17
1580629482,38,40
1580631381,61,38
1580633312,34,44
1580635213,12,33
1580637152,15,27
1580639066,23,45
1580640974,49,33
1580642910,29,24
1580644947,29,28
1580646989,46,15
1580648892,32,8
1580650814,18,12
1580652748,37,19
1580654654,40,33
1580656579,63,60
1580658518,64,131
1580660429,37,38
1580662347,38,36
1580664255,28,33
1580666200,21,32
1580668364,19,50
1580670314,18,51
1580672181,19,42
1580674123,24,32
1580676031,19,34
1580677946,23,27
1580679880,34,65
1580682023,63,99
1580683949,46,26
1580685861,45,39
1580687786,29,60
1580689694,28,39
1580691884,54,17
1580693786,45,57
1580695697,45,67
1580697615,32,36
1580699568,27,94
1580701458,27,106
1580703380,34,64
1580705314,12,53
1580707240,24,36
1580709135,21,35
1580711101,45,34
1580712988,18,42
1580714905,35,19
1580717050,57,65
1580718998,76,58
1580720909,44,15
1580722821,63,17
1580724757,47,16
1580726662,49,44
1580728580,73,34
1580730514,52,37
1580732420,55,36
1580734352,66,34
1580736275,63,21
1580738178,88,23
1580740097,63,60
1580742291,46,52
1580744187,44,55
1580746116,79,63
1580748020,39,37
1580749966,33,33
1580751862,40,22
1580753782,29,22
1580755736,46,19
1580757619,48,16
1580759538,47,20
1580761478,66,27
1580763396,42,17
1580765309,58,25
1580767538,56,45
1580769394,62,46
1580771312,49,35
1580773218,56,35
1580775178,32,28
1580777062,26,40
1580778984,23,45
1580781029,26,44
1580782896,25,40
1580784843,37,28
1580786696,39,30
1580788604,23,24
1580790495,26,24
1580792716,13,24
1580794598,26,24
1580796510,50,26
1580798418,40,28
1580800467,39,34
1580802275,45,36
1580804178,51,62
1580806005,75,66
1580807850,103,46
1580809706,131,47
1580811644,128,52
1580813559,138,50
1580815468,123,57
