DateTime,Entries,UniqueIPs
1579742450,64,64
1579744360,63,63
1579746267,63,63
1579748205,67,67
1579750101,69,69
1579752271,70,70
1579754176,73,73
1579756134,70,70
1579758048,70,70
1579759975,68,68
1579761891,68,68
1579763782,70,70
1579765697,72,72
1579767641,70,70
1579769561,70,70
1579771483,70,70
1579773377,71,71
1579775298,69,69
1579777554,67,67
1579779389,66,66
1579781574,66,66
1579783460,64,64
1579785431,64,64
1579787341,62,62
1579791218,64,64
1579793064,63,63
1579795004,63,63
1579796904,61,61
1579799125,63,63
1579800982,61,61
1579802899,62,62
1579804821,63,63
1579807022,65,65
1579808900,63,63
1579810830,65,65
1579812746,64,64
1579814663,61,61
1579816598,60,60
1579818498,62,62
1579820738,63,63
1579822593,65,65
1579824495,64,64
1579826416,63,63
1579828343,64,64
1579830254,63,63
1579832199,62,62
1579834122,62,62
1579836030,61,61
1579837942,61,61
1579839894,57,57
1579841805,57,57
1579843722,56,56
1579845907,56,56
1579847794,55,55
1579849720,54,54
1579851625,53,53
1579853546,54,54
1579855478,56,56
1579857414,56,56
1579859318,56,56
1579861217,55,55
1579863141,54,54
1579865083,53,53
1579866978,52,52
1579868896,52,52
1579871132,54,54
1579873099,53,53
1579874938,54,54
1579876835,54,54
1579880799,52,52
1579882832,52,52
1579884738,53,53
1579886657,52,52
1579888599,51,51
1579890495,48,48
1579892733,47,47
1579894827,47,47
1579896998,46,46
1579898919,46,46
1579900825,47,47
1579904724,46,46
1579906629,46,46
1579908672,44,44
1579910757,43,43
1579912576,44,44
1579914760,43,43
1579916658,44,44
1579918579,45,45
1579920513,44,44
1579922449,42,42
1579924356,41,41
1579926258,41,41
1579928238,40,40
1579932338,39,39
1579934188,40,40
1579936103,39,39
1579938026,37,37
1579939969,38,38
1579941856,36,36
1579943841,35,35
1579945739,35,35
1579947644,34,34
1579949557,35,35
1579951482,36,36
1579955297,35,35
1579957509,33,33
1579961314,32,32
1579963221,29,29
1579965163,30,30
1579968982,32,32
1579970924,31,31
1579972832,32,32
1579978611,32,32
1579980540,30,30
1579982721,31,31
1579984595,30,30
1579988425,31,31
1579990359,32,32
1579994182,31,31
1579996106,31,31
1579998269,31,31
