DateTime,Entries,UniqueIPs
1579820775,90,90
1579822599,89,89
1579824498,87,87
1579826419,92,92
1579828350,92,92
1579830257,94,94
1579832206,96,96
1579834125,91,91
1579836033,91,91
1579837945,91,91
1579839897,90,90
1579841808,90,90
1579843726,92,92
1579845932,94,94
1579847799,93,93
1579849723,89,89
1579851628,90,90
1579853553,85,85
1579855481,85,85
1579857423,86,86
1579859323,87,87
1579861221,89,89
1579863145,88,88
1579865087,88,88
1579866981,86,86
1579868899,87,87
1579871156,87,87
1579873105,84,84
1579874946,86,86
1579876843,85,85
1579878767,86,86
1579880802,86,86
1579882836,85,85
1579884742,86,86
1579886661,83,83
1579888607,85,85
1579890499,86,86
1579892746,89,89
1579894831,89,89
1579897002,90,90
1579898923,93,93
1579900828,94,94
1579902745,96,96
1579904727,98,98
1579906633,100,100
1579908675,100,100
1579910774,102,102
1579912580,99,99
1579914764,96,96
1579916661,93,93
1579918582,96,96
1579920527,97,97
1579922457,97,97
1579924359,97,97
1579926261,96,96
1579928242,102,102
1579930102,99,99
1579932343,96,96
1579934192,97,97
1579936107,101,101
1579938039,105,105
1579939978,109,109
1579941859,111,111
1579943848,114,114
1579945748,117,117
1579947647,115,115
1579949560,115,115
1579951506,115,115
1579953405,119,119
1579955300,120,120
1579957513,121,121
1579959410,124,124
1579961319,123,123
1579963257,123,123
1579965168,130,130
1579967071,132,132
1579968986,133,133
1579970928,135,135
1579972835,137,137
1579974752,138,138
1579976698,138,138
1579978623,131,131
1579980544,129,129
1579982726,129,129
1579984598,135,135
1579986512,133,133
1579988428,132,132
1579990362,137,137
1579992286,136,136
1579994186,139,139
1579996109,136,136
1579998272,139,139
1580000183,141,141
1580002115,146,146
1580004373,141,141
1580006189,141,141
1580008131,140,140
1580010035,141,141
1580011974,142,142
1580013859,141,141
1580015787,139,139
1580017718,141,141
1580019690,145,145
1580021535,146,146
1580023475,143,143
1580025392,145,145
1580027298,144,144
1580029529,145,145
1580031388,141,141
1580033307,148,148
1580037155,151,151
1580039096,153,153
1580040990,150,150
1580042991,149,149
1580044821,149,149
1580046737,149,149
1580048670,149,149
1580050578,145,145
1580052498,140,140
1580054736,142,142
1580056584,141,141
1580058529,139,139
1580060438,136,136
1580062342,135,135
1580064276,135,135
1580066205,139,139
1580068107,139,139
1580070036,138,138
1580071937,140,140
1580073864,137,137
1580075829,137,137
1580077696,136,136
1580079862,135,135
1580081775,140,140
1580083720,139,139
1580085622,141,141
1580087539,145,145
1580089535,145,145
1580091386,147,147
1580093301,146,146
1580095235,150,150
1580097145,151,151
1580099059,155,155
1580100986,154,154
1580102893,154,154
1580105079,151,151
1580106981,146,146
1580108917,145,145
1580110825,140,140
1580112741,142,142
1580114671,140,140
1580116580,141,141
1580118745,139,139
1580120667,137,137
1580122595,136,136
1580124506,136,136
1580127420,133,133
1580129549,135,135
1580131489,134,134
1580133405,131,131
1580135301,131,131
1580137497,129,129
1580139374,130,130
1580142263,131,131
1580144191,130,130
1580146097,131,131
1580148282,133,133
1580150180,132,132
1580152147,133,133
1580154024,131,131
1580155937,129,129
1580157880,125,125
1580159779,125,125
1580161710,127,127
1580163619,129,129
1580165549,130,130
1580167454,124,124
1580169375,121,121
1580171329,119,119
1580173482,114,114
1580175380,111,111
1580177322,109,109
1580179246,109,109
1580181170,106,106
1580183060,105,105
1580184983,105,105
1580186920,99,99
1580188817,97,97
1580190734,101,101
1580192679,103,103
1580194628,105,105
1580196503,105,105
1580199632,104,104
1580201534,106,106
1580203471,104,104
1580205380,103,103
1580207305,103,103
1580211387,98,98
1580213302,101,101
1580215215,102,102
1580217160,102,102
1580219054,102,102
1580221013,104,104
1580222906,107,107
1580224831,111,111
1580226771,107,107
1580228675,111,111
1580230617,110,110
1580232529,107,107
1580234587,107,107
1580236821,107,107
1580238995,102,102
1580240897,102,102
1580242826,104,104
1580244729,108,108
1580246664,109,109
1580248591,109,109
1580250489,111,111
1580253384,111,111
1580255295,114,114
1580257224,115,115
1580259130,117,117
1580261051,120,120
1580262986,123,123
1580264892,127,127
1580266956,127,127
1580268767,130,130
1580270740,134,134
1580272572,133,133
1580274515,134,134
1580276412,133,133
1580278336,130,130
1580280267,131,131
1580282177,131,131
1580284100,131,131
1580286023,131,131
1580287951,131,131
1580289860,131,131
