DateTime,AddedIPs,RemovedIPs
1579837947,14,24
1579839899,8,14
1579841810,13,11
1579843727,14,19
1579845934,15,23
1579847801,7,5
1579849726,3,27
1579851630,9,13
1579853555,5,16
1579855483,4,19
1579857425,7,33
1579859324,12,17
1579861224,9,14
1579863147,8,5
1579865090,10,9
1579866987,5,18
1579868901,10,19
1579871158,12,22
1579873106,21,15
1579874948,12,13
1579876845,10,8
1579878768,11,9
1579880804,18,12
1579882838,12,11
1579884762,8,11
1579886669,8,13
1579888610,5,20
1579890501,10,11
1579892748,20,13
1579894832,4,10
1579897004,8,16
1579898925,12,9
1579900830,10,10
1579902748,6,10
1579904729,9,14
1579906636,7,17
1579908678,4,20
1579910778,6,12
1579912582,7,8
1579914766,0,12
1579916663,2,21
1579918584,1,14
1579920530,1,9
1579922459,15,18
1579924361,3,16
1579926263,5,11
1579928243,7,16
1579930104,3,18
1579932345,4,17
1579934194,3,5
1579936133,8,3
1579938042,6,6
1579939979,4,4
1579941861,14,179
1579943850,140,9
1579945752,42,9
1579947649,7,6
1579949562,5,1
1579951574,12,14
1579953408,8,6
1579955302,14,5
1579957515,14,10
1579959411,9,15
1579961321,9,11
1579963259,3,8
1579965170,11,10
1579967073,9,17
1579968988,16,12
1579970930,7,10
1579972837,9,8
1579974753,7,6
1579976699,6,6
1579978625,5,9
1579980545,7,23
1579982758,10,5
1579984599,20,6
1579986513,11,10
1579988429,7,8
1579990364,17,1
1579992288,10,5
1579994187,8,14
1579996111,12,4
1579998274,10,3
1580000185,5,5
1580002116,9,1
1580004375,4,0
1580006190,5,2
1580008133,1,13
1580010037,9,5
1580011975,3,3
1580013861,10,7
1580015789,6,4
1580017720,12,3
1580019692,3,3
1580021549,3,6
1580023478,4,5
1580025403,4,5
1580027300,15,4
1580029532,10,9
1580031390,3,6
1580033309,1,3
1580035223,4,3
1580037157,3,12
1580039097,13,10
1580040992,11,12
1580042993,11,11
1580044823,8,2
1580046739,9,11
1580048677,8,5
1580050579,5,1
1580052500,10,14
1580054738,10,10
1580056585,8,4
1580058530,7,8
1580060439,5,8
1580062344,10,4
1580064277,12,4
1580066206,14,11
1580068109,5,9
1580070038,3,18
1580071938,5,9
1580073866,10,6
1580075830,7,14
1580077699,6,4
1580079924,6,14
1580081777,11,11
1580083722,4,4
1580085624,1,3
1580087542,1,5
1580089537,1,3
1580091388,0,3
1580093303,1,2
1580095240,6,7
1580097147,3,6
1580099061,5,6
1580100988,5,13
1580102896,9,6
1580105119,13,6
1580106983,7,4
1580108919,5,5
1580110827,1,5
1580112742,4,7
1580114673,5,17
1580116581,1,6
1580118747,4,4
1580120668,4,5
1580122597,3,3
1580124507,6,8
1580127421,7,7
1580129552,4,6
1580131491,9,6
1580133406,8,8
1580135302,12,7
1580137503,3,5
1580139375,8,3
1580142500,9,14
1580144555,3,8
1580146368,12,7
1580148323,9,7
1580150181,11,4
1580152148,6,23
1580154025,11,8
1580155939,4,3
1580157882,1,7
1580159781,4,8
1580161712,2,11
1580163621,6,8
1580165551,6,7
1580167455,12,10
1580169376,7,7
1580171330,7,5
1580173536,3,2
1580175395,4,2
1580177323,3,3
1580179247,6,0
1580181171,7,9
1580183061,7,4
1580184985,9,13
1580186922,7,6
1580188818,10,9
1580190736,7,17
1580192680,5,9
1580194630,11,10
1580196504,10,2
1580199634,10,14
1580201536,23,53
1580203473,1244,3
1580205382,771,1
1580207306,12,3
1580209514,16,3
1580211416,16,8
1580213305,10,5
1580215218,13,4
1580217164,12,5
1580219058,13,10
1580221016,12,6
1580222909,10,10
1580224834,9,5
1580226774,10,6
1580228677,12,10
1580230618,17,3
1580232531,21,11
1580234688,13,11
1580236824,13,9
1580238996,10,12
1580240898,8,5
1580242828,4,7
1580244731,8,6
1580246666,11,2
1580248593,19,3
1580250490,13,7
1580252488,5,4
1580254346,11,13
1580256360,12,8
1580258175,7,4
1580260109,6,2
1580262016,9,3
1580263933,11,2
1580265865,8,8
1580267775,5,6
1580269699,17,9
1580271644,8,10
1580273546,10,7
1580275489,12,10
1580277391,7,7
1580279300,5,4
1580281458,8,16
1580283628,14,9
1580285550,11,1
1580287490,10,83
1580289378,89,8
1580291305,13,10
1580293236,6,1025
1580295134,3,923
1580297058,9,32
1580298989,4,10
1580300893,10,15
1580303789,3,20
1580305717,6,10
1580307613,7,4
1580309541,6,5
1580311471,6,26
1580313390,12,15
1580315293,14,20
1580317417,13,20
1580319252,17,11
1580321063,11,7
1580322994,24,2
1580324904,12,18
1580326818,12,19
1580328753,13,10
1580330659,12,6
1580332586,12,12
1580334513,9,21
1580336416,7,6
1580338335,10,2
1580340271,9,24
1580342179,3,10
1580344138,7,9
1580346273,6,9
1580348232,9,13
1580350111,13,10
1580352020,4,9
1580353948,9,14
1580355870,11,16
1580357775,4,16
1580359715,10,12
1580361617,5,12
1580363545,6,11
1580365476,6,6
1580367380,2,3
1580369305,0,19
1580371532,1,12
1580373386,3,10
1580375297,0,10
1580377216,4,14
1580379148,1,5
1580381057,6,2
1580383226,27,12
1580385146,9,5
1580387064,19,11
1580388989,24,4
1580390919,22,3
1580393149,30,5
1580394976,16,4
1580396802,13,5
1580398622,3,12
1580400533,3,11
1580402427,2,10
1580404371,0,12
1580406377,0,10
1580408221,0,5
1580410101,1,16
1580412035,47,19
1580413938,15,10
1580415860,21,10
1580417791,32,14
1580419697,21,8
1580422019,15,8
1580424020,18,7
1580425937,17,9
1580427864,5,3
1580429776,9,6
1580431700,5,7
1580433624,6,3
1580435534,3,13
1580437465,2,9
1580439402,5,10
1580441298,13,10
1580444421,20,12
1580446336,10,5
1580448301,10,4
1580450177,14,8
1580452128,20,7
1580454379,15,5
1580456417,21,3
1580458352,18,3
1580460346,13,4
1580462222,3,1
1580464099,3,5
1580466027,2,4
1580467942,3,3
1580469867,37,20
1580471789,24,9
1580473758,15,15
1580475740,11,13
1580477792,11,24
1580479697,11,14
1580481619,13,12
1580483555,16,9
1580485451,11,3
1580487373,17,2
1580489306,82,2
1580491223,103,0
1580493144,137,1
1580495055,90,1
1580496969,17,0
1580498890,9,28
1580500917,12,5
1580502757,6,6
1580504692,14,15
1580506590,11,12
1580508532,9,7
1580510424,7,5
1580512344,9,11
1580514282,6,4
1580516180,6,7
1580518104,6,2
1580520034,4,6
1580521947,4,2
1580523862,4,2
1580525791,7,2
1580527716,16,11
1580529924,9,14
1580531789,12,5
1580533720,9,7
1580535637,13,1
1580537587,11,9
1580539541,24,0
1580541447,19,28
1580543313,25,8
1580545228,26,15
1580547172,21,110
1580549137,113,0
1580550992,10,3
1580552926,6,3
1580555173,7,13
1580556991,7,13
1580559189,12,14
1580561087,13,6
1580563245,14,4
1580565194,20,2
1580567088,14,8
1580569001,7,1
1580570903,20,13
1580573130,11,12
1580575034,12,59
1580576932,21,74
1580578836,13,143
1580580894,10,123
1580582905,19,7
1580584868,12,14
1580586758,12,15
1580588684,14,11
1580590626,16,13
1580592537,19,12
1580594791,13,10
1580596599,10,10
1580598511,8,13
1580600429,14,7
1580602400,7,11
1580604284,2,7
1580606184,3,6
1580608118,6,10
1580610026,5,6
1580611939,2,7
1580613874,28,22
1580615785,4,11
1580617700,10,15
1580619999,10,14
1580622022,11,19
1580623997,5,19
1580625876,17,31
1580627778,7,13
1580629728,1,28
1580631619,1,29
1580633539,6,58
1580635473,51,7
1580637385,9,11
1580639301,4,4
1580641468,14,5
1580643387,27,20
1580645321,11,14
1580647220,21,7
1580649166,16,9
1580651064,17,17
1580652985,8,10
1580654928,14,2
1580656850,6,25
1580658746,4,15
1580660677,10,13
1580662606,4,16
1580664510,11,11
1580666697,14,9
1580668855,8,2
1580670754,7,35
1580672677,8,17
1580674598,9,14
1580676747,6,21
1580678665,11,22
1580680617,7,19
1580682499,9,6
1580684675,3,11
1580686576,2,23
1580688513,1,14
1580690416,2,3
1580692363,1,2
1580694259,4,6
1580696179,2,5
1580698115,2,4
1580700018,8,38
1580701937,10,9
1580703878,13,13
1580705775,13,10
1580707699,17,20
1580709881,17,7
1580711778,13,20
1580713961,25,10
1580715870,17,1
1580717797,22,2
1580719718,12,3
1580721630,19,14
1580723537,15,9
1580725493,12,6
1580727384,11,8
1580729298,15,16
1580731546,11,11
1580733390,15,11
1580735307,12,10
1580737218,10,13
1580739182,13,5
1580741058,11,0
1580743482,10,20
1580745383,18,11
1580747325,10,13
1580749391,18,10
