DateTime,Entries,UniqueIPs
1580125321,9050,9050
1580126447,9055,9055
1580128086,7967,7967
1580128947,9074,9074
1580130853,9069,9069
1580131692,9075,9075
1580132858,9076,9076
1580134219,9077,9077
1580135289,9089,9089
1580136974,9093,9093
1580138053,9095,9095
1580138895,9108,9108
1580140204,9107,9107
1580141411,9106,9106
1580142614,9108,9108
1580144109,9119,9119
1580145307,7967,7967
1580146093,9135,9135
1580146938,9133,9133
1580148095,9137,9137
1580149212,9151,9151
1580150410,9153,9153
1580151635,9162,9162
1580152814,9176,9176
1580154312,9177,9177
1580155819,9181,9181
1580157607,7967,7967
1580158573,9192,9192
1580159711,9200,9200
1580160841,9210,9210
1580161331,9207,9207
1580162528,7967,7967
1580164090,9235,9235
1580165770,9248,9248
1580166851,9255,9255
1580167689,9261,9261
1580169311,9256,9256
1580170450,9260,9260
1580172141,9273,9273
1580173441,9284,9284
1580175012,9279,9279
1580175732,9281,9281
1580176570,9287,9287
1580177652,9290,9290
1580178489,9295,9295
1580179333,9287,9287
1580181253,9301,9301
1580182089,9312,9312
1580183772,9331,9331
1580184850,9325,9325
1580186111,9329,9329
1580187632,9329,9329
1580189293,9338,9338
1580190974,9339,9339
1580192049,7967,7967
1580193614,9339,9339
1580195412,9344,9344
1580195651,9346,9346
1580196493,9347,9347
1580198110,9347,9347
1580199215,9344,9344
1580200930,9333,9333
1580202213,9332,9332
1580203485,9337,9337
1580204713,9333,9333
1580205875,9335,9335
1580207685,9338,9338
1580208914,9346,9346
1580210114,9344,9344
1580210891,9352,9352
1580212571,9358,9358
1580212842,9358,9358
1580214013,9364,9364
1580215128,9358,9358
1580216668,9360,9360
1580217254,9365,9365
1580218510,9360,9360
1580219792,9364,9364
1580220850,9367,9367
1580222413,9379,9379
1580224213,9385,9385
1580226131,9383,9383
1580227400,9389,9389
1580229014,9385,9385
1580229731,9392,9392
1580231420,9406,9406
1580232489,9415,9415
1580233896,9414,9414
1580235011,9423,9423
1580236212,9430,9430
1580237769,9438,9438
1580238853,9438,9438
1580239690,9451,9451
1580240531,9440,9440
1580242448,9443,9443
1580243289,9449,9449
1580244642,9453,9453
1580246053,9468,9468
1580247613,9481,9481
1580248570,9491,9491
1580249712,9499,9499
1580250857,9501,9501
1580252169,9511,9511
1580253284,9517,9517
1580254655,9524,9524
1580256441,9533,9533
1580256850,9537,9537
1580258110,9551,9551
1580259309,9554,9554
1580260449,9559,9559
1580261292,9566,9566
1580262969,9567,9567
1580264050,9574,9574
1580265312,9578,9578
1580266512,9581,9581
1580267713,9583,9583
1580268912,9638,9638
1580270109,9609,9609
1580271250,9612,9612
1580272095,9616,9616
1580272931,9615,9615
1580274850,9626,9626
1580276530,9638,9638
1580277372,9649,9649
1580278450,9651,9651
1580279578,9658,9658
1580280708,9663,9663
1580281811,9667,9667
1580282933,9672,9672
1580284058,9669,9669
1580285328,9678,9678
1580286490,9680,9680
1580287334,9678,9678
1580288173,9682,9682
1580289313,9685,9685
1580290499,9682,9682
1580291709,9687,9687
1580292910,9690,9690
1580294533,9687,9687
1580295370,9693,9693
1580296453,9696,9696
1580297289,9699,9699
1580300050,9697,9697
1580301311,9692,9692
1580302465,9693,9693
1580303651,9696,9696
1580304493,9698,9698
1580305775,9692,9692
1580307251,9697,9697
1580308512,9728,9728
1580309714,9715,9715
1580310843,9704,9704
1580312314,9695,9695
1580313370,9694,9694
1580314454,9697,9697
1580315290,9699,9699
1580317820,9688,9688
1580319742,9682,9682
1580321650,9689,9689
1580322910,9684,9684
1580324492,9681,9681
1580325610,9682,9682
1580327109,9679,9679
1580328849,9677,9677
1580330530,9666,9666
1580332451,9667,9667
1580333291,9669,9669
1580334973,9652,9652
1580336049,9643,9643
1580336891,9645,9645
1580338578,9634,9634
1580339712,9630,9630
1580341331,9614,9614
1580343011,9605,9605
1580344179,9607,9607
1580345441,9611,9611
1580346613,9599,9599
1580347814,9589,9589
1580349013,9584,9584
1580350219,9579,9579
1580351412,9571,9571
1580354052,9564,9564
1580356570,9556,9556
1580358505,9554,9554
1580359699,9541,9541
1580361019,9535,9535
1580362933,9523,9523
1580364612,9519,9519
1580365869,9512,9512
1580367290,9513,9513
1580368449,9510,9510
1580369293,9516,9516
1580370509,9520,9520
1580371821,9527,9527
1580373014,9532,9532
1580375650,9535,9535
1580376492,9545,9545
1580377331,9542,9542
1580379249,9561,9561
1580380449,9567,9567
1580381605,9575,9575
1580382911,9582,9582
1580384533,9598,9598
1580386212,9604,9604
1580387402,9612,9612
1580388971,9622,9622
1580390052,9625,9625
1580390891,9632,9632
1580392213,9628,9628
1580393419,9626,9626
1580395333,9610,9610
1580397250,9606,9606
1580398932,9599,9599
1580400030,9583,9583
1580401690,9593,9593
1580402530,9579,9579
1580404200,9576,9576
1580405411,9563,9563
1580407811,9557,9557
1580409732,9546,9546
1580411650,9542,9542
1580412492,9544,9544
1580415018,9527,9527
1580416210,9506,9506
1580417409,9505,9505
1580418613,9497,9497
1580419691,9503,9503
1580422211,9473,9473
1580422449,9474,9474
1580423296,9479,9479
1580424502,9471,9471
1580426051,9467,9467
1580427310,9442,9442
1580428569,9439,9439
1580429652,9437,9437
1580431252,9415,9415
1580432431,9410,9410
1580433611,9416,9416
1580434930,9402,9402
