DateTime,AddedIPs,RemovedIPs
1580124016,14,0
1580125330,13,19
1580126455,9,4
1580128090,15,0
1580128952,13,9
1580130858,4,10
1580131696,6,0
1580132863,5,4
1580134224,8,7
1580135293,12,0
1580136978,13,9
1580138057,9,7
1580138901,13,0
1580140209,16,17
1580141416,12,13
1580142620,9,7
1580144114,13,2
1580145312,16,4
1580146097,4,0
1580146942,6,8
1580148099,12,9
1580149219,14,0
1580150415,8,7
1580151642,14,5
1580152820,14,0
1580154316,9,8
1580155823,13,9
1580157616,9,6
1580158577,8,0
1580159715,12,4
1580160847,15,5
1580161336,1,4
1580162542,16,8
1580164095,21,2
1580165775,20,6
1580166856,12,6
1580167694,5,0
1580169316,5,9
1580170455,8,4
1580172145,16,3
1580173449,14,3
1580175018,6,9
1580175737,5,3
1580176574,8,2
1580177657,11,8
1580178493,5,0
1580179338,6,14
1580181257,19,5
1580182094,11,0
1580183777,25,7
1580184854,11,15
1580186115,11,7
1580187639,5,5
1580189298,10,2
1580190978,9,9
1580192054,9,6
1580193620,10,14
1580195416,11,6
1580195656,3,0
1580198114,7,7
1580199222,2,4
1580200934,3,14
1580202217,1,2
1580203492,6,1
1580204718,7,12
1580205879,7,4
1580207689,7,5
1580208919,10,3
1580210118,4,5
1580210915,7,0
1580212575,11,5
1580212852,4,2
1580214021,5,1
1580215132,4,10
1580216672,5,3
1580217258,5,0
1580218515,9,9
1580219797,6,2
1580220855,6,3
1580222419,13,0
1580224217,17,10
1580226135,14,18
1580227404,9,3
1580229019,8,11
1580229736,10,3
1580231424,16,3
1580232493,9,0
1580233901,9,10
1580235016,10,1
1580236218,10,3
1580237773,11,3
1580238857,5,5
1580239694,7,0
1580240538,2,13
1580242453,9,5
1580243293,6,0
1580244646,13,9
1580246058,18,3
1580247618,17,4
1580248574,10,0
1580249717,9,0
1580250863,10,8
1580252173,10,0
1580253289,8,2
1580254659,10,3
1580256446,14,5
1580256855,4,0
1580258114,20,6
1580259313,6,3
1580260455,8,3
1580261296,7,0
1580262973,10,8
1580264054,8,0
1580265317,6,2
1580266517,6,2
1580267718,4,2
1580268916,58,3
1580270114,10,39
1580271255,9,6
1580272100,5,1
1580272936,5,6
1580274855,13,2
1580276535,15,3
1580277376,11,0
1580278454,9,5
1580279583,11,3
1580280712,9,4
1580281815,6,2
1580282940,5,0
1580284064,8,7
1580285333,14,6
1580286495,4,2
1580287338,8,10
1580288178,6,2
1580289318,8,5
1580290508,5,8
1580291713,7,2
1580294537,17,17
1580296457,17,8
1580297293,3,0
1580300054,15,15
1580301316,1,6
1580302470,6,4
1580303656,9,7
1580304498,2,0
1580305779,4,10
1580307256,6,1
1580308517,38,7
1580309718,9,22
1580310849,4,16
1580312319,8,17
1580313374,2,4
1580314459,11,8
1580315294,5,3
1580317824,16,26
1580319015,7,12
1580319746,6,5
1580321654,16,9
1580322915,8,13
1580324498,7,10
1580325615,5,4
1580327114,6,9
1580328854,6,9
1580330535,6,17
1580332455,8,7
1580333295,2,0
1580334977,5,22
1580336053,3,12
1580336895,3,1
1580338583,6,14
1580339717,4,8
1580341335,4,20
1580343016,7,16
1580344184,6,5
1580345446,7,2
1580346617,0,13
1580347819,2,12
1580349018,3,9
1580350223,5,10
1580351417,4,12
1580354056,5,12
1580356574,9,19
1580358514,6,10
1580359704,2,14
1580361024,4,10
1580362937,4,17
1580364617,1,5
1580365874,4,10
1580367295,3,2
1580368454,7,10
1580369298,6,0
1580370513,12,9
1580371826,10,2
1580373018,9,4
1580375655,18,15
1580376496,10,0
1580377335,10,13
1580379255,25,8
1580380455,16,10
1580381610,16,8
1580382917,12,5
1580384537,27,12
1580386216,14,8
1580387413,17,9
1580388975,15,3
1580390056,12,9
1580390896,7,0
1580392218,12,16
1580393423,9,11
1580395337,6,22
1580397255,4,8
1580398936,9,16
1580400034,3,19
1580401694,12,2
1580402534,1,14
1580404215,6,10
1580405417,4,18
1580407816,7,13
1580409736,5,16
1580411656,5,9
1580412497,2,0
1580415022,15,31
1580416214,3,25
1580417414,2,4
1580418617,4,12
1580419696,6,0
1580422215,8,40
1580422454,2,0
1580423299,4,0
1580424508,4,12
1580426055,7,11
1580427314,3,28
1580428574,4,7
1580429657,6,8
1580431258,6,29
1580432437,5,10
1580433617,5,0
1580434935,9,24
1580436854,7,14
1580438417,5,17
1580439375,4,0
1580440456,5,14
1580442138,70,20
1580442975,7,19
1580444119,2,15
1580445317,4,15
1580446515,6,4
1580447657,7,22
1580448496,4,0
1580449337,6,23
1580450181,2,0
1580451257,4,12
1580452516,7,13
1580454616,8,26
1580455818,7,17
1580457640,7,27
1580458456,4,1
1580460018,10,29
1580461175,6,16
1580462417,5,2
1580463736,3,14
1580464577,3,1
1580465716,2,13
1580467337,4,34
1580469256,6,16
1580470095,5,2
1580471436,6,28
1580472860,3,12
1580474538,9,27
1580476218,11,8
1580477417,3,6
1580478568,4,6
1580479680,7,18
1580481317,7,9
1580482577,8,4
1580483721,6,16
1580485335,7,24
1580486174,3,0
1580487318,12,12
1580488093,5,1
1580489778,8,24
1580490855,1,19
1580491693,3,0
1580492536,0,35
1580494215,7,6
1580496135,14,10
1580496972,4,1
1580497237,2,4
1580498369,5,0
1580499734,9,5
1580501656,10,6
1580503142,9,6
1580505016,17,1
1580506219,5,8
1580507414,7,5
1580508617,6,1
1580509796,5,4
1580511373,6,3
1580512517,5,5
1580513712,8,6
1580514917,7,2
1580516119,6,1
1580517738,6,9
1580519041,5,6
1580520312,4,1
1580521514,6,10
1580522643,3,1
1580524219,6,4
1580524935,4,2
1580526617,5,1
1580527815,7,7
1580529313,42,0
1580530518,3,16
1580531296,1,3
1580532804,6,1
1580534055,7,1
1580535744,8,5
1580536576,3,0
1580537654,4,4
1580538496,7,1
1580539335,8,7
1580540535,6,11
1580542513,11,12
1580543717,3,3
1580544918,5,1
1580546416,9,32
1580547373,4,0
1580548453,3,16
1580549716,3,22
1580550913,5,7
1580552054,7,16
1580552895,3,0
1580553733,5,30
1580555423,8,12
1580556600,0,20
1580558047,5,7
1580559317,16,13
1580560534,22,19
1580561712,15,7
1580562912,17,14
1580563693,9,0
1580564536,5,11
1580566455,21,4
1580568017,16,9
1580569338,5,5
1580570056,12,0
1580572645,35,6
1580573654,12,5
1580575350,38,6
1580577254,17,2
1580578938,21,9
1580580615,21,0
1580581815,7,3
1580583315,10,2
1580584517,9,6
1580586134,23,14
1580587817,9,7
1580589008,10,11
1580590235,6,2
1580591655,20,5
1580592514,3,1
1580593768,6,14
1580595254,10,4
1580596094,6,0
1580596949,7,7
1580598857,14,11
1580600419,29,10
1580602216,17,7
1580603417,10,8
1580604615,9,1
1580606056,13,5
1580606893,10,1
1580607747,8,4
1580609057,1,5
1580610496,7,0
1580612459,23,21
1580614096,17,2
1580614946,37,8
1580616856,19,29
1580618547,23,12
1580620455,21,9
1580622152,15,6
1580622976,5,0
1580624053,14,10
1580625314,23,10
1580627417,19,12
1580628510,14,0
1580629357,9,16
1580631023,12,4
1580632218,8,6
1580633365,12,3
1580634615,8,7
1580635818,8,9
1580637375,14,4
1580638458,4,5
1580639957,12,13
1580641725,12,4
1580643314,15,4
1580644514,8,1
1580645718,11,4
1580646493,7,0
1580648176,11,14
1580649320,14,9
1580650102,2,0
1580651401,11,11
1580652856,8,11
1580654534,9,12
1580656457,5,6
1580658016,4,21
1580658978,5,0
1580660117,8,3
1580661312,12,7
1580663654,15,3
1580665472,21,19
1580667014,11,5
1580668216,3,13
1580668938,6,4
1580670373,7,6
1580671817,25,10
1580672534,7,4
1580673374,4,0
1580674453,12,9
1580675293,9,0
1580676977,5,21
1580678112,8,14
1580679617,9,14
1580681039,11,7
1580681654,4,0
1580682496,4,0
1580683692,2,25
1580685023,3,8
1580686218,6,7
1580688853,4,11
1580690533,5,12
1580692013,1,3
1580693293,6,0
1580694914,0,13
1580696068,2,7
1580697731,3,22
1580699658,2,10
1580700506,1,0
1580702161,21,8
1580703259,4,21
1580704094,3,1
1580705714,5,18
1580706855,4,11
1580708537,5,16
1580710083,4,12
1580711417,3,11
1580712133,0,2
1580712974,2,1
1580714059,4,8
1580714898,1,0
1580715733,4,14
1580717654,6,6
1580719169,6,9
1580721019,7,3
1580722819,6,11
1580724403,4,6
1580725714,7,0
1580726537,2,2
1580727374,3,1
1580728515,4,4
1580730136,2,20
1580732117,4,8
1580733316,1,11
1580734516,1,5
1580736500,1,11
1580738001,3,15
1580739256,1,7
1580740094,3,0
1580741347,7,18
1580742616,4,13
1580744536,3,23
1580745374,6,1
1580746455,4,14
1580747907,6,22
1580750055,11,11
1580751176,5,13
1580752330,3,5
1580753654,1,7
1580755341,5,16
1580756174,3,0
1580758116,9,5
1580760855,6,31
1580762420,51,15
1580764216,2,45
1580765420,3,16
1580766171,4,9
1580766975,1,0
1580768116,5,12
1580768895,2,1
1580769746,5,35
1580771425,1,19
1580772619,5,8
1580773347,2,8
1580775270,13,8
1580776954,3,22
1580777775,4,3
1580778918,0,6
