DateTime,Entries,UniqueIPs
1579978574,222,222
1579981334,224,224
1579982487,225,225
1579984812,223,223
1579986854,223,223
1579987694,224,224
1579988536,223,223
1579990454,223,223
1579991291,224,224
1579992131,222,222
1579994052,222,222
1579995732,220,220
1579997653,221,221
1580000166,216,216
1580001317,215,215
1580002932,214,214
1580004622,216,216
1580007992,211,211
1580009298,215,215
1580010803,214,214
1580012116,214,214
1580013912,216,216
1580015420,213,213
1580017335,212,212
1580019013,211,211
1580020216,212,212
1580021773,213,213
1580022914,214,214
1580026514,213,213
1580027714,211,211
1580028970,211,211
1580030053,211,211
1580032485,210,210
1580033713,209,209
1580034915,208,208
1580036114,209,209
1580037302,209,209
1580038091,210,210
1580039704,209,209
1580042532,210,210
1580044448,211,211
1580046133,210,210
1580047252,209,209
1580048907,210,210
1580049731,211,211
1580051653,213,213
1580052490,214,214
1580054132,211,211
1580054430,209,209
1580055254,210,210
1580056511,212,212
1580058853,213,213
1580060414,214,214
1580062173,215,215
1580062456,216,216
1580063591,216,216
1580064972,218,218
1580066051,216,216
1580067737,213,213
1580070510,214,214
1580071774,213,213
1580074511,212,212
1580075856,214,214
1580076853,214,214
1580078533,215,215
1580080454,216,216
1580082151,216,216
1580083543,216,216
1580084719,217,217
1580085732,216,216
1580086574,218,218
1580087715,218,218
1580090112,221,221
1580091254,223,223
1580092933,222,222
1580094852,224,224
1580095692,226,226
1580097315,225,225
1580098456,228,228
1580100133,223,223
1580101823,224,224
1580102894,225,225
1580104570,226,226
1580105714,225,225
1580107219,223,223
1580108171,226,226
1580109317,229,229
1580110499,231,231
1580111711,234,234
1580112915,235,235
1580114418,233,233
1580116215,233,233
1580116455,234,234
1580118135,236,236
1580118974,237,237
1580120064,235,235
1580121617,235,235
1580122835,234,234
1580124013,236,236
1580125325,237,237
1580126451,240,240
1580128949,238,238
1580132860,235,235
1580135291,236,236
1580136976,235,235
1580138055,234,234
1580140206,233,233
1580142616,231,231
1580146939,229,229
1580148096,228,228
1580150412,226,226
1580151638,227,227
1580152817,231,231
1580154314,229,229
1580155821,227,227
1580157614,225,225
1580159713,222,222
1580160844,224,224
1580162539,226,226
1580164092,227,227
1580165772,227,227
1580166853,231,231
1580169314,230,230
1580170452,229,229
1580172143,226,226
1580173443,223,223
1580175015,224,224
1580175734,223,223
1580177654,226,226
1580179335,224,224
1580181255,226,226
1580182091,228,228
1580183774,226,226
1580184852,226,226
1580186113,225,225
1580187635,227,227
1580189295,229,229
1580190976,227,227
1580192051,228,228
1580193616,226,226
1580195413,227,227
1580199218,227,227
1580200932,228,228
1580202215,229,229
1580203488,232,232
1580204715,231,231
1580207687,229,229
1580208917,229,229
1580210115,228,228
1580212573,228,228
1580212845,227,227
1580214016,228,228
1580215130,226,226
1580216669,229,229
1580218512,230,230
1580220852,230,230
1580222416,225,225
1580226133,224,224
1580229016,222,222
1580229733,223,223
1580231421,221,221
1580233898,216,216
1580236216,218,218
1580237770,219,219
1580238854,220,220
1580240533,219,219
1580242450,221,221
1580243291,222,222
1580244644,220,220
1580246055,218,218
1580247615,216,216
1580249714,215,215
1580250859,213,213
1580252171,214,214
1580253286,213,213
1580254656,209,209
1580256443,206,206
1580256852,207,207
1580258112,209,209
1580259311,207,207
1580260452,206,206
1580261294,207,207
1580262971,207,207
1580264051,210,210
1580265314,210,210
1580267715,211,211
1580268914,211,211
1580270111,212,212
1580271252,213,213
1580272097,218,218
1580272933,218,218
1580274852,221,221
1580276532,222,222
1580278452,218,218
1580279580,214,214
1580280709,214,214
1580281812,214,214
1580284061,209,209
1580285330,209,209
1580289315,207,207
1580290502,206,206
1580294535,207,207
1580296455,208,208
1580297291,209,209
1580300051,217,217
1580301313,216,216
1580305777,214,214
1580308514,213,213
1580309716,215,215
1580312316,216,216
1580314456,217,217
1580317821,217,217
1580319744,220,220
1580321651,219,219
1580322912,217,217
1580324494,219,219
1580325612,222,222
1580327110,221,221
1580328851,221,221
1580330532,222,222
1580332452,223,223
1580333293,225,225
1580334975,224,224
1580338581,223,223
1580339714,223,223
1580341332,221,221
1580343013,223,223
1580344181,222,222
1580345444,223,223
1580346615,223,223
1580347816,219,219
1580349015,218,218
1580350221,217,217
1580351414,215,215
1580354054,213,213
1580356572,211,211
1580358509,212,212
1580359701,210,210
1580361021,208,208
1580362935,208,208
1580364614,209,209
1580365871,207,207
1580367292,205,205
1580368451,206,206
1580369295,207,207
1580370511,206,206
1580371823,204,204
1580373015,202,202
1580375652,202,202
1580376493,203,203
1580377333,199,199
1580379251,199,199
1580380452,199,199
1580382913,198,198
1580384534,199,199
1580386214,197,197
1580387407,196,196
1580390054,196,196
1580390894,197,197
1580392215,196,196
1580393421,198,198
1580398933,198,198
1580400031,197,197
1580401692,199,199
1580402531,199,199
1580405413,196,196
1580407813,197,197
1580409734,196,196
1580411652,198,198
1580415020,197,197
1580416212,198,198
1580417411,198,198
1580418614,197,197
1580422213,196,196
1580424505,197,197
1580426053,197,197
1580427312,192,192
1580428571,192,192
1580429654,191,191
1580431256,188,188
1580432434,189,189
1580433614,190,190
1580434932,188,188
1580436851,189,189
1580438414,187,187
1580439373,189,189
1580440454,187,187
1580442135,184,184
1580444115,183,183
1580445314,181,181
1580446513,179,179
1580447654,178,178
1580448494,179,179
1580449334,181,181
1580451254,183,183
1580452513,184,184
1580454613,185,185
1580455816,183,183
1580457635,183,183
1580460015,182,182
1580461171,181,181
1580462414,183,183
1580463733,177,177
1580465713,177,177
1580467334,167,167
1580469254,167,167
1580471434,167,167
1580472858,170,170
1580474535,169,169
1580476215,169,169
1580477414,168,168
1580481314,168,168
1580482575,168,168
1580483719,167,167
1580485333,165,165
1580487314,164,164
1580488091,165,165
1580489776,162,162
1580490852,161,161
1580492533,160,160
1580494212,159,159
1580496132,157,157
1580497234,159,159
1580498367,160,160
1580499731,156,156
1580501654,154,154
1580503139,151,151
1580505013,149,149
1580506216,150,150
1580508614,149,149
1580509794,148,148
1580511371,148,148
1580512515,149,149
1580513709,147,147
1580516115,149,149
1580517735,149,149
1580519039,154,154
1580520310,155,155
1580521510,153,153
1580522641,155,155
1580524216,161,161
1580526614,164,164
1580527813,166,166
1580529311,169,169
1580530515,174,174
1580531294,175,175
1580532801,175,175
1580534053,179,179
1580535741,179,179
1580536573,182,182
1580537651,185,185
1580538494,186,186
1580539332,185,185
1580540532,186,186
1580542511,188,188
1580543714,190,190
1580544916,189,189
1580546414,187,187
1580547371,188,188
1580548450,191,191
1580549713,190,190
