DateTime,Entries,UniqueIPs
1580130844,27303,27303
1580131683,27346,27346
1580132851,27289,27289
1580134203,27286,27286
1580135283,27346,27346
1580136964,27363,27363
1580138043,27388,27388
1580138886,27452,27452
1580140197,27460,27460
1580141402,27482,27482
1580142605,27501,27501
1580144103,27567,27567
1580145302,27620,27620
1580146083,27654,27654
1580146931,27595,27595
1580148087,27621,27621
1580149205,27696,27696
1580150403,27673,27673
1580151627,27695,27695
1580152802,27761,27761
1580154304,27723,27723
1580155804,27734,27734
1580157606,27706,27706
1580158563,27761,27761
1580159703,27794,27794
1580160835,27787,27787
1580161323,27781,27781
1580162517,27790,27790
1580164083,27874,27874
1580165763,27895,27895
1580166842,27884,27884
1580167683,27911,27911
1580169304,27888,27888
1580170443,27896,27896
1580172132,27882,27882
1580173434,27899,27899
1580175004,27904,27904
1580175722,27932,27932
1580176563,28017,28017
1580177642,28425,28425
1580178483,28472,28472
1580179323,28414,28414
1580181243,28459,28459
1580182083,28507,28507
1580183762,28477,28477
1580184842,28472,28472
1580186102,28462,28462
1580187623,28443,28443
1580189285,28536,28536
1580190962,28529,28529
1580192044,28536,28536
1580193604,28501,28501
1580195404,28527,28527
1580195643,28537,28537
1580196483,28563,28563
1580198103,28548,28548
1580199202,28539,28539
1580200922,28518,28518
1580202207,28532,28532
1580203471,28586,28586
1580204702,28540,28540
1580205869,28539,28539
1580207678,28562,28562
1580208907,28610,28610
1580210882,28617,28617
1580212563,28548,28548
1580212830,28511,28511
1580214002,28548,28548
1580215121,28483,28483
1580216661,28510,28510
1580217243,28541,28541
1580218503,28532,28532
1580219785,28533,28533
1580220843,28529,28529
1580222404,28483,28483
1580224203,28490,28490
1580226124,28464,28464
1580227393,28436,28436
1580229006,28394,28394
1580229723,28405,28405
1580231405,28429,28429
1580232483,28490,28490
1580233890,28422,28422
1580235003,28422,28422
1580236204,28384,28384
1580237763,28428,28428
1580238843,28433,28433
1580239683,28476,28476
1580240523,28430,28430
1580242442,28424,28424
1580243283,28457,28457
1580244631,28412,28412
1580246043,28391,28391
1580247605,28335,28335
1580248562,28373,28373
1580249704,28349,28349
1580250844,28320,28320
1580252162,28350,28350
1580253278,28338,28338
1580254648,28330,28330
1580256433,28337,28337
1580256843,28356,28356
1580258103,28317,28317
1580259303,28327,28327
1580260439,28339,28339
1580261285,28372,28372
1580262962,28329,28329
1580264042,28325,28325
1580265303,28286,28286
1580266503,28312,28312
1580267704,28288,28288
1580268903,28259,28259
1580270102,28279,28279
1580271242,28284,28284
1580272086,28327,28327
1580272923,28194,28194
1580274843,28222,28222
1580276523,28192,28192
1580277364,28235,28235
1580278442,28239,28239
1580279571,28215,28215
1580280701,28236,28236
1580281804,28233,28233
1580282922,28264,28264
1580284036,28185,28185
1580285321,28162,28162
1580286483,28195,28195
1580287324,28088,28088
1580288165,28122,28122
1580289305,28103,28103
1580290493,28002,28002
1580291702,28013,28013
1580292903,28004,28004
1580294524,27944,27944
1580295363,27979,27979
1580296445,27960,27960
1580297283,27989,27989
1580300043,28173,28173
1580301303,28128,28128
1580302458,28153,28153
1580303643,28125,28125
1580304483,28156,28156
1580305768,28085,28085
1580307244,28063,28063
1580308504,28007,28007
1580309704,28016,28016
1580310833,27993,27993
1580312303,27932,27932
1580313363,27997,27997
1580314443,27987,27987
1580315283,28018,28018
1580317806,27899,27899
1580319734,27823,27823
1580321643,27860,27860
1580322903,27840,27840
1580324486,27852,27852
1580325603,27903,27903
1580327102,27864,27864
1580328843,27896,27896
1580330524,27845,27845
1580332443,27883,27883
1580333284,27924,27924
1580334963,27849,27849
1580336042,27840,27840
1580336883,27870,27870
1580338572,27843,27843
1580339703,27823,27823
1580341323,27754,27754
1580343003,27766,27766
1580344173,27729,27729
1580345434,27738,27738
1580346603,27650,27650
1580347805,27097,27097
1580349004,27078,27078
1580350204,27059,27059
1580351403,27004,27004
1580354043,26993,26993
1580356562,27013,27013
1580358483,27010,27010
1580359692,26919,26919
1580360786,26864,26864
1580362160,26808,26808
1580362924,26799,26799
1580364602,26803,26803
1580365856,26759,26759
1580367282,26793,26793
1580368443,26772,26772
1580369285,26809,26809
1580370502,26734,26734
1580371803,26713,26713
1580373005,26667,26667
1580375642,26659,26659
1580376483,26696,26696
1580377323,26601,26601
1580379243,26633,26633
1580380440,26609,26609
1580381598,26636,26636
1580382903,26640,26640
1580384524,26648,26648
1580386202,26676,26676
1580387394,26653,26653
1580388962,26715,26715
1580390043,26694,26694
1580390883,26738,26738
1580392204,26698,26698
1580393404,26700,26700
1580395325,26638,26638
1580397243,26664,26664
1580398923,26647,26647
1580400021,26615,26615
1580401683,26694,26694
1580402523,26617,26617
1580403616,7967,7967
1580404803,26631,26631
1580406003,26562,26562
1580407802,26576,26576
1580409723,26566,26566
1580411643,26591,26591
1580412483,26625,26625
1580415003,26567,26567
1580416204,26514,26514
1580417403,26535,26535
1580418603,26517,26517
1580419683,26553,26553
1580422203,26488,26488
1580422442,26497,26497
1580423290,26534,26534
1580424495,26505,26505
1580426044,26503,26503
1580427302,26447,26447
1580428563,26465,26465
1580429643,26444,26444
1580431246,26364,26364
1580432422,26360,26360
1580433602,26415,26415
1580434923,26378,26378
1580436842,26371,26371
1580438403,26308,26308
1580439363,26342,26342
1580440443,26338,26338
1580442123,26294,26294
1580442962,26320,26320
1580444103,26303,26303
1580445303,26262,26262
1580446503,26265,26265
1580447643,26257,26257
1580448483,26288,26288
1580449324,26227,26227
1580450164,26258,26258
1580451242,26225,26225
1580452503,26208,26208
1580454602,26215,26215
1580455804,26182,26182
1580457624,26155,26155
1580458444,26184,26184
1580460003,26138,26138
1580461139,26131,26131
1580462403,26171,26171
1580463723,26118,26118
1580464563,26144,26144
1580465703,26140,26140
1580467322,25999,25999
1580469244,26015,26015
1580470083,26037,26037
1580471425,25974,25974
1580472844,25950,25950
1580474523,25887,25887
1580476203,25911,25911
1580477403,25902,25902
1580478557,25923,25923
1580479669,25902,25902
1580481302,25913,25913
1580482563,25932,25932
1580483703,25893,25893
1580485323,25856,25856
1580486163,25888,25888
1580487303,25867,25867
1580488083,25894,25894
1580489763,25867,25867
1580490843,25855,25855
1580491682,25893,25893
1580492523,25818,25818
1580494203,25836,25836
1580496122,25820,25820
1580496962,25850,25850
1580497222,25807,25807
1580498359,25859,25859
1580499723,25804,25804
1580501644,25875,25875
1580503131,25878,25878
1580505003,25942,25942
1580506204,25921,25921
1580507402,25957,25957
1580508604,25989,25989
1580509786,25972,25972
1580511363,26035,26035
1580512505,26062,26062
1580513702,26001,26001
1580514904,26033,26033
1580516104,26058,26058
1580517724,26059,26059
1580519027,26086,26086
1580520302,26139,26139
1580521503,26107,26107
1580522633,26153,26153
1580524205,26176,26176
1580524923,26180,26180
1580526603,26180,26180
1580527803,26183,26183
1580529303,26236,26236
1580530503,26237,26237
1580531283,26268,26268
1580532792,26258,26258
1580534043,26280,26280
1580535733,26242,26242
1580536562,26276,26276
1580537643,26276,26276
1580538485,26306,26306
1580539324,26253,26253
1580540522,26256,26256
1580542503,26266,26266
1580543703,26295,26295
1580544904,26285,26285
1580546403,26231,26231
1580547363,26286,26286
1580548442,26258,26258
1580549703,26255,26255
1580550902,26293,26293
1580552042,26294,26294
1580552884,26331,26331
1580553722,26241,26241
1580555404,26241,26241
1580556590,26201,26201
1580558034,26093,26093
1580559303,25980,25980
1580560520,25964,25964
1580561702,25990,25990
1580562903,26015,26015
1580563683,26055,26055
1580564523,25994,25994
1580566443,26039,26039
1580568004,26015,26015
1580569327,26020,26020
1580570043,26063,26063
1580572634,26135,26135
1580573643,26132,26132
1580575323,26139,26139
1580577243,26185,26185
1580578924,26174,26174
1580580603,26214,26214
1580581804,26207,26207
1580583303,26272,26272
1580584504,26269,26269
1580586123,26249,26249
1580587253,26244,26244
1580588394,26290,26290
1580589602,26249,26249
1580591643,26276,26276
1580592495,26313,26313
1580593757,26251,26251
1580595242,26254,26254
1580596082,26290,26290
1580596924,26226,26226
1580598843,26233,26233
1580600405,26216,26216
1580602204,26234,26234
1580603405,26208,26208
1580604603,26237,26237
1580606043,26248,26248
1580606882,26284,26284
1580607734,26246,26246
1580609046,26235,26235
1580610482,26288,26288
1580612441,26207,26207
1580614083,26280,26280
1580614934,26228,26228
1580616843,26256,26256
1580618535,26243,26243
1580620442,26261,26261
1580622138,26252,26252
1580622963,26278,26278
1580624043,26238,26238
1580625302,26241,26241
1580627404,26263,26263
1580628483,26303,26303
1580629324,26243,26243
1580631004,26243,26243
1580632205,26239,26239
1580633354,26265,26265
1580634603,26269,26269
1580635804,26247,26247
1580637364,26290,26290
1580638444,26288,26288
1580639947,26250,26250
1580641713,26260,26260
1580642042,26265,26265
1580643303,26254,26254
1580644503,26295,26295
1580645704,26348,26348
1580646482,26381,26381
1580648164,26349,26349
1580649308,26345,26345
