DateTime,AddedIPs,RemovedIPs
1580121616,62,14
1580122834,8,8
1580124012,6,11
1580125322,6,10
1580126449,7,12
1580128949,74,16
1580130854,15,15
1580131693,17,2
1580132859,11,10
1580134220,9,11
1580135290,9,3
1580136975,8,18
1580138054,11,11
1580138896,11,0
1580140205,14,15
1580141413,7,14
1580142615,19,6
1580144110,5,6
1580145309,47,14
1580146094,4,2
1580146939,9,9
1580148096,16,7
1580149214,13,6
1580150411,15,15
1580151637,8,10
1580152816,9,3
1580154313,16,11
1580155820,8,7
1580157612,10,14
1580158574,8,4
1580159712,16,9
1580160843,9,17
1580161332,5,4
1580162538,10,12
1580164091,18,13
1580165771,30,10
1580166851,7,13
1580167690,7,2
1580169312,7,8
1580170451,6,13
1580172142,10,17
1580173442,11,11
1580175014,12,6
1580175733,4,1
1580176571,7,3
1580177653,26,9
1580178490,20,6
1580179334,16,12
1580181254,9,5
1580182090,9,4
1580183773,4,16
1580184851,6,7
1580186112,10,8
1580187633,10,15
1580189294,22,3
1580190975,22,14
1580192050,7,16
1580193615,9,13
1580195413,13,10
1580195652,1,1
1580196495,5,3
1580198111,8,10
1580199217,12,5
1580200931,15,18
1580202214,11,6
1580203487,19,2
1580204714,7,34
1580205876,6,19
1580207686,12,13
1580208916,8,4
1580210115,4,18
1580210909,6,6
1580212572,12,16
1580212843,6,11
1580214015,7,5
1580215129,9,10
1580216668,14,13
1580217255,8,4
1580218511,9,12
1580219794,11,6
1580220851,9,10
1580222414,11,13
1580224214,10,11
1580226132,6,26
1580227401,1,13
1580229015,16,9
1580229732,2,4
1580231421,24,15
1580232490,4,3
1580233897,6,50
1580235012,9,11
1580236214,15,69
1580237769,4,7
1580238854,7,8
1580239691,7,1
1580240532,8,12
1580242449,11,20
1580243290,9,5
1580244643,21,16
1580246054,6,12
1580247614,9,10
1580248571,3,3
1580249713,4,11
1580250858,5,17
1580252170,6,4
1580253285,8,11
1580254656,8,9
1580256442,10,14
1580256851,6,1
1580258111,6,33
1580259310,7,4
1580260451,7,8
1580261293,7,5
1580262970,7,15
1580264051,4,8
1580265313,9,6
1580266513,4,2
1580267714,5,7
1580268913,2,14
1580270110,5,7
1580271251,2,6
1580272096,5,3
1580272932,4,58
1580274851,7,9
1580276531,3,14
1580277373,4,2
1580278451,1,6
1580279579,8,8
1580280709,7,2
1580281811,8,2
1580282936,6,4
1580284059,4,11
1580285329,5,7
1580286491,7,0
1580287335,2,19
1580288174,4,1
1580289314,5,5
1580290501,15,58
1580291710,5,11
1580292911,6,5
1580294534,8,12
1580295371,8,3
1580296454,2,10
1580297290,3,4
1580300051,40,80
1580301312,11,17
1580302466,8,8
1580303652,10,13
1580304494,6,3
1580305776,6,9
1580307253,7,11
1580308513,3,19
1580309715,7,10
1580310844,5,8
1580312315,6,13
1580313371,10,2
1580314455,8,7
1580315291,6,2
1580317821,9,61
1580319743,17,24
1580321651,20,8
1580322911,9,11
1580324493,8,8
1580325611,10,1
1580327110,5,15
1580328850,32,10
1580330531,14,14
1580332452,10,5
1580333292,5,3
1580334974,11,32
1580336050,16,6
1580336892,3,1
1580338580,10,8
1580339713,4,9
1580341332,9,16
1580343012,6,6
1580344180,7,10
1580345443,5,1
1580346614,5,7
1580347815,7,36
1580349014,9,12
1580350220,10,7
1580351413,5,9
1580354053,6,7
1580356571,28,6
1580358508,11,3
1580359700,1,25
1580361020,6,14
1580362934,3,6
1580364613,5,7
1580365870,8,8
1580367292,12,2
1580368450,2,4
1580369294,5,3
1580370510,4,18
1580371822,10,8
1580373014,10,18
1580375651,15,15
1580376492,5,5
1580377332,9,8
1580379250,18,10
1580380451,15,8
1580381606,5,7
1580382911,11,9
1580384534,15,16
1580386213,13,11
1580387405,10,11
1580388972,11,38
1580390053,12,10
1580390893,4,0
1580392214,19,9
1580393420,8,5
1580395333,22,9
1580397251,15,10
1580398932,17,19
1580400031,8,8
1580401691,11,11
1580402530,4,7
1580404201,10,10
1580405412,10,11
1580407812,15,11
1580409733,10,11
1580411651,17,6
1580412493,7,5
1580415019,16,29
1580416211,7,11
1580417410,7,5
1580418613,9,13
1580419693,7,3
1580422212,17,12
1580422450,4,0
1580424503,12,18
1580426052,8,7
1580427311,10,11
1580428570,10,7
1580429654,5,7
1580431255,12,17
1580432432,16,3
1580433613,7,7
1580434931,9,14
1580436850,9,7
1580438414,15,13
1580439372,5,4
1580440453,12,4
1580442134,8,11
1580442972,4,2
1580444114,3,6
1580445313,11,7
1580446512,3,8
1580447653,9,5
1580448493,6,1
1580449334,1,10
1580450178,8,4
1580451253,6,15
1580452512,4,13
1580454612,23,8
1580455815,9,13
1580457634,14,6
1580458453,2,7
1580460014,15,9
1580461168,16,8
1580462413,12,4
1580463732,10,7
1580464574,4,3
1580465712,5,7
1580467333,13,25
1580469252,14,6
1580470092,4,3
1580471433,21,16
1580472857,4,5
1580474535,12,12
1580476214,7,5
1580477413,6,10
1580478564,7,7
1580479677,11,9
1580481313,17,6
1580482574,6,4
1580483718,9,3
1580485332,7,15
1580486170,8,3
1580487313,10,12
1580488090,8,4
1580489774,15,15
1580490852,18,8
1580491689,11,4
1580492533,12,19
1580494212,12,12
1580496131,19,15
1580496969,8,0
1580497232,3,11
1580498366,7,7
1580499730,15,34
1580501653,20,8
1580503138,29,8
1580505012,11,8
1580506214,13,13
1580507411,9,3
1580508613,16,8
1580509793,13,9
1580511370,19,7
1580512513,13,8
1580513708,13,5
1580514913,7,4
1580516113,9,12
1580517735,14,11
1580519038,7,11
1580520309,12,4
1580521509,15,11
1580522640,12,3
1580524215,14,9
1580524931,2,5
1580526613,9,16
1580527811,16,9
1580529310,10,5
1580530514,5,3
1580531293,6,1
1580532800,17,9
1580534052,10,5
1580535740,7,11
1580536572,3,3
1580537651,9,12
1580538493,6,3
1580539331,6,6
1580540530,9,11
1580542510,10,10
1580543713,8,3
1580544915,5,9
1580546412,16,15
1580547370,10,2
1580548449,6,10
1580549712,28,21
1580550910,13,4
1580552050,11,5
1580552891,3,5
1580553730,6,17
1580555420,20,19
1580556597,10,10
1580558042,11,21
1580559313,12,11
1580560530,5,15
1580561709,11,6
1580562907,9,5
1580563689,6,7
1580564532,7,15
1580566452,12,8
1580568013,12,18
1580569335,16,8
1580570053,7,5
1580572642,15,29
1580573651,8,8
1580575347,12,21
1580577251,15,10
1580578935,8,15
1580580611,11,16
1580581812,13,8
1580583312,25,6
1580584514,6,8
1580586131,13,19
1580587261,8,9
1580588402,16,4
1580589611,9,8
1580591650,9,17
1580592510,10,0
1580593764,9,13
1580595250,10,3
1580596091,9,3
1580596946,3,11
1580598853,7,14
1580600416,9,16
1580602212,10,7
1580603413,9,14
1580604611,7,4
1580606053,9,6
1580606890,3,3
1580607744,4,15
1580609054,9,7
1580610492,8,4
1580612454,13,19
1580614092,10,7
1580614942,2,10
1580616852,13,15
1580618544,11,15
1580620452,9,15
1580622149,14,7
1580622972,7,2
1580624050,7,12
1580625310,9,17
1580627413,15,9
1580628490,9,5
1580629353,5,14
1580631020,11,12
1580632215,7,8
1580633361,6,12
1580634612,10,10
1580635815,11,16
1580637372,3,12
1580638454,13,13
1580639954,11,14
1580641722,18,15
1580642050,5,2
1580643310,8,9
1580644511,18,9
1580645715,28,6
1580646490,6,5
1580648172,15,9
1580649317,8,12
1580650097,7,2
1580651397,14,19
1580652853,9,9
1580654531,18,12
1580656453,19,11
1580658013,18,14
1580658975,11,4
1580660114,15,10
1580663650,51,45
1580665469,25,19
1580667011,19,17
1580668212,19,19
1580668934,6,8
1580670369,22,16
1580671814,14,23
1580672531,7,9
1580673370,6,1
1580674450,9,11
1580675290,11,3
1580676973,7,24
1580678104,11,6
1580679613,3,19
1580681036,9,15
1580681651,5,0
1580682492,2,6
1580683688,6,21
1580685020,10,9
1580686215,7,12
1580688850,14,8
1580690530,11,26
1580692010,5,7
1580694911,9,18
1580696065,7,10
1580697728,18,20
1580699654,6,13
1580700497,8,2
1580702158,7,21
1580703255,13,11
1580704090,11,6
1580705711,5,19
1580706851,10,9
1580708533,13,19
1580710079,11,8
1580711413,12,12
1580712130,7,2
1580712970,6,3
1580714056,9,5
1580714893,8,3
1580715730,10,17
1580717651,6,10
1580719165,8,33
1580721015,10,9
1580724400,16,26
1580725691,7,3
1580726533,5,21
1580727371,12,4
1580728511,6,7
1580730133,10,11
1580730970,6,3
1580732113,11,6
1580733312,3,10
1580734513,6,10
1580736494,16,5
1580737980,8,15
1580739253,5,10
1580740090,6,2
1580741343,3,15
1580742613,12,8
1580744532,21,16
1580745370,13,2
1580746451,10,4
1580747904,12,11
1580750052,16,15
1580751173,13,16
1580752327,7,11
1580753650,9,16
1580755333,7,17
1580756171,6,4
1580758095,15,14
1580760852,17,25
1580762412,10,23
1580764212,19,12
1580765416,11,17
1580766168,6,5
1580766971,12,6
1580768112,7,4
1580768891,9,5
1580769736,11,6
1580771421,18,17
1580773337,10,12
1580775267,15,16
1580776940,16,16
1580777771,7,4
1580778914,13,10
