DateTime,Entries,UniqueIPs
1580121616,1166,1166
1580122834,1166,1166
1580124012,1161,1161
1580125322,1157,1157
1580126449,1152,1152
1580128949,1210,1210
1580130854,1210,1210
1580131693,1225,1225
1580132859,1226,1226
1580134220,1224,1224
1580135290,1230,1230
1580136975,1220,1220
1580138054,1220,1220
1580138896,1231,1231
1580140205,1230,1230
1580141413,1223,1223
1580142615,1236,1236
1580144110,1235,1235
1580145309,1268,1268
1580146094,1270,1270
1580146939,1270,1270
1580148096,1279,1279
1580149214,1286,1286
1580150411,1286,1286
1580151637,1284,1284
1580152816,1290,1290
1580154313,1295,1295
1580155820,1296,1296
1580157612,1292,1292
1580158574,1296,1296
1580159712,1303,1303
1580160843,1295,1295
1580161332,1296,1296
1580162538,1294,1294
1580164091,1299,1299
1580165771,1319,1319
1580166851,1313,1313
1580167690,1318,1318
1580169312,1317,1317
1580170451,1310,1310
1580172142,1303,1303
1580173442,1303,1303
1580175014,1309,1309
1580175733,1312,1312
1580176571,1316,1316
1580177653,1333,1333
1580178490,1347,1347
1580179334,1351,1351
1580181254,1355,1355
1580182090,1360,1360
1580183773,1348,1348
1580184851,1347,1347
1580186112,1349,1349
1580187633,1344,1344
1580189294,1363,1363
1580190975,1371,1371
1580192050,1362,1362
1580193615,1358,1358
1580195413,1361,1361
1580195652,1361,1361
1580196495,1363,1363
1580198111,1361,1361
1580199217,1368,1368
1580200931,1365,1365
1580202214,1370,1370
1580203487,1387,1387
1580204714,1360,1360
1580205876,1347,1347
1580207686,1346,1346
1580208916,1350,1350
1580210115,1336,1336
1580210909,1336,1336
1580212572,1332,1332
1580212843,1327,1327
1580214015,1329,1329
1580215129,1328,1328
1580216668,1329,1329
1580217255,1333,1333
1580218511,1330,1330
1580219794,1335,1335
1580220851,1334,1334
1580222414,1332,1332
1580224214,1331,1331
1580226132,1311,1311
1580227401,1299,1299
1580229015,1306,1306
1580229732,1304,1304
1580231421,1313,1313
1580232490,1314,1314
1580233897,1270,1270
1580235012,1268,1268
1580236214,1214,1214
1580237769,1211,1211
1580238854,1210,1210
1580239691,1216,1216
1580240532,1212,1212
1580242449,1203,1203
1580243290,1207,1207
1580244643,1212,1212
1580246054,1206,1206
1580247614,1205,1205
1580248571,1205,1205
1580249713,1198,1198
1580250858,1186,1186
1580252170,1188,1188
1580253285,1185,1185
1580254656,1184,1184
1580256442,1180,1180
1580256851,1185,1185
1580258111,1158,1158
1580259310,1161,1161
1580260451,1160,1160
1580261293,1162,1162
1580262970,1154,1154
1580264051,1150,1150
1580265313,1153,1153
1580266513,1155,1155
1580267714,1153,1153
1580268913,1141,1141
