DateTime,AddedIPs,RemovedIPs
1580128086,0,3739
1580128946,3809,0
1580130852,33,21
1580131691,19,1
1580132857,18,39
1580134218,19,20
1580135288,13,0
1580136973,28,28
1580138052,23,14
1580138894,25,0
1580140203,40,34
1580141409,22,13
1580142613,26,23
1580144108,16,5
1580145307,0,3893
1580146091,3937,0
1580146937,9,30
1580148094,13,10
1580149211,23,3
1580150409,21,23
1580151634,18,8
1580152813,16,1
1580154310,21,25
1580155818,23,19
1580157607,0,3962
1580158572,3974,0
1580159710,43,18
1580160840,19,28
1580161330,6,10
1580162527,0,3986
1580164089,4009,0
1580165769,46,16
1580166849,12,17
1580167688,6,2
1580169310,22,33
1580170449,22,19
1580172140,22,35
1580173440,18,17
1580175011,31,16
1580175730,9,4
1580176569,17,2
1580177650,36,13
1580178488,19,2
1580179332,21,34
1580181251,24,12
1580182088,15,2
1580183770,15,30
1580184849,16,9
1580186110,15,20
1580187629,20,30
1580189292,36,0
1580190972,38,27
1580192049,0,4129
1580193612,4119,0
1580195411,25,18
1580195650,1,0
1580196491,11,0
1580198109,31,25
1580199213,23,9
1580200929,23,35
1580202212,16,14
1580203483,20,0
1580204711,16,56
1580205874,16,33
1580207684,28,25
1580208913,23,10
1580210112,13,45
1580210890,21,1
1580212570,17,59
1580212839,4,21
1580214011,15,0
1580215127,24,34
1580216667,20,15
1580217252,9,1
1580218509,15,16
1580219791,16,15
1580220849,26,21
1580222412,15,33
1580224211,19,16
1580226130,29,41
1580227399,7,24
1580229013,31,32
1580229730,13,8
1580231418,31,28
1580232488,17,0
1580233895,26,74
1580235010,18,33
1580236211,35,80
1580237768,31,11
1580238851,21,16
1580239689,14,0
1580240530,10,30
1580242447,21,32
1580243288,11,1
1580244641,41,30
1580246051,17,21
1580247611,18,41
1580248569,13,2
1580249711,15,17
1580250855,24,22
1580252168,23,10
1580253283,19,20
1580254654,13,24
1580256440,34,33
1580256849,4,1
1580258109,20,41
1580259308,12,9
1580260446,18,13
1580261291,14,2
1580262968,21,44
1580264048,9,16
1580265311,22,25
1580266511,19,9
1580267711,10,18
1580268911,12,35
1580270108,18,11
1580271249,10,16
1580272093,13,1
