DateTime,AddedIPs,RemovedIPs
1580083543,17,6
1580084719,8,4
1580085732,8,6
1580086574,6,4
1580087715,7,7
1580088493,3,1
1580090112,7,3
1580091254,3,7
1580092934,7,11
1580094852,4,5
1580095693,2,4
1580097316,4,3
1580098456,4,5
1580100149,10,7
1580101823,8,9
1580102895,3,6
1580104571,3,2
1580105715,8,4
1580107219,16,10
1580108171,4,9
1580109317,5,2
1580110499,2,3
1580111712,13,4
1580112915,6,3
1580114418,7,6
1580116216,9,7
1580116455,1,0
1580118136,6,10
1580118974,0,2
1580120065,1,2
1580121617,1,9
1580122836,2,5
1580124014,4,3
1580125327,10,6
1580126451,9,6
1580128088,9,9
1580128950,6,7
1580130855,4,7
1580131694,6,4
1580132861,3,6
1580134221,10,7
1580135291,1,6
1580136976,2,7
1580138055,6,2
1580138898,2,1
1580140207,3,5
1580141414,3,4
1580142617,1,10
1580144111,5,11
1580145310,2,6
1580146095,6,0
1580146940,3,2
1580148097,5,8
1580149216,7,4
1580150412,3,5
1580151638,0,6
1580152817,5,1
1580154314,6,8
1580155821,5,0
1580157614,5,6
1580158575,0,3
1580159713,9,5
1580160844,11,6
1580161334,2,2
1580162540,1,4
1580164093,7,6
1580165772,10,4
1580166853,3,6
1580167691,3,3
1580169314,6,12
1580170453,4,7
1580172143,4,8
1580173444,1,7
1580175016,7,3
1580175734,3,0
1580176572,5,9
1580177655,8,19
1580178491,5,0
1580179335,2,1
1580181255,10,8
1580182092,4,5
1580183775,4,7
1580184852,2,4
1580186113,2,3
1580187636,6,6
1580189295,7,6
1580190976,7,7
1580192051,3,5
1580193617,2,4
1580195414,4,7
1580195653,1,0
1580196496,2,0
1580198112,5,4
1580199219,1,4
1580200932,7,2
1580202215,2,1
1580203489,6,2
1580204716,9,8
1580205877,5,2
1580207687,5,6
1580208917,5,3
1580210116,3,4
1580210911,1,1
1580212573,6,4
1580212846,1,2
1580214017,5,2
1580215130,5,13
1580216670,5,6
1580217256,3,1
1580218512,2,3
1580219795,3,5
1580220853,3,4
1580222416,3,3
1580224215,4,3
1580226133,5,3
1580227402,1,1
1580229016,8,4
1580229733,3,2
1580231422,9,1
1580232491,3,3
1580233898,4,4
1580235014,45,3
1580236216,2,6
1580237771,3,4
1580238855,5,3
1580239692,1,4
1580240535,6,1
1580242450,6,8
1580243291,3,2
1580244644,15,3
1580246056,6,6
1580247615,9,8
1580248572,2,5
1580249714,4,7
1580250859,4,6
1580252171,6,1
1580253286,3,3
1580254657,8,4
1580256444,8,7
1580256852,5,3
1580258112,4,3
1580259311,3,6
1580260452,4,4
1580261294,2,3
1580262971,8,4
1580264052,5,4
1580265314,7,6
1580266514,7,5
1580267716,2,5
1580268914,4,6
1580270111,5,5
1580271252,2,7
1580272097,4,5
1580272934,8,4
1580274852,6,6
1580276532,8,9
1580277374,5,3
1580278452,2,5
1580279580,3,2
1580280710,5,4
1580281813,9,7
1580282937,5,5
1580284060,7,3
1580285330,5,3
1580286492,5,3
1580287336,3,4
1580288175,5,3
1580289315,1,1
1580290502,5,6
1580291711,3,5
1580294535,12,12
1580296455,3,15
1580297291,1,2
1580300052,6,10
1580301313,1,4
1580302467,7,2
1580303653,6,3
1580304495,2,3
1580305777,10,8
1580307254,4,7
1580308515,7,4
1580309716,3,3
1580310846,5,2
1580312316,4,0
1580313372,6,5
1580314457,3,1
1580315292,1,5
1580317822,8,5
1580319013,3,8
1580319744,3,2
1580321652,6,1
1580322912,7,6
1580324494,4,4
1580325613,1,9
1580327111,7,9
1580328851,8,5
1580330533,3,9
1580332453,9,7
1580333293,2,2
1580334975,8,4
1580336051,3,6
1580336893,7,4
1580338581,8,8
1580339714,3,10
1580341333,3,6
1580343014,11,6
1580344182,6,7
1580345444,4,7
1580346615,4,4
1580347816,4,17
1580349015,6,3
1580350221,4,2
1580351414,5,5
1580354054,14,6
1580356572,5,5
1580358509,6,9
1580359702,6,4
1580361021,5,6
1580362935,12,2
1580364614,5,9
1580365871,3,4
1580367293,1,1
1580368452,1,4
1580369295,1,6
1580370511,3,3
1580371824,5,5
1580373016,4,4
