DateTime,Entries,UniqueIPs
1579606933,761,761
1579608874,760,760
1579610326,760,760
1579613880,758,758
1579615042,755,755
1579616898,751,751
1579619414,752,752
1579622174,755,755
1579623256,756,756
1579625772,757,757
1579628545,755,755
1579630515,752,752
1579631916,751,751
1579633816,752,752
1579635734,752,752
1579637655,753,753
1579640275,754,754
1579641613,753,753
1579642770,752,752
1579644619,753,753
1579645818,753,753
1579648516,755,755
1579650134,754,754
1579651551,754,754
1579653015,756,756
1579654536,755,755
1579655654,756,756
1579657336,754,754
1579659255,755,755
1579660935,754,754
1579662919,756,756
1579664020,753,753
1579665314,752,752
1579666516,747,747
1579668136,748,748
1579669822,749,749
1579671738,750,750
1579674915,749,749
1579676026,748,748
1579677255,749,749
1579680036,748,748
1579682417,748,748
1579683375,750,750
1579684456,749,749
1579686975,748,748
1579688054,748,748
1579689733,743,743
1579691351,744,744
1579692506,745,745
1579693814,744,744
1579695015,743,743
1579696932,777,777
1579698615,781,781
1579700534,782,782
1579702457,781,781
1579703582,782,782
1579709653,783,783
1579711812,783,783
1579714390,782,782
1579715678,783,783
1579717994,783,783
1579719316,785,785
1579722136,784,784
1579730171,785,785
1579731319,786,786
1579733412,785,785
1579734852,786,786
1579737057,785,785
1579738456,784,784
1579739713,785,785
1579743614,786,786
1579744837,788,788
1579745656,789,789
1579746757,787,787
1579748116,788,788
1579749316,787,787
1579750936,789,789
1579752916,789,789
1579754536,787,787
1579757415,788,788
1579760416,790,790
1579761734,789,789
1579763656,789,789
1579768515,790,790
1579769714,789,789
1579770848,788,788
1579772421,788,788
1579775114,789,789
1579776973,788,788
1579783337,787,787
1579785256,785,785
1579786648,784,784
1579787744,783,783
1579788852,784,784
1579792072,783,783
1579797314,782,782
1579798440,783,783
1579801335,782,782
1579803255,786,786
1579812135,787,787
1579814054,786,786
1579815617,783,783
1579821252,781,781
1579822110,782,782
1579824615,783,783
1579828456,782,782
1579832415,783,783
1579833747,782,782
1579835652,781,781
1579836493,782,782
1579838175,782,782
1579839317,783,783
1579842622,779,779
1579843819,778,778
1579845376,778,778
1579846472,777,777
1579848020,776,776
1579851734,779,779
1579855335,779,779
1579858094,780,780
1579859255,781,781
1579860616,781,781
1579862537,782,782
1579865293,784,784
1579866973,761,761
1579868056,752,752
1579869235,750,750
1579870513,751,751
1579873217,750,750
1579874175,751,751
1579876487,752,752
1579879215,752,752
1579882519,754,754
1579886893,752,752
1579887735,751,751
1579889654,752,752
1579890917,749,749
1579893257,748,748
1579895327,750,750
1579896854,749,749
1579897692,750,750
1579899374,749,749
1579902141,748,748
1579904055,749,749
1579914261,748,748
1579916535,747,747
1579918454,746,746
1579920133,748,748
1579922054,747,747
1579926494,745,745
1579928113,745,745
1579930943,746,746
1579935633,746,746
1579938015,748,748
1579939802,749,749
1579945334,748,748
1579947254,748,748
1579950624,747,747
1579952800,746,746
1579954455,745,745
