DateTime,AddedIPs,RemovedIPs
1579805293,17,0
1579807207,17,14
1579809128,16,3
1579811057,18,6
1579812969,18,13
1579814890,14,4
1579816806,10,16
1579818738,14,8
1579821145,14,8
1579824975,12,18
1579826889,10,8
1579828810,12,0
1579830726,11,6
1579832653,9,11
1579834573,11,14
1579836491,9,6
1579838413,10,6
1579840346,8,9
1579842498,8,6
1579844411,10,12
1579846332,6,8
1579848249,9,11
1579850175,6,3
1579852094,9,5
1579854036,6,24
1579855956,6,15
1579857852,8,15
1579859769,8,0
1579861715,12,9
1579863635,9,9
1579865557,8,8
1579867722,12,8
1579869611,14,8
1579871561,10,12
1579873449,16,10
1579875398,13,4
1579877296,18,3
1579879207,6,9
1579881150,10,11
1579883048,6,0
1579884993,14,18
1579886891,18,0
1579888811,14,14
1579890745,12,17
1579892912,9,24
1579894814,10,0
1579896985,10,16
1579898903,14,4
1579900813,15,0
1579902730,13,8
1579904709,7,9
1579906611,5,5
1579908504,6,9
1579910426,8,5
1579912353,9,14
1579914254,9,0
1579916186,4,10
1579918103,13,0
1579920015,10,4
1579921944,11,8
1579923856,7,7
1579925772,3,9
1579927694,13,8
1579929607,9,6
1579931535,11,6
1579933462,14,4
1579935375,16,14
1579937286,10,15
1579939228,14,5
1579941133,9,15
1579943305,8,7
1579945211,8,14
1579947152,10,10
1579949056,13,13
1579952905,11,25
1579954813,6,10
1579956729,11,10
1579958666,10,16
1579960569,15,11
1579962491,10,21
1579964424,10,21
1579966336,10,14
1579968498,14,21
1579970412,18,16
1579972337,13,23
1579974263,11,21
1579978095,9,34
1579980022,15,18
1579981931,14,0
1579983850,13,13
1579985784,12,15
1579987687,15,0
1579989615,13,13
1579991548,6,18
1579993453,14,15
1579995368,12,14
1579997318,9,0
1579999211,9,11
1580001150,6,10
1580003048,6,19
1580004982,14,14
1580006903,9,9
1580008810,8,4
1580010726,4,0
1580012675,6,27
1580014567,11,0
1580016492,6,24
1580018430,13,11
1580020334,7,0
1580022502,14,33
1580024411,6,17
1580026344,6,11
1580028249,7,13
1580030174,7,8
1580032103,8,10
1580034007,5,5
1580035941,10,8
1580037862,11,3
1580039770,11,0
1580041689,12,9
1580043621,10,12
1580045530,15,8
1580047702,5,9
1580049611,14,16
1580051549,6,16
1580053451,7,9
1580055374,14,12
1580057294,11,13
1580059222,4,24
1580061130,6,17
1580063059,11,18
1580064982,13,16
1580066887,9,6
1580068815,6,10
1580070744,16,10
1580072654,22,12
1580074567,19,17
1580076507,22,6
1580078409,10,12
1580080330,16,12
1580082260,13,10
1580084174,7,16
1580086089,16,8
1580088019,4,8
1580089928,12,7
1580091847,13,14
1580093780,10,11
