DateTime,Entries,UniqueIPs
1579805293,7356,7542
1579807207,7355,7541
1579809128,7349,7537
1579811057,7343,7531
1579812969,7338,7526
1579814890,7329,7517
1579816806,7323,7511
1579818738,7310,7498
1579821145,7283,7471
1579824975,7267,7455
1579826889,7259,7447
1579828810,7248,7436
1579830726,7251,7439
1579832653,7262,7450
1579834573,7256,7444
1579836491,7250,7438
1579838413,7246,7435
1579840346,7238,7428
1579842498,7230,7420
1579844411,7219,7409
1579846332,7215,7405
1579848249,7216,7405
1579850175,7213,7403
1579852094,7207,7397
1579854036,7206,7396
1579855956,7197,7387
1579857852,7194,7384
1579859769,7206,7396
1579861715,7215,7405
1579863635,7213,7403
1579865557,7208,7399
1579867722,7199,7390
1579869611,7219,7411
1579871561,7215,7407
1579873449,7234,7426
1579875398,7219,7409
1579877296,7214,7404
1579879207,7222,7412
1579881150,7176,7365
1579883048,7183,7372
1579884993,7155,7343
1579886891,7174,7365
1579888811,7173,7364
1579890745,7150,7342
1579892912,7165,7357
1579894814,7126,7317
1579896985,7122,7314
1579898903,7139,7331
1579900813,7131,7323
1579902730,7131,7323
1579904709,7142,7334
1579906611,7121,7313
1579908504,7097,7289
1579910426,7092,7284
1579912353,7085,7277
1579914254,7084,7276
1579916186,7088,7281
1579918103,7090,7283
1579920015,7094,7287
1579921944,7085,7278
1579923856,7094,7287
1579925772,7084,7277
1579927694,7082,7275
1579929607,7071,7263
1579931535,7070,7260
1579933462,7060,7251
1579935375,7063,7254
1579937286,7066,7254
1579939228,7072,7260
1579941133,7073,7262
1579943305,7074,7263
1579945211,7071,7259
1579947152,7077,7265
1579949056,7078,7266
1579952905,7062,7253
1579954813,7050,7241
1579956729,7047,7238
1579958666,7041,7233
1579960569,7040,7231
1579962491,7031,7222
1579964424,7021,7209
1579966336,7019,7207
1579968498,7018,7207
1579970412,7018,7207
1579972337,7035,7224
1579974263,7026,7216
1579978095,7001,7190
1579980022,6988,7177
1579981931,6972,7161
1579983850,6969,7157
1579985784,6967,7154
1579987687,6972,7158
1579989615,6965,7151
1579991548,6952,7138
1579993453,6949,7135
1579995368,6938,7123
1579997318,6928,7113
1579999211,6925,7109
1580001150,6913,7097
1580003048,6907,7091
1580004982,6904,7088
1580006903,6895,7079
1580008810,6891,7075
1580010726,6884,7068
1580012675,6875,7059
1580014567,6881,7065
1580016492,6869,7054
1580018430,6863,7051
1580020334,6860,7048
1580022502,6856,7045
1580024411,6851,7037
1580026344,6848,7035
1580028249,6843,7030
1580030174,6836,7023
1580032103,6839,7026
1580034007,6834,7021
1580035941,6848,7035
1580037862,6842,7029
1580039770,6835,7022
1580041689,6828,7015
1580043621,6821,7008
1580045530,6823,7010
1580047702,6809,6997
1580049611,6819,7008
1580051549,6805,6994
1580053451,6793,6982
1580055374,6799,6989
1580057294,6793,6984
1580059222,6784,6974
1580061130,6780,6970
1580063059,6774,6964
1580064982,6777,6967
1580066887,6773,6963
1580068815,6770,6960
1580070744,6774,6966
1580072654,6785,6976
1580074567,6781,6973
1580076507,6787,6979
1580078409,6788,6980
1580080330,6794,6986
1580082260,6797,6987
1580084174,6788,6978
1580086089,6795,6985
1580088019,6779,6967
1580089928,6778,6966
1580091847,6778,6965
1580093780,6770,6958
1580095686,6764,6952
1580097616,6763,6951
1580099542,6759,6947
1580101710,6754,6943
1580103610,6755,6944
1580105532,6757,6944
1580107466,6764,6951
1580109371,6774,6961
1580111536,6762,6950
1580113449,6768,6956
1580117289,6740,6928
1580119212,6739,6926
1580121146,6758,6944
1580123065,6769,6954
1580124968,6769,6954
1580126903,6782,6968
1580128810,6784,6971
1580130980,6797,6984
1580132891,6787,6974
1580136743,6760,6947
1580138648,6752,6939
1580140580,6743,6930
1580142488,6743,6930
1580144415,6741,6927
1580146345,6741,6927
1580148509,6747,6931
1580150413,6746,6929
1580152591,6740,6923
1580154492,6722,6905
1580156419,6725,6908
1580158328,6724,6907
1580160261,6723,6906
1580162167,6720,6904
1580164098,6720,6903
1580166011,6716,6899
1580167933,6718,6900
1580170111,6715,6897
1580172010,6715,6899
1580173932,6717,6900
1580175860,6730,6911
1580179693,6722,6901
1580181608,6722,6901
1580183527,6727,6906
1580185461,6730,6909
1580187369,6735,6914
1580189287,6751,6931
1580191229,6752,6932
1580193132,6753,6933
1580195301,6754,6934
1580197212,6757,6938
1580199145,6756,6937
1580201048,6756,6938
1580202976,6745,6926
1580204902,6746,6927
1580206819,6738,6919
1580208729,6736,6914
1580210661,6738,6916
1580212571,6727,6905
1580214487,6712,6890
1580216426,6704,6882
1580218332,6698,6876
1580220507,6719,6897
1580222424,6716,6893
1580224582,6704,6880
1580226734,6693,6869
1580228656,6675,6851
1580230580,6669,6845
1580232509,6687,6863
1580234410,6676,6852
1580236349,6671,6847
1580238512,6638,6814
1580240413,6634,6810
1580242332,6659,6835
1580244266,6649,6825
1580246174,6651,6826
1580248094,6640,6815
1580250028,6632,6807
1580251928,6649,6825
1580253850,6642,6818
1580255779,6621,6797
1580257686,6637,6813
1580259608,6635,6811
1580261544,6615,6789
1580263709,6615,6789
1580265612,6600,6773
1580267534,6589,6763
1580269463,6603,6777
1580271634,6605,6781
1580273527,6599,6775
1580275482,6588,6764
1580277380,6608,6784
1580279291,6614,6790
1580281212,6617,6794
1580286005,6599,6776
1580287936,6600,6777
1580289851,6601,6778
1580293687,6578,6755
1580295612,6572,6749
1580297543,6575,6752
1580299709,6576,6753
1580301609,6576,6753
1580303550,6576,6756
1580305448,6574,6754
1580307370,6568,6749
1580309303,6579,6759
1580311205,6564,6744
1580313124,6566,6745
1580315058,6564,6743
1580316965,6564,6743
1580318884,6572,6751
1580320827,6572,6750
1580322730,6589,6767
1580324651,6590,6768
1580326582,6600,6778
1580328489,6586,6764
1580330409,6590,6768
1580332340,6587,6765
1580334248,6597,6776
1580336169,6586,6765
1580338098,6579,6758
1580340004,6579,6758
1580341923,6573,6752
1580343857,6567,6749
1580345764,6562,6744
1580347684,6572,6752
