DateTime,AddedIPs,RemovedIPs
1579805293,62,71
1579807207,56,61
1579809128,63,58
1579811057,68,62
1579812969,58,66
1579814890,57,59
1579816806,56,59
1579818738,56,56
1579821145,64,58
1579824975,59,60
1579826889,46,57
1579828810,50,50
1579830726,54,49
1579832653,52,55
1579834573,49,48
1579836491,39,49
1579838413,55,42
1579840346,48,56
1579842498,36,47
1579844411,44,40
1579846332,39,43
1579848249,49,37
1579850175,44,49
1579852094,49,45
1579854036,43,47
1579855956,38,43
1579857852,35,38
1579859769,48,36
1579861715,34,49
1579863635,50,33
1579865557,37,47
1579867722,53,39
1579869611,58,53
1579871561,47,60
1579873449,43,48
1579875398,62,44
1579877296,50,61
1579879207,15,50
1579881150,44,16
1579883048,26,45
1579884993,72,23
1579886891,56,74
1579888811,69,52
1579890745,65,67
1579892912,62,63
1579894814,72,67
1579896985,66,75
1579898903,56,60
1579900813,58,54
1579902730,58,59
1579904709,50,65
1579906611,53,44
1579908504,44,52
1579910426,52,48
1579912353,47,49
1579914254,56,46
1579916186,41,57
1579918103,47,42
1579920015,67,51
1579921944,57,64
1579923856,48,49
1579925772,42,49
1579927694,50,44
1579929607,56,49
1579931535,47,58
1579933462,47,51
1579935375,62,47
1579937286,60,63
1579939228,64,59
1579941133,46,61
1579943305,42,45
1579945211,47,48
1579947152,49,46
1579949056,52,49
1579952905,50,53
1579954813,42,52
1579956729,50,38
1579958666,43,50
1579960569,46,44
1579962491,43,46
1579964424,58,43
1579966336,60,55
1579968498,65,63
1579970412,63,66
1579972337,51,64
1579974263,60,52
1579978095,55,58
1579980022,56,55
1579981931,62,54
1579983850,63,60
1579985784,61,66
1579987687,58,61
1579989615,55,59
1579991548,48,53
1579993453,53,47
1579995368,65,54
1579997318,61,63
1579999211,61,61
1580001150,58,58
1580003048,49,62
1580004982,55,50
1580006903,51,56
1580008810,59,48
1580010726,54,59
1580012675,55,55
1580014567,40,56
1580016492,49,40
1580018430,58,50
1580020334,55,57
1580022502,55,55
1580024411,59,57
1580026344,44,54
1580028249,30,49
1580030174,20,31
1580032103,41,18
1580034007,35,42
1580035941,49,31
1580037862,41,53
1580039770,50,41
1580041689,46,51
1580043621,47,47
1580045530,59,43
1580047702,56,63
1580049611,58,54
1580051549,42,58
1580053451,27,44
1580055374,68,24
1580057294,48,65
1580059222,50,51
1580061130,63,51
1580063059,53,60
1580064982,46,56
1580066887,63,45
1580068815,62,63
1580070744,77,64
1580072654,74,79
1580074567,73,72
1580076507,66,73
1580078409,64,65
1580080330,62,61
1580082260,63,66
1580084174,56,60
1580086089,59,52
1580088019,46,62
1580089928,58,45
1580091847,61,60
1580093780,52,59
1580095686,48,48
1580097616,48,52
1580099542,57,49
1580101710,63,57
1580103610,49,65
1580105532,49,48
1580107466,62,52
1580109371,43,59
1580111536,59,40
1580113449,55,64
1580117289,31,57
1580119212,59,30
1580121146,65,56
1580123065,61,67
1580124968,64,64
1580126903,62,62
1580128810,58,62
1580130980,52,59
1580132891,30,47
1580136743,60,34
1580138648,20,60
1580140580,46,22
1580142488,46,44
1580144415,49,46
1580146345,63,45
1580148509,66,65
1580150413,63,66
1580152591,65,63
1580154492,59,66
1580156419,77,61
1580158328,64,76
1580160261,65,63
1580162167,66,68
1580164098,62,65
1580166011,69,63
1580167933,60,65
1580170111,68,60
1580172010,63,69
1580173932,60,64
1580175860,67,58
1580179693,54,63
1580181608,67,53
1580183527,58,67
1580185461,68,63
1580187369,59,70
1580189287,63,57
1580191229,50,60
1580193132,59,52
1580195301,50,60
1580197212,49,50
1580199145,35,48
1580201048,48,36
1580202976,32,51
1580204902,40,30
1580206819,53,39
1580208729,42,49
1580210661,47,48
1580212571,54,47
1580214487,45,55
1580216426,58,46
1580218332,53,56
1580220507,55,53
1580222424,44,51
1580224582,18,50
1580226734,29,18
1580228656,48,27
1580230580,64,49
1580232509,65,62
1580234410,51,64
1580236349,66,50
1580238512,66,67
1580240413,62,67
1580242332,73,61
1580244266,62,72
1580246174,68,64
1580248094,59,70
1580250028,51,57
1580251928,59,48
1580253850,45,63
1580255779,63,45
1580257686,56,59
1580259608,62,57
1580261544,58,61
1580263709,68,59
1580265612,41,70
1580267534,57,37
1580269463,55,56
1580271634,69,58
1580273527,69,69
1580275482,53,70
1580277380,64,52
1580279291,51,59
1580281212,52,53
1580286005,37,55
1580287936,55,36
1580289851,53,58
1580293687,36,54
1580295612,48,36
1580297543,49,43
1580299709,50,48
1580301609,49,53
1580303550,52,52
1580305448,40,51
1580307370,58,40
1580309303,55,60
1580311205,50,52
1580313124,53,44
1580315058,47,59
1580316965,53,49
1580318884,67,54
1580320827,53,66
1580322730,63,52
1580324651,52,61
1580326582,58,52
1580328489,63,57
1580330409,71,63
1580332340,63,75
1580334248,58,61
1580336169,49,55
1580338098,69,52
1580340004,52,70
1580341923,59,49
1580343857,61,58
1580345764,58,58
1580347684,63,60
1580349619,51,65
1580351528,52,49
1580355377,63,58
1580357286,56,57
1580359208,62,57
1580361145,68,63
1580363052,60,69
1580364975,49,62
1580368828,58,46
1580370738,63,56
1580372663,51,68
1580374569,57,49
1580376486,36,60
1580378426,43,35
1580380333,57,44
1580382252,55,55
1580384180,56,55
1580386101,49,54
1580388022,38,49
1580391850,45,44
1580393774,45,44
1580395691,39,45
1580397608,47,37
1580399527,58,44
1580401460,61,61
1580403369,60,63
1580405287,62,57
1580407464,57,64
1580409373,52,51
1580411307,57,51
1580413212,73,61
1580417065,64,75
1580418973,67,65
1580420891,55,67
1580422812,69,53
1580424726,69,71
1580426652,65,69
1580428578,68,65
1580430488,66,67
1580432406,65,63
1580436252,59,64
1580438183,61,59
1580443945,60,61
1580445849,61,58
1580447770,56,64
1580449732,51,58
1580451617,49,51
1580453528,69,50
1580455452,64,69
1580457376,48,63
1580459287,47,50
1580461208,54,46
1580463149,52,53
1580465309,46,50
1580467210,45,49
1580469133,52,45
1580471059,49,48
1580472979,42,52
1580474893,54,46
1580476834,57,53
1580478727,62,56
1580480663,38,63
1580482571,50,37
1580484737,25,51
1580486655,50,26
1580488580,69,45
1580490738,46,69
1580492894,59,47
1580494811,58,60
1580496743,69,59
1580498648,53,69
1580500581,61,54
1580502484,63,62
1580506340,68,58
1580508518,63,67
1580510412,43,67
1580512334,59,41
1580514259,60,58
1580516169,68,63
1580518093,57,63
1580520017,62,58
1580521936,56,62
1580523849,55,58
1580525778,60,55
1580527688,60,62
1580529628,57,58
1580531533,60,55
1580533453,62,60
1580535380,63,65
1580537557,57,65
1580539452,65,51
1580541386,64,69
1580543288,65,64
1580545206,57,66
1580547155,59,56
1580549048,21,59
1580552886,51,21
1580554823,52,49
1580556730,48,51
1580558665,55,43
1580562488,49,61
1580564409,55,50
1580566331,43,57
1580568260,45,41
1580570171,33,48
1580572091,33,34
1580574017,42,31
1580575926,53,42
1580577849,57,47
1580579779,61,58
1580581688,49,62
1580583610,51,50
1580587461,41,48
1580589382,59,43
1580591304,56,58
1580593222,55,56
1580595387,65,58
1580597303,59,60
1580599207,53,62
1580601130,50,54
1580603059,58,51
1580604971,63,54
1580607135,60,67
1580609055,53,57
1580610985,58,53
1580612893,58,60
1580614810,60,58
1580616744,53,60
1580618648,52,47
1580620574,63,54
1580622505,52,60
1580624412,63,62
1580626330,55,59
1580628264,57,56
1580630169,52,55
1580632088,52,55
1580634028,49,54
1580635928,41,48
1580637856,62,40
1580639782,54,64
1580641699,50,54
1580643612,46,47
1580645546,28,44
1580648449,54,28
1580650332,36,58
1580652500,41,36
1580654410,42,42
1580656340,33,43
1580658247,24,34
1580662339,44,23
1580664247,48,43
1580666177,51,47
1580668354,71,51
1580670252,69,72
1580672173,62,66
1580674111,60,63
1580676016,64,60
1580677937,64,66
