DateTime,Entries,UniqueIPs
1579805293,68,68
1579807207,63,63
1579809128,68,68
1579811057,74,74
1579812969,66,66
1579814890,64,64
1579816806,61,61
1579818738,61,61
1579821145,67,67
1579824975,66,66
1579826889,55,55
1579828810,55,55
1579830726,60,60
1579832653,57,57
1579834573,58,58
1579836491,48,48
1579838413,61,61
1579840346,53,53
1579842498,42,42
1579844411,46,46
1579846332,42,42
1579848249,54,54
1579850175,49,49
1579852094,53,53
1579854036,49,49
1579855956,44,44
1579857852,41,41
1579859769,53,53
1579861715,38,38
1579863635,55,55
1579865557,45,45
1579867722,59,59
1579869611,64,64
1579871561,51,51
1579873449,46,46
1579875398,64,64
1579877296,53,53
1579879207,18,18
1579881150,46,46
1579883048,27,27
1579884993,76,76
1579886891,58,58
1579888811,75,75
1579890745,73,73
1579892912,72,72
1579894814,77,77
1579896985,68,68
1579898903,64,64
1579900813,68,68
1579902730,67,67
1579904709,52,52
1579906611,61,61
1579908504,53,53
1579910426,57,57
1579912353,55,55
1579914254,65,65
1579916186,49,49
1579918103,54,54
1579920015,70,70
1579921944,63,63
1579923856,62,62
1579925772,55,55
1579927694,61,61
1579929607,68,68
1579931535,57,57
1579933462,53,53
1579935375,68,68
1579937286,65,65
1579939228,70,70
1579941133,55,55
1579943305,52,52
1579945211,51,51
1579947152,54,54
1579949056,57,57
1579952905,54,54
1579954813,44,44
1579956729,56,56
1579958666,49,49
1579960569,51,51
1579962491,48,48
1579964424,63,63
1579966336,68,68
1579968498,70,70
1579970412,67,67
1579972337,54,54
1579974263,62,62
1579978095,59,59
1579980022,60,60
1579981931,68,68
1579983850,71,71
1579985784,66,66
1579987687,63,63
1579989615,59,59
1579991548,54,54
1579993453,60,60
1579995368,71,71
1579997318,69,69
1579999211,69,69
1580001150,69,69
1580003048,56,56
1580004982,61,61
1580006903,56,56
1580008810,67,67
1580010726,62,62
1580012675,62,62
1580014567,46,46
1580016492,55,55
1580018430,63,63
1580020334,61,61
1580022502,61,61
1580024411,63,63
1580026344,53,53
1580028249,34,34
1580030174,23,23
1580032103,46,46
1580034007,39,39
1580035941,57,57
1580037862,45,45
1580039770,54,54
1580041689,49,49
1580043621,49,49
1580045530,65,65
1580047702,58,58
1580049611,62,62
1580051549,46,46
1580053451,29,29
1580055374,73,73
1580057294,56,56
1580059222,55,55
1580061130,67,67
1580063059,60,60
1580064982,50,50
1580066887,68,68
1580068815,67,67
1580070744,80,80
1580072654,75,75
1580074567,76,76
1580076507,69,69
1580078409,68,68
1580080330,69,69
1580082260,66,66
1580084174,62,62
1580086089,69,69
1580088019,53,53
1580089928,66,66
1580091847,67,67
1580093780,60,60
1580095686,60,60
1580097616,56,56
1580099542,64,64
1580101710,70,70
1580103610,54,54
1580105532,55,55
1580107466,65,65
1580109371,49,49
1580111536,68,68
1580113449,59,59
1580117289,33,33
1580119212,62,62
1580121146,71,71
1580123065,65,65
1580124968,65,65
1580126903,65,65
1580128810,61,61
1580130980,54,54
1580132891,37,37
1580136743,63,63
1580138648,23,23
1580140580,47,47
1580142488,49,49
1580144415,52,52
1580146345,70,70
1580148509,71,71
1580150413,68,68
1580152591,70,70
1580154492,63,63
1580156419,79,79
1580158328,67,67
1580160261,69,69
1580162167,67,67
1580164098,64,64
1580166011,70,70
1580167933,65,65
1580170111,73,73
1580172010,67,67
1580173932,63,63
1580175860,72,72
1580179693,63,63
1580181608,77,77
1580183527,68,68
1580185461,73,73
1580187369,62,62
1580189287,68,68
1580191229,58,58
1580193132,65,65
1580195301,55,55
1580197212,54,54
1580199145,41,41
1580201048,53,53
1580202976,34,34
1580204902,44,44
1580206819,58,58
1580208729,51,51
1580210661,50,50
1580212571,57,57
1580214487,47,47
1580216426,59,59
1580218332,56,56
1580220507,58,58
1580222424,51,51
1580224582,19,19
1580226734,30,30
1580228656,51,51
1580230580,66,66
1580232509,69,69
1580234410,56,56
1580236349,72,72
1580238512,71,71
1580240413,66,66
1580242332,78,78
1580244266,68,68
1580246174,72,72
1580248094,61,61
1580250028,55,55
1580251928,66,66
1580253850,48,48
1580255779,66,66
1580257686,63,63
1580259608,68,68
1580261544,65,65
1580263709,74,74
1580265612,45,45
1580267534,65,65
1580269463,64,64
1580271634,75,75
1580273527,75,75
