DateTime,AddedIPs,RemovedIPs
1580049611,129,8
1580051549,16,15
1580052738,738,1580
1580053451,11,23
1580054401,328,0
1580055374,25,23
1580057294,12,24
1580059222,12,16
1580061130,24,20
1580063059,149,0
1580064982,24,16
1580066887,163,17
1580068815,23,24
1580069701,302,0
1580070744,41,21
1580072654,42,27
1580074567,33,19
1580076507,34,18
1580078409,134,11
1580080330,26,15
1580080502,173,0
1580082007,44,0
1580082260,23,13
1580084174,13,13
1580086089,21,13
1580088019,117,2448
1580088602,91,0
1580089686,77,123
1580089928,23,11
1580091847,23,18
1580092202,100,0
1580093780,14,11
1580095686,13,11
1580095802,115,0
1580097365,6,0
1580097616,12,16
1580099542,13,8
1580101710,17,15
1580103002,230,0
1580103610,14,9
1580105532,12,12
1580107466,25,13
1580109371,11,16
1580110201,259,0
1580111062,687,814
1580111536,20,15
1580113449,14,5
1580117289,4,18
1580117402,351,0
1580118264,890,0
1580119212,24,12
1580121146,32,5
1580123065,26,16
1580124490,798,0
1580124968,185,12
1580126903,38,12
1580128810,36,12
1580129102,344,0
1580130980,25,14
1580132891,9,29
1580135546,778,0
1580136743,357,44
1580138648,6,11
1580140580,15,6
1580142488,16,27
1580144415,200,10
1580145134,794,727
1580146345,32,10
1580147102,265,0
1580148509,27,20
1580150413,32,12
1580152591,31,20
1580154492,14,12
1580156419,175,18
1580158328,23,42
1580158803,286,0
1580160261,29,37
1580162167,30,30
1580162402,111,0
1580164098,22,27
1580166011,26,23
1580166730,138,34
1580167933,25,20
1580170111,135,2725
1580172010,26,12
1580173202,113,0
1580173932,20,20
1580174406,42,0
1580175860,31,9
1580176802,128,0
1580178248,39,80
1580179693,17,35
1580181608,17,11
1580183527,23,15
1580184002,295,0
1580185461,14,9
1580185927,10,18
1580187369,27,12
1580189287,17,15
1580191229,20,12
1580193132,291,14
1580195301,23,23
1580197212,17,10
1580199145,311,24
1580201048,23,15
1580202976,83,0
1580204902,12,4
1580206819,400,20
1580208729,15,30
1580210661,16,20
1580212571,14,33
1580213702,368,0
1580214487,14,35
1580216426,20,32
1580218332,24,20
1580220507,21,6
1580220902,288,0
1580222424,19,0
1580224582,9,28
1580226734,8,8
1580228656,192,15
1580230580,28,13
1580232509,152,20
1580232601,190,0
1580234410,22,32
1580236355,838,3915
1580238512,18,33
1580239802,147,0
1580240413,33,35
1580242332,37,14
1580243401,119,0
1580244266,21,38
1580246174,36,28
1580248094,13,24
1580250028,18,29
1580250601,223,0
1580251928,27,24
1580253850,7,20
1580255530,43,80
1580255779,27,27
1580257686,22,30
1580257802,204,3179
1580259608,30,25
1580261544,32,18
1580263212,89,86
1580263709,20,34
1580265612,117,0
1580267534,12,24
1580269463,200,15
1580271129,25,0
1580271634,29,23
1580273527,125,16
1580275482,106,22
1580277380,21,25
1580279291,18,16
1580281212,137,22
1580283901,309,0
1580286005,11,38
1580287936,18,23
1580289851,17,9
1580293687,162,23
1580295612,355,16
1580297543,20,12
1580299709,161,15
1580301609,17,15
1580302802,165,0
1580303550,18,19
1580305448,7,21
1580306402,133,0
1580307370,18,26
1580309303,19,16
1580310002,158,0
1580311205,15,12
1580313124,20,0
1580313601,158,0
1580315058,18,28
1580315782,499,0
1580316011,355,0
1580316965,17,0
1580317202,133,0
1580318884,23,26
1580320827,22,39
1580322730,163,0
1580324651,30,31
1580326582,30,18
1580328489,251,34
1580330409,41,41
1580331601,128,0
1580332340,29,18
1580334248,23,37
1580335202,138,0
1580336169,18,13
1580338098,19,16
1580338801,121,0
1580340004,15,26
1580340505,42,0
1580341923,21,9
1580342403,121,3644
1580343857,23,28
1580345764,15,21
1580347684,17,34
1580348165,42,0
1580349619,12,27
1580351528,278,21
1580352004,37,85
1580355377,23,18
1580355847,9,21
1580357286,113,16
1580359208,126,26
1580361145,19,11
1580363052,12,9
1580364975,133,14
1580368828,304,37
1580370738,15,0
1580372663,22,10
1580374569,20,18
1580376486,144,10
1580378426,15,0
1580379301,285,0
1580380333,31,5
1580382252,28,9
1580384180,23,24
1580386101,20,0
1580386502,235,0
1580388022,13,42
1580391850,14,28
1580393774,20,15
1580395691,179,0
1580397608,20,32
1580399527,385,21
1580401460,20,12
1580403369,29,22
1580405287,168,24
1580406966,810,1541
1580407464,26,21
1580409002,280,0
1580409373,20,32
1580411307,33,25
1580412602,134,0
1580413212,33,29
1580417065,22,80
1580418973,38,31
1580419802,271,0
1580420891,18,23
1580422812,38,21
1580424726,31,21
1580426652,23,11
1580427002,235,0
1580428578,40,19
1580428808,45,79
1580430488,25,18
1580432406,25,15
1580432890,43,43
1580434202,181,3182
