DateTime,AddedIPs,RemovedIPs
1580368921,4,0
1580369479,37,46
1580370121,8,0
1580371409,2,0
1580372521,1,0
1580373121,67,39
1580374321,2,0
1580375002,8,1
1580375521,4,0
1580376700,56,30
1580377322,1,0
1580378521,3,0
1580379721,3,0
1580380921,2,0
1580382121,66,41
1580382721,4,0
1580383922,35,30
1580385121,3,0
1580385804,49,42
1580386321,2,0
1580386921,1,0
1580387581,2,0
1580388121,1,0
1580388722,2,0
1580389342,1,0
1580390521,3,0
1580391121,47,39
1580391181,11,0
1580392321,1,0
1580394122,2,0
1580394721,47,47
1580395921,1,0
1580396522,5,0
1580397721,2,0
1580398322,54,47
1580398921,1,0
1580400203,3,7
1580401321,1,0
1580401921,47,40
1580402522,1,0
1580404321,4,2
1580406121,6,0
1580406721,0,1
1580407403,69,44
1580407921,3,0
1580408521,1,0
1580409121,72,57
1580409722,4,0
1580411003,1,0
1580411521,1,0
1580412121,1,0
1580412722,84,56
1580413321,5,0
1580414604,5,2
1580415121,2,0
1580415722,1,0
1580416271,76,57
1580417522,4,0
1580419321,4,0
1580419921,60,71
1580419982,1,0
1580420521,4,0
1580422321,6,19
1580422922,3,0
1580423522,58,98
1580424721,4,0
1580425404,44,83
1580426521,3,0
1580427122,2,0
1580427722,2,0
1580428943,4,0
1580430121,2,0
1580430721,84,40
1580431321,2,0
1580431921,1,0
1580432544,100,141
1580433122,4,0
1580433721,6,1
1580434922,4,0
1580436203,77,54
1580436721,3,0
1580437321,2,0
1580437880,36,64
1580437981,2,0
1580439722,4,0
1580439804,0,1
1580440921,5,0
1580441521,76,71
1580442121,1,0
1580444521,9,0
1580445100,56,80
1580445721,2,0
1580447004,4,0
1580448121,3,0
1580448671,66,57
1580449321,8,0
1580449728,1037,295
1580450521,4,0
1580450545,0,1
1580451722,2,0
1580452921,4,0
1580454203,58,52
1580455321,2,0
1580455878,46,31
1580456521,1,0
1580457744,5,1
1580459464,60,47
1580460121,4,0
1580460721,1,0
1580461272,57,39
1580463122,1,0
1580463721,1,0
1580465004,2,1
1580465521,11,0
1580466122,1,0
1580466721,1,0
1580467921,5,0
1580468605,60,48
1580469122,3,0
1580470322,61,35
1580472265,2,1
1580472721,1,0
1580475722,52,36
1580476321,0,2
1580478121,1,0
1580479321,45,51
1580479344,0,1
1580479921,2,0
1580481082,52,44
1580481721,1,0
1580482321,4,0
1580483004,1,0
1580483521,3,0
1580484122,1,0
1580484721,51,39
1580485921,1,0
1580486522,1,0
1580487721,2,0
1580488321,49,55
1580488922,3,0
1580490145,1,0
1580491321,4,0
1580491981,53,49
1580493745,52,48
1580496121,3,0
1580496721,4,0
1580497322,1,0
1580497922,1,0
1580498522,1,0
1580499181,63,47
1580499721,2,0
1580502121,1,0
1580503322,3,0
1580504545,53,61
1580506921,3,0
1580507521,3,2
1580508144,67,48
1580508722,1,0
1580509321,1,0
1580509922,60,79
1580509982,2,0
1580511121,2,0
1580511721,2,0
1580512921,2,0
1580513521,46,97
1580515464,1,2
1580516522,2,0
1580517121,6,0
1580517721,3,0
1580518921,3,0
1580520121,2,1
1580520665,137,121
1580521322,1,0
1580523746,4,3
1580524276,53,46
1580524921,5,0
1580526205,1,0
1580527887,59,85
1580529744,5,1
1580530321,0,1
1580532121,1,0
1580533322,72,75
1580533921,4,0
1580534521,1,0
1580536856,861,310
1580537521,60,58
1580538122,2,0
1580538663,55,42
1580539321,2,0
1580540521,1,0
1580540605,0,1
1580541722,8,0
1580542272,43,34
1580543522,1,0
1580545902,56,33
