DateTime,AddedIPs,RemovedIPs
1580531733,5,4
1580532452,3,7
1580533172,3,1
1580533453,9,15
1580533893,3,4
1580534613,522,22
1580535380,22,14
1580536053,5,6
1580536565,17,0
1580536773,5,5
1580537557,16,24
1580538213,9,6
1580538932,8,2
1580539452,16,16
1580539893,9,13
1580540613,6,4
1580541386,21,26
1580542052,9,6
1580542773,12,6
1580543288,18,13
1580543492,8,4
1580544212,5,11
1580544932,7,5
1580545206,11,16
1580545653,9,12
1580546373,9,10
1580546643,15,0
1580547155,12,14
1580548052,2,7
1580548773,5,8
1580549048,9,12
1580549492,5,5
1580550213,8,6
1580550933,6,5
1580551220,13,1
1580551893,4,8
1580552613,12,7
1580552886,16,42
1580553332,13,5
1580554053,6,8
1580554823,17,20
1580555493,4,4
1580556213,4,14
1580556730,14,12
1580556932,7,7
1580557892,11,10
1580558166,5,0
1580558665,29,19
1580559333,11,4
1580560052,21,5
1580560773,26,5
1580561493,12,3
1580562213,12,6
1580562488,9,11
1580563172,15,9
1580563893,8,5
1580564409,16,19
1580564613,12,11
1580565332,15,9
1580565847,13,0
1580566052,5,2
1580566331,12,26
1580566772,2,3
1580567492,5,4
1580568260,10,23
1580568932,9,10
1580569652,6,7
1580570171,8,6
1580570372,4,5
1580571093,2,9
1580571813,5,4
1580572091,7,4
1580572533,9,4
1580573253,7,9
1580574017,16,20
1580574693,13,8
1580575413,4,10
1580575926,16,12
1580576132,10,4
1580576852,9,5
1580577573,6,8
1580577849,17,17
1580578292,6,6
1580579012,7,1
1580579779,22,21
1580580498,15,4
1580581173,5,9
1580581688,13,21
1580581893,9,3
1580582613,6,1
1580583333,10,8
1580583610,13,15
1580584053,10,8
1580584773,9,6
1580585494,11,5
1580586213,18,4
1580586933,10,2
1580587461,6,19
1580587893,10,6
1580588612,3,6
1580589382,15,18
1580590052,17,5
1580590324,13,0
1580590772,10,8
1580591304,12,32
1580591733,9,5
1580592453,1,4
1580593222,13,22
1580593892,3,5
1580594852,6,5
1580595387,20,11
1580595813,11,5
1580596532,5,3
1580597303,19,18
1580598033,5,16
1580598693,5,12
1580599207,12,0
1580599412,2,4
1580600132,6,7
1580600853,7,5
1580601130,6,11
1580601573,9,6
1580602098,2,0
1580602292,15,13
1580603059,22,42
1580603732,19,6
1580604453,6,6
1580604971,14,11
1580605172,7,8
1580605892,9,5
1580606613,4,5
1580607135,14,12
1580607332,14,7
1580608052,5,6
1580608773,7,8
1580609055,14,18
1580609493,2,7
1580610008,15,3
1580610213,8,5
1580610985,18,19
1580611653,9,10
1580612372,9,7
1580612893,14,17
1580613092,10,3
1580613813,5,10
1580614533,4,10
1580614810,16,12
1580615253,7,10
1580615972,10,9
1580616744,17,9
1580617413,11,7
1580618133,10,7
1580618648,6,9
1580618852,6,3
1580619573,8,4
1580620294,4,3
1580620574,38,75
1580621013,8,5
1580621733,9,10
1580622505,22,5
1580623172,6,5
1580623893,5,7
1580624412,15,0
1580624658,16,10
1580625333,5,3
1580626053,2,12
1580626330,11,26
1580626773,5,7
1580627493,6,10
1580628264,15,15
1580628933,8,10
1580629653,6,11
1580630169,10,8
1580630373,4,6
1580631092,6,9
1580631813,9,5
1580632088,11,0
1580632533,7,12
1580633253,8,3
1580634028,29,12
1580634692,9,4
1580635412,8,5
1580635928,9,11
1580636132,7,4
1580636852,8,17
1580637573,12,5
1580637856,12,5
1580638292,8,4
1580639013,3,11
1580639292,21,0
1580639782,15,24
1580640454,7,7
1580641172,12,3
1580641699,18,15
1580641892,13,5
1580642613,7,5
1580643332,6,6
1580643612,7,13
1580644053,9,8
1580644773,5,8
1580645546,8,29
1580645780,1,0
1580646213,5,14
1580646933,3,22
1580647653,5,15
1580648449,15,34
1580649093,5,12
1580649814,3,11
1580650332,4,13
1580650532,4,6
1580651254,8,12
1580651972,10,11
1580652500,5,12
1580652692,2,11
1580653413,8,4
1580653930,10,1
1580654133,8,5
1580654410,7,6
1580654854,7,5
1580655573,10,10
1580656340,15,17
1580657012,4,4
1580657733,5,3
1580658247,5,11
1580658452,3,8
1580659173,8,8
1580659892,15,9
1580660613,14,8
1580661332,15,11
1580662052,13,5
1580662339,12,21
1580663013,11,12
1580663973,7,17
1580664247,14,17
1580664692,3,5
1580665413,6,6
1580666177,10,19
1580666852,5,2
1580667573,3,2
1580668354,31,9
1580668810,16,2
1580669014,6,4
1580669734,5,8
1580670252,11,0
1580670454,10,6
1580671173,5,7
1580671893,8,9
1580672173,15,15
1580672613,7,17
1580673333,4,10
1580674111,24,14
1580674773,13,3
1580675493,5,3
1580676016,10,10
1580676213,8,13
1580676933,7,10
1580677686,27,10
1580677937,19,15
1580678372,2,4
1580679092,8,2
1580679863,14,17
1580680533,9,2
1580681494,2,10
1580682015,9,13
1580682213,4,5
1580682933,5,4
1580683449,17,2
1580683653,4,5
1580683939,12,13
1580684852,9,10
1580685572,4,4
1580685852,9,12
1580686293,1,5
1580687013,5,5
1580687779,12,5
1580688453,5,9
1580689173,14,9
1580689446,5,0
1580689685,8,12
1580689893,5,9
1580690613,10,10
1580691333,4,6
1580691609,13,14
1580692294,11,12
1580693012,8,5
1580693528,1,6
1580693733,9,10
1580694453,8,8
1580695173,8,9
1580695451,5,8
1580695892,3,3
1580696613,8,9
1580697379,17,16
1580698100,22,9
1580698772,10,9
1580699559,15,18
1580700213,8,6
1580700933,2,4
1580701449,16,6
1580701652,8,5
1580702373,10,8
1580703092,1,9
1580703373,14,9
1580703812,7,14
1580704533,3,9
1580705300,9,17
1580705972,8,7
1580706693,20,3
1580707208,67,643
1580707414,11,8
1580708132,5,9
