DateTime,Entries,UniqueIPs
1579846331,1868,1868
1579848250,1871,1871
1579850173,1865,1865
1579852093,1852,1852
1579854035,1858,1858
1579855954,1851,1851
1579857850,1852,1852
1579859768,1852,1852
1579861714,1850,1850
1579863634,993,993
1579865556,1010,1010
1579867721,1432,1432
1579869610,1418,1418
1579871559,1435,1435
1579873448,1444,1444
1579875396,1441,1441
1579877294,1438,1438
1579879206,1439,1439
1579881149,1435,1435
1579883047,1436,1436
1579884991,1431,1431
1579886889,1420,1420
1579888809,1416,1416
1579890743,1413,1413
1579892910,1402,1402
1579894812,1387,1387
1579896983,1392,1392
1579898900,1376,1376
1579900811,1364,1364
1579902727,1360,1360
1579904707,1356,1356
1579906608,1348,1348
1579908502,1342,1342
1579910426,1712,1712
1579912353,1704,1704
1579914254,1699,1699
1579916186,1690,1690
1579918102,1687,1687
1579920015,1674,1674
1579921943,1677,1677
1579923856,1677,1677
1579925772,1677,1677
1579927694,1679,1679
1579929608,1669,1669
1579931534,1671,1671
1579933461,1672,1672
1579935374,1670,1670
1579937285,1658,1658
1579939227,1652,1652
1579941132,1640,1640
1579943304,1632,1632
1579945210,1630,1630
1579947150,1627,1627
1579949055,1630,1630
1579950983,827,827
1579952903,829,829
1579954812,1235,1235
1579956728,1231,1231
1579958665,1237,1237
1579960568,1244,1244
1579962490,1242,1242
1579964422,1239,1239
1579966335,1234,1234
1579968496,1241,1241
1579970411,1231,1231
1579972336,1219,1219
1579974261,1216,1216
1579976172,1213,1213
1579978093,1199,1199
1579980020,1201,1201
1579981929,1201,1201
1579983847,1196,1196
1579985782,1193,1193
1579987684,1187,1187
1579989613,1182,1182
1579991545,1192,1192
1579993451,1183,1183
1579995369,1176,1176
1579997318,1501,1501
1579999211,1497,1497
1580001149,1494,1494
1580003048,1494,1494
1580004981,1509,1509
1580006903,1502,1502
1580008810,1503,1503
1580010726,1500,1500
1580012674,1507,1507
1580014566,1496,1496
1580016492,1485,1485
1580018430,1471,1471
1580020333,1460,1460
1580022502,1457,1457
1580024410,1452,1452
1580026343,1441,1441
1580028248,1437,1437
1580030173,1432,1432
1580032102,1431,1431
1580034006,1423,1423
1580035940,1414,1414
1580037861,798,798
1580039769,790,790
1580041688,1092,1092
1580043620,1101,1101
1580045528,1100,1100
1580047701,1095,1095
1580049610,1101,1101
1580051547,1103,1103
1580053450,1106,1106
1580055372,1100,1100
1580057292,1088,1088
1580059220,1090,1090
1580061129,1079,1079
1580063057,1087,1087
1580064980,1079,1079
1580066885,1074,1074
1580068813,1067,1067
1580070742,1065,1065
1580072652,1058,1058
1580074565,1054,1054
1580076505,1055,1055
1580078407,1051,1051
1580080328,1045,1045
1580082261,1040,1040
1580084174,1298,1298
1580086090,1300,1300
1580088019,1308,1308
1580089928,1307,1307
1580091848,1304,1304
1580093780,1300,1300
1580095686,1297,1297
1580097616,1297,1297
1580099542,1296,1296
1580101710,1288,1288
1580103610,1283,1283
1580105531,1282,1282
1580107466,1284,1284
1580109370,1281,1281
1580111536,1272,1272
1580113449,1273,1273
1580115381,1270,1270
1580117289,1269,1269
1580119212,1270,1270
1580121146,1273,1273
1580123065,714,714
1580124968,723,723
1580126902,979,979
1580128809,993,993
1580130979,998,998
1580132890,996,996
1580134821,1001,1001
1580136742,1012,1012
1580138648,1011,1011
1580140579,1014,1014
1580142487,1020,1020
1580144414,1029,1029
1580146344,1032,1032
1580148508,1043,1043
1580150411,1051,1051
1580152589,1054,1054
1580154491,1062,1062
1580156418,1073,1073
1580158327,1075,1075
1580160260,1079,1079
1580162167,1085,1085
1580164096,1090,1090
1580166009,1093,1093
1580167933,1093,1093
1580170111,1291,1291
1580172010,1295,1295
1580173932,1303,1303
1580175860,1300,1300
1580177771,1297,1297
1580179693,1302,1302
1580181608,1313,1313
1580183527,1315,1315
1580185461,1332,1332
1580187368,1355,1355
1580189287,1356,1356
1580191228,1366,1366
1580193132,1370,1370
1580195300,1374,1374
1580197212,1378,1378
1580199144,1380,1380
1580201047,1379,1379
1580202975,1378,1378
1580204901,1377,1377
1580206818,1384,1384
1580208728,1386,1386
1580210660,904,904
1580212570,915,915
1580214485,1194,1194
1580216425,1199,1199
1580218331,1198,1198
1580220506,1207,1207
1580222423,1219,1219
1580224581,1226,1226
1580226733,1239,1239
1580228654,1241,1241
1580230578,1234,1234
1580232507,1238,1238
1580234408,1249,1249
1580236348,1254,1254
1580238511,1257,1257
1580240412,1262,1262
1580242330,1267,1267
1580244264,1247,1247
1580246172,1247,1247
1580248092,1254,1254
1580250026,1246,1246
1580251926,1249,1249
1580253848,1246,1246
1580255780,1244,1244
1580257686,1478,1478
1580259608,1484,1484
1580261544,1488,1488
1580263709,1509,1509
1580265612,1519,1519
1580267534,1520,1520
1580269463,1533,1533
1580271634,1536,1536
1580273527,1536,1536
1580275481,1534,1534
1580277380,1545,1545
1580279291,1546,1546
1580281212,1552,1552
1580283241,1550,1550
1580285068,1555,1555
1580286969,1555,1555
1580288911,1547,1547
1580290810,1552,1552
1580292733,1553,1553
1580294660,1551,1551
1580296570,860,860
1580298490,851,851
1580300418,1209,1209
1580302326,1206,1206
1580304259,1205,1205
1580306165,1206,1206
1580308332,1209,1209
1580310509,1207,1207
1580312409,1206,1206
1580314346,1207,1207
1580316250,1197,1197
1580318173,1193,1193
1580320100,1181,1181
1580322005,1177,1177
1580323926,1176,1176
1580325869,1169,1169
1580327768,1170,1170
1580329683,1173,1173
1580331616,1178,1178
1580333532,1179,1179
1580335698,1183,1183
1580337608,1178,1178
1580339542,1169,1169
1580341447,1157,1157
1580343616,1475,1475
1580345525,1468,1468
1580347459,1469,1469
1580349365,1471,1471
1580351287,1475,1475
1580353227,1473,1473
1580355131,1466,1466
1580357058,1460,1460
1580358978,1439,1439
1580361145,1438,1438
1580363051,1425,1425
1580364974,1419,1419
1580366905,1418,1418
1580368827,1411,1411
1580370738,1405,1405
1580372663,1413,1413
1580374568,1411,1411
1580376486,1407,1407
1580378425,1405,1405
1580380332,1400,1400
1580382251,742,742
1580384179,739,739
1580386100,1062,1062
1580388021,1058,1058
1580389941,1059,1059
1580391849,1066,1066
1580393773,1064,1064
1580395689,1067,1067
1580397607,1066,1066
1580399526,1064,1064
1580401459,1058,1058
1580403367,1055,1055
1580405285,1054,1054
1580407466,1044,1044
1580409373,1043,1043
1580411307,1033,1033
1580413213,1036,1036
1580415135,1042,1042
1580417065,1039,1039
1580418973,1039,1039
1580420891,1036,1036
1580422812,1036,1036
1580424726,1031,1031
1580426651,1027,1027
1580428577,1029,1029
1580430488,1315,1315
1580432406,1310,1310
1580434339,1313,1313
1580436251,1313,1313
1580438182,1308,1308
1580440090,1313,1313
1580442010,1308,1308
1580443944,1309,1309
1580445848,1314,1314
1580447769,1341,1341
1580449731,1335,1335
1580451616,1336,1336
1580453527,1337,1337
1580455450,1342,1342
1580457375,1344,1344
1580459286,1353,1353
1580461207,1348,1348
1580463148,1350,1350
1580465308,1353,1353
1580467208,1347,1347
1580469131,784,784
1580471057,795,795
1580472978,1064,1064
1580474891,1069,1069
1580476833,1075,1075
1580478725,1079,1079
1580480661,1090,1090
1580482569,1093,1093
1580484735,1100,1100
1580486653,1107,1107
1580488578,1108,1108
1580490736,1112,1112
1580492892,1104,1104
1580494809,1111,1111
1580496741,1116,1116
1580498646,1129,1129
1580500578,1129,1129
1580502482,1128,1128
1580504407,1131,1131
1580506338,1146,1146
1580508515,1163,1163
1580510409,1172,1172
1580512331,1170,1170
1580514260,1174,1174
1580516170,1390,1390
1580518093,1398,1398
1580520017,1413,1413
1580521936,1429,1429
1580523849,1432,1432
1580525778,1436,1436
1580527688,1439,1439
1580529628,1440,1440
1580531534,1441,1441
1580533453,1449,1449
1580535380,1458,1458
1580537557,1459,1459
1580539452,1467,1467
1580541385,1475,1475
1580543288,1478,1478
1580545206,1475,1475
1580547154,1474,1474
1580549048,1471,1471
1580550976,1473,1473
1580552886,1479,1479
1580554822,881,881
1580556730,870,870
1580558664,1209,1209
1580560569,1209,1209
1580562487,1209,1209
1580564408,1201,1201
1580566330,1206,1206
1580568260,1207,1207
1580570170,1202,1202
1580572090,1207,1207
1580574016,1208,1208
1580575925,1200,1200
1580577848,1180,1180
1580579778,1182,1182
1580581687,1183,1183
1580583609,1176,1176
1580585542,1175,1175
1580587459,1162,1162
1580589380,1164,1164
1580591302,1169,1169
1580593220,1162,1162
1580595385,1162,1162
1580597301,1161,1161
1580599206,1160,1160
1580601130,1140,1140
1580603059,1440,1440
1580604971,1441,1441
1580607134,1435,1435
1580609055,1434,1434
1580610984,1455,1455
1580612893,1461,1461
1580614810,1460,1460
1580616744,1456,1456
1580618648,1453,1453
1580620573,1422,1422
1580622504,1424,1424
1580624411,1419,1419
1580626329,1411,1411
1580628264,1411,1411
1580630168,1410,1410
1580632087,1399,1399
1580634027,1394,1394
1580635927,1392,1392
1580637855,1382,1382
1580639781,1377,1377
1580641697,696,696
1580643610,697,697
1580645544,1020,1020
1580647480,1029,1029
1580649611,1026,1026
1580651526,1017,1017
1580653462,1018,1018
1580655365,1019,1019
1580657283,1029,1029
1580659215,1032,1032
1580661133,1034,1034
1580663067,1036,1036
1580664968,1030,1030
1580666910,1027,1027
1580668816,1022,1022
1580670737,1006,1006
1580672660,1011,1011
1580674581,1000,1000
1580676731,995,995
1580678646,1005,1005
1580680578,1008,1008
1580682484,1005,1005
1580684432,1003,1003
1580686339,998,998
1580688254,1259,1259
1580690166,1253,1253
1580692352,1249,1249
1580694249,1241,1241
1580696171,1235,1235
1580698106,1234,1234
1580700006,1233,1233
1580701926,1239,1239
1580703860,1239,1239
1580705767,1241,1241
1580707688,1239,1239
1580709697,1236,1236
1580711541,1242,1242
1580713453,1235,1235
1580715378,1234,1234
1580717296,1233,1233
1580719208,1239,1239
1580721144,1245,1245
1580723049,1251,1251
1580724970,1255,1255
1580726901,1266,1266
1580728805,753,753
1580730726,763,763
1580732658,995,995
1580734566,999,999
1580736732,1002,1002
1580738654,1010,1010
1580740590,1013,1013
1580742762,1021,1021
1580744651,1025,1025
1580746569,1027,1027
1580748492,1032,1032
1580750406,1040,1040
1580752323,1048,1048
1580754260,1049,1049
1580756166,1057,1057
1580758334,1054,1054
1580760496,1046,1046
1580762409,1050,1050
1580764347,1058,1058
1580766263,1054,1054
1580768170,1069,1069
1580770101,1078,1078
1580772022,1080,1080
1580773926,1083,1083
1580775863,1278,1278
1580777767,1294,1294
1580779698,1300,1300
1580781630,1306,1306
1580783584,1307,1307
1580785711,1306,1306
1580787605,1308,1308
1580789410,1327,1327
1580791209,1336,1336
1580793158,1347,1347
1580795046,1355,1355
1580796970,1383,1383
1580798886,1391,1391
1580800826,1391,1391
1580802724,1400,1400
1580804648,1418,1418
1580806579,1436,1436
1580808484,1466,1466
1580810407,1484,1484
1580812446,1507,1507
1580814251,944,944
