DateTime,Entries,UniqueIPs
1579917604,4000,4000
1579919405,4076,4076
1579921205,4137,4137
1579923004,4318,4318
1579924804,4382,4382
1579926605,4456,4456
1579928405,4498,4498
1579930206,4525,4525
1579932004,5197,5197
1579933805,5468,5468
1579935605,5573,5573
1579937405,5626,5626
1579939205,5739,5739
1579941005,5770,5770
1579942804,5895,5895
1579944605,6061,6061
1579946404,6143,6143
1579948205,6253,6253
1579950004,6272,6272
1579951804,6292,6292
1579953604,6330,6330
1579955405,6234,6234
1579957204,6201,6201
1579959004,6096,6096
1579960804,5915,5915
1579962604,6384,6384
1579964404,7220,7220
1579966204,7222,7222
1579968005,6710,6710
1579969804,6454,6454
1579971605,6527,6527
1579973404,6473,6473
1579975205,6634,6634
1579977005,7083,7083
1579978804,7490,7490
1579980604,7740,7740
1579982404,8041,8041
1579984205,8303,8303
1579986005,7797,7797
1579987805,7483,7483
1579989604,7303,7303
1579991406,7133,7133
1579993205,7205,7205
1579995005,7274,7274
1579996807,7108,7108
1579998607,6960,6960
1580000406,6779,6779
1580002206,6441,6441
1580004006,6057,6057
1580005806,5507,5507
1580007606,5060,5060
1580009406,4683,4683
1580011207,4470,4470
1580013006,4259,4259
1580014806,4282,4282
1580016607,4137,4137
1580018407,4013,4013
1580020206,4295,4295
1580022007,4529,4529
1580023806,4498,4498
1580025606,4643,4643
1580027407,4820,4820
1580029206,4891,4891
1580031006,4999,4999
1580032806,5317,5317
1580034607,5425,5425
1580036406,5835,5835
1580038208,6063,6063
1580040008,5072,5072
1580041808,5232,5232
1580043607,5227,5227
1580045407,5152,5152
1580047208,5149,5149
1580049008,5168,5168
1580050808,4633,4633
1580052608,4684,4684
1580054407,5178,5178
1580056208,5174,5174
1580058008,4868,4868
1580059809,4738,4738
1580061608,4652,4652
1580063408,4807,4807
1580065207,4981,4981
1580067007,5132,5132
1580068809,5356,5356
1580070608,5442,5442
1580072409,5508,5508
1580074208,5718,5718
1580076007,5713,5713
1580077808,5673,5673
1580079607,5692,5692
1580081408,5714,5714
1580083207,5522,5522
1580085007,5492,5492
1580086807,5380,5380
1580088609,4834,4834
1580090407,4367,4367
1580092208,3994,3994
1580094007,3678,3678
1580095826,3634,3634
1580097608,3641,3641
1580099408,3684,3684
1580101207,3679,3679
1580103007,3782,3782
1580104806,3628,3628
1580106607,3604,3604
1580108407,3706,3706
1580110207,3919,3919
1580112007,4114,4114
1580113808,4084,4084
1580115608,4190,4190
1580117407,4182,4182
1580119207,4284,4284
