DateTime,AddedIPs,RemovedIPs
1580331721,4,5
1580332922,3,5
1580333522,1,1
1580334121,3,6
1580335321,1,4
1580336521,3,5
1580337721,1,3
1580338921,3,6
1580339521,3,2
1580340121,1,4
1580341921,1,1
1580342521,0,1
1580343721,5,3
1580344921,1,1
1580346121,1,0
1580346721,4,0
1580347322,0,3
1580347922,0,1
1580348522,5,3
1580349121,0,19
1580350321,2,0
1580350921,2,0
1580352121,3,2
1580353321,3,4
1580355122,3,0
1580355721,0,8
1580356921,3,0
1580357521,5,5
1580358721,2,0
1580359321,2,10
1580359922,10,3
1580361121,4,1
1580362321,1,2
1580362922,3,0
1580364122,1,2
1580364721,6,16
1580366521,5,3
1580367721,0,2
1580368321,0,2
1580368921,10,11
1580369522,1,4
1580370121,2,2
1580371321,1,0
1580371921,2,20
1580372521,7,0
1580373122,2,0
1580374321,7,0
1580375521,6,2
1580377322,2,2
1580377922,2,0
1580378521,3,0
1580379721,5,9
1580380921,2,2
1580381521,0,3
1580382121,4,0
1580383922,2,1
1580385121,1,14
1580385721,3,2
1580386321,1,0
1580386921,2,3
1580388121,1,0
1580388722,3,1
1580389921,6,7
1580391121,15,0
1580391722,1,5
1580392321,3,0
1580392921,2,9
1580393521,1,0
1580394721,0,8
1580395921,2,6
1580396522,2,0
1580397121,3,2
1580397721,2,0
1580398322,1,4
1580398921,1,1
1580400121,2,0
1580401321,2,4
1580402522,3,4
1580404321,4,1
1580404921,1,0
1580406121,5,0
1580406721,3,1
1580407321,6,6
1580407921,1,4
1580408521,1,0
1580409722,0,5
1580410921,1,1
1580411521,1,10
1580412121,1,0
1580412722,0,11
1580413321,4,0
1580414522,2,3
1580415121,3,0
1580415722,4,4
1580416921,3,5
1580417522,3,0
1580418121,0,4
1580419321,3,8
1580419921,2,2
1580420521,7,0
1580422321,5,3
1580422922,1,0
1580423522,3,2
1580424721,4,1
1580425321,1,0
1580426521,4,2
1580427122,3,0
1580427722,2,2
1580428921,4,3
1580430121,2,3
1580431321,4,1
1580431921,0,2
1580433122,0,1
1580433721,5,0
1580434922,5,0
1580436121,1,6
1580436721,3,3
1580437321,4,0
1580438521,1,8
1580439121,4,0
1580440321,0,5
1580440921,7,1
1580441521,14,0
1580442721,0,3
1580443921,6,7
1580444521,2,5
1580446922,3,14
1580447521,2,1
1580448721,11,0
1580449321,1,2
1580450521,3,3
1580451121,1,2
1580451722,1,3
1580452921,2,2
1580455321,3,3
1580456521,2,1
1580457721,3,4
1580458321,2,0
1580458922,3,3
1580460121,1,0
1580460721,3,6
1580462521,4,0
1580463122,3,22
1580463721,2,0
1580464322,0,4
1580464921,1,31
1580465521,11,0
1580466122,1,4
1580466721,2,1
1580467321,6,0
1580468522,1,2
1580469122,1,1
1580469722,4,0
1580470322,0,4
1580472121,3,2
1580473321,2,5
1580474521,0,4
1580475722,2,5
1580477521,1,0
1580478121,2,1
1580478722,1,0
1580479321,2,0
1580479921,2,1
1580481121,0,2
1580481721,1,1
1580482321,3,0
1580483521,2,0
1580484122,1,2
1580484721,3,0
1580485921,2,5
1580486522,2,0
1580487121,0,2
1580488922,3,8
1580490121,1,3
1580491321,4,0
1580491921,1,2
1580492521,1,1
1580496121,4,3
1580496721,4,0
1580497322,2,0
1580497922,1,0
1580498522,2,3
1580499721,3,4
1580500321,0,1
1580500922,2,0
1580503322,4,1
1580504521,4,3
1580505122,0,1
1580505721,1,1
1580506921,1,1
1580507521,1,0
1580508722,1,3
1580509922,3,2
1580511121,3,1
1580512322,1,2
1580514121,1,0
1580514721,1,2
1580516522,2,5
1580517721,1,2
1580518921,2,6
1580520121,1,14
1580521322,1,0
1580521921,0,2
1580522521,0,1
1580523121,1,3
1580523721,4,2
1580524921,0,1
1580526122,1,3
1580527321,1,2
1580527922,0,1
1580528521,2,3
1580529721,3,0
1580530921,2,5
1580531521,2,9
1580532721,3,3
1580533322,1,0
1580534521,3,6
1580535121,2,0
1580536322,1,0
1580538122,4,0
1580539321,1,4
1580539921,1,0
1580541722,6,4
1580542922,0,1
1580543522,0,1
1580544122,2,1
1580544722,2,2
1580545321,2,0
1580546521,1,2
1580547721,3,1
1580548321,6,0
1580550121,0,3
1580551322,4,4
1580552521,2,2
1580553721,5,4
1580554322,5,2
1580554921,1,0
1580556121,0,3
1580556722,2,1
1580557921,2,26
1580558522,2,0
1580559721,1,10
1580560321,1,1
1580562121,1,10
1580562721,6,7
1580563321,1,6
1580565121,2,0
1580566321,3,4
1580566921,1,0
1580567521,3,0
1580568721,1,2
1580569321,0,3
1580569921,3,0
1580571721,6,0
1580572921,3,4
1580574122,1,0
1580574721,1,23
1580575921,3,3
1580576521,3,2
1580577721,2,1
1580578321,0,2
1580578921,1,0
1580580121,4,18
1580581321,0,2
1580582521,5,13
1580583722,3,2
1580584321,0,7
1580584921,5,0
1580586121,2,0
1580587321,1,3
1580588521,3,7
1580589121,0,40
1580590322,1,4
1580590922,3,0
1580591521,4,0
1580592121,4,1
1580593322,1,0
1580593921,0,26
1580594522,3,0
1580596921,1,2
1580598121,1,0
1580599322,4,4
1580599921,1,0
1580600521,3,1
1580601121,3,2
1580601721,2,0
1580602922,6,4
1580604121,0,3
1580606521,5,1
1580607121,0,3
1580607721,5,0
1580608322,5,8
1580610121,1,8
1580611321,2,5
1580612521,1,2
1580613721,3,4
1580614321,4,8
1580615522,2,5
1580616121,3,0
1580616721,1,0
1580617322,1,6
1580617921,2,1
1580619122,6,0
1580619721,1,0
1580620321,0,4
1580621521,2,1
1580622121,1,0
1580623322,6,4
1580623921,2,9
1580624521,3,21
1580625122,2,0
1580626322,0,3
1580626922,2,0
1580627521,1,12
1580628121,2,0
1580629322,2,0
1580629921,1,0
1580630521,1,25
1580632321,1,0
1580633522,2,0
1580634721,1,0
1580636521,1,0
1580639521,1,0
1580640121,2,0
1580640721,10,0
1580643721,1,0
1580644921,2,0
1580645522,5,0
1580647321,1,0
1580647921,4,0
1580648521,3,0
1580650321,1,0
1580652121,4,0
1580653321,3,1
1580653921,8,1
1580655121,0,2
1580656321,1,3
1580656921,3,0
1580658122,0,15
1580658721,0,2
1580659321,2,0
1580661121,1,6
1580661721,3,4
1580663521,2,1
1580664121,0,2
1580665321,3,4
1580665921,2,0
1580666522,12,1
1580668921,3,0
1580669521,0,2
1580670121,2,0
1580670721,2,2
1580671321,2,1
1580671921,1,2
1580672521,0,8
1580673722,1,0
1580674321,3,1
1580674921,4,2
1580676121,0,2
1580676721,1,0
1580677321,3,5
1580678522,2,4
1580679122,1,0
1580679722,2,4
1580682121,2,0
1580682721,1,0
1580683921,1,3
1580684521,3,0
1580685721,4,2
1580686922,2,4
1580687521,5,4
1580688721,2,3
1580689321,1,1
1580692321,1,0
1580692921,3,0
1580694122,0,5
1580695322,0,2
1580695921,3,0
1580697121,0,21
1580697721,3,2
1580700721,0,8
1580701321,2,1
1580702521,2,0
1580703721,1,5
1580704921,10,3
1580705522,1,0
1580706721,3,1
1580707921,0,1
1580708521,2,0
1580709122,1,2
1580710321,1,6
1580710921,1,0
1580712122,0,6
1580713322,1,0
1580713922,1,6
1580715121,5,0
1580716321,0,2
1580717522,2,0
1580719321,1,8
1580720521,1,5
1580721121,2,0
1580721721,3,4
1580723521,1,7
1580724121,0,1
1580725321,1,1
1580726521,5,3
1580727721,1,0
1580728321,1,2
1580728921,1,3
1580729522,1,0
1580730721,6,0
1580731921,1,1
1580733121,5,5
1580734321,4,0
1580734921,0,5
1580736121,1,0
1580736721,5,1
1580737321,0,4
1580737921,1,2
1580739121,0,2
1580740321,1,5
1580740921,1,0
1580741521,1,1
1580742722,1,0
1580743321,1,3
1580744521,0,4
1580745721,2,1
1580746321,1,0
1580747521,0,3
1580748721,4,0
1580749322,1,0
1580749921,2,13
1580751121,0,3
1580751721,0,1
1580752921,4,2
1580753522,2,1
1580754121,1,0
1580754721,2,0
1580755921,8,3
1580756522,0,3
1580757721,1,0
1580758922,6,2
1580760121,3,4
1580760721,6,0
1580761921,2,4
1580762522,2,0
1580763721,2,1
1580764321,1,3
1580764921,1,0
1580766121,2,10
1580767321,3,1
1580767922,1,6
1580769122,6,5
1580769721,1,7
1580770921,1,1
1580771521,0,6
1580772121,1,0
1580772721,2,0
1580773322,1,0
1580775121,2,4
1580775721,0,3
1580776921,3,2
1580778121,4,2
1580778721,2,0
1580779321,2,14
1580779921,0,6
1580781121,5,0
1580782921,1,1
1580784121,3,5
1580784722,0,6
1580785922,0,7
1580787121,1,2
1580787721,2,1
1580788321,0,3
1580788922,3,2
1580789522,0,3
1580791321,1,0
1580793121,1,2
1580793721,4,0
1580794922,4,3
1580796121,3,2
1580797321,1,0
1580798521,1,7
1580799721,1,0
1580800921,2,0
1580801521,9,2
1580802122,5,9
1580803321,3,3
1580803921,1,0
1580804521,0,2
1580805721,2,0
1580806921,7,0
1580807521,4,2
1580808121,4,3
1580809321,4,5
1580809921,1,1
1580811121,1,3
1580812321,0,1
1580812921,1,3
1580814722,1,19
