DateTime,AddedIPs,RemovedIPs
1580288521,0,1
1580289721,1,0
1580290922,1,3
1580291521,0,2
1580293321,0,3
1580293922,3,1
1580295121,1,0
1580295721,1,1
1580296321,1,0
1580296922,1,2
1580298121,2,3
1580299321,4,0
1580299921,1,0
1580302321,1,6
1580302921,1,0
1580303521,0,1
1580304122,1,0
1580304721,0,2
1580305321,0,2
1580306521,0,1
1580308922,0,2
1580309521,3,3
1580311321,4,1
1580311921,0,2
1580313121,2,2
1580313721,2,0
1580314321,0,4
1580315522,2,3
1580316121,0,1
1580317321,0,3
1580318522,1,0
1580319122,1,2
1580319721,1,3
1580320921,0,5
1580321521,10,3
1580322721,7,0
1580323921,2,4
1580326921,0,5
1580327521,1,0
1580328721,0,1
1580329921,1,0
1580331721,0,2
1580332922,3,1
1580333521,8,6
1580334721,0,2
1580335321,18,0
1580336521,2,3
1580337121,5,1
1580337721,11,0
1580338921,2,3
1580339521,13,1
1580340121,4,0
1580340721,0,1
1580341321,2,1
1580342521,4,3
1580343721,9,3
1580344921,9,0
1580346121,9,2
1580347322,1,6
1580348521,1,8
1580349722,3,32
1580350921,7,1
1580352121,2,2
1580353321,3,1
1580354521,1,1
1580355121,1,2
1580355721,1,0
1580356921,12,4
1580358121,0,5
1580358721,1,1
1580359321,1,0
1580360522,32,2
1580361721,1,4
1580362321,1,3
1580363521,2,1
1580364721,2,0
1580365321,2,0
1580366521,4,2
1580367721,1,0
1580368921,4,2
1580370121,1,2
1580371321,1,2
1580372521,1,0
1580373121,1,0
1580374321,2,4
1580374922,1,0
1580375521,0,3
1580377322,0,1
1580378521,1,0
1580379721,0,4
1580380321,2,0
1580380921,1,0
1580382121,5,3
1580382721,2,5
1580383322,0,18
1580383922,0,1
1580385121,2,1
1580385721,1,0
1580386321,1,1
1580386921,1,1
1580387521,1,2
1580388721,1,0
1580389321,0,1
1580390521,1,0
1580391121,1,5
1580391722,0,1
1580392921,0,4
1580394122,0,2
1580394721,1,2
1580395321,0,4
1580396522,4,0
1580397121,0,1
1580397721,0,1
1580398322,2,0
1580398921,2,0
1580400121,18,2
1580401321,0,3
1580402522,1,0
1580404321,1,4
1580404921,1,2
1580405521,2,0
1580406721,0,2
1580407321,2,0
1580407921,1,7
1580408521,1,0
1580409121,8,1
1580409722,4,0
1580410921,0,3
1580412121,1,9
1580412722,2,1
1580413321,1,1
1580414522,5,2
1580415121,0,5
1580416921,0,1
1580417521,3,0
1580418121,1,6
1580419921,0,2
1580422321,1,3
1580422922,3,0
1580423522,0,1
1580424721,1,6
1580425321,3,0
1580425921,1,6
1580427122,1,2
1580428321,0,3
1580430121,1,1
1580430721,1,0
1580431921,1,5
1580432521,2,0
1580433122,5,1
1580433721,3,4
1580434322,0,5
1580435521,0,3
1580436121,1,0
1580436721,1,2
1580437921,2,5
1580439722,2,2
1580440321,0,4
1580440921,0,2
1580442121,1,1
1580443322,0,5
1580443921,0,2
1580444521,7,4
1580445721,2,1
1580446922,3,11
1580448121,2,4
1580448721,2,20
1580449921,0,3
1580450521,1,0
1580451722,2,1
1580452322,6,5
1580454121,0,6
1580455321,0,9
1580456521,0,2
1580457721,4,5
1580458922,0,1
1580460121,0,1
1580461922,0,1
1580463721,0,3
1580464321,1,7
1580465521,1,0
1580466122,0,5
1580467921,1,1
1580469122,2,1
1580469722,0,2
1580470322,2,0
1580470921,0,3
1580472121,1,2
1580472721,1,0
1580474521,1,1
1580475722,0,1
1580478121,2,0
1580479921,0,5
1580482321,5,0
1580483521,2,3
1580484122,1,1
1580484721,0,1
1580485321,0,2
1580485921,2,0
1580487721,2,0
1580488321,1,0
1580489521,0,1
1580490721,0,3
1580491921,0,4
1580492521,0,7
1580494921,0,1
1580496121,0,3
1580497322,1,0
1580497922,1,4
1580499721,0,1
1580500922,1,0
1580502121,0,1
1580503322,0,3
1580504521,1,1
1580505721,0,1
1580506322,3,3
1580507521,4,4
1580508121,1,0
1580509321,2,2
1580509922,0,3
1580511721,2,6
1580512921,1,1
1580513521,0,4
1580515321,2,1
1580517121,7,0
1580517721,2,0
1580518321,1,3
1580520121,1,1
1580521322,0,3
1580521921,0,1
1580522521,1,0
1580523721,4,1
1580524921,4,2
1580526122,0,3
1580526721,0,2
1580527922,2,1
1580529721,3,0
1580530321,0,5
1580531521,0,8
1580532721,0,7
1580533921,4,0
1580535722,0,3
1580537521,1,4
1580538122,1,0
1580539321,2,0
1580540521,0,1
1580541722,4,3
1580542921,27,2
1580543522,1,5
1580546521,1,1
1580547121,1,3
1580548921,0,3
1580551922,0,2
1580553121,4,1
1580553721,3,1
1580554921,0,2
1580555522,1,0
1580557321,1,4
1580557921,0,1
1580559121,0,2
1580560321,0,1
1580560921,1,0
1580561521,0,1
1580562721,2,2
1580563321,1,0
1580563921,1,4
1580565121,2,0
1580566921,17,0
1580568122,4,6
1580569321,0,3
1580569921,1,0
1580570521,13,19
1580571121,1,0
1580571721,0,2
1580572921,16,7
1580573521,4,1
1580574122,2,0
1580575321,4,1
1580575921,1,16
1580577121,1,5
1580577721,0,3
1580578321,1,0
1580578921,1,0
1580580121,2,2
1580580721,4,0
1580581321,3,1
1580581921,1,0
1580582521,2,1
1580583121,2,0
1580583721,1,3
1580584321,1,3
1580584921,2,0
1580585521,3,3
1580586721,28,12
1580587321,1,2
1580587921,3,0
1580588521,4,1
1580589121,2,0
1580589721,2,3
1580590322,0,3
1580590922,1,1
1580591521,1,0
1580592121,1,6
1580592722,4,8
1580593322,3,2
1580593921,4,4
