DateTime,Entries,UniqueIPs
1580330521,4189,4344
1580331721,4188,4344
1580332922,4190,4346
1580333521,4200,4356
1580334721,4200,4356
1580335321,4216,4372
1580336521,4214,4370
1580337121,4217,4373
1580337721,4228,4384
1580338921,4227,4383
1580339521,4238,4394
1580340121,4242,4398
1580340721,4240,4396
1580341321,4242,4398
1580342521,4244,4400
1580343721,4254,4410
1580344321,4253,4409
1580344921,4263,4419
1580346121,4272,4428
1580347322,4270,4426
1580348521,4269,4425
1580349722,4271,4427
1580350921,4278,4435
1580352121,4278,4435
1580353321,4281,4438
1580354521,4281,4438
1580355121,4282,4439
1580355721,4283,4440
1580356921,4293,4453
1580358121,4293,4453
1580358721,4294,4454
1580359321,4263,4423
1580360522,4302,4462
1580361721,4296,4456
1580362321,4293,4453
1580363521,4297,4458
1580364721,4297,4458
1580365321,4296,4457
1580366521,4301,4462
1580367721,4297,4458
1580368921,4302,4463
1580370121,4305,4466
1580371321,4306,4468
1580372521,4307,4469
1580373121,4308,4470
1580374321,4301,4463
1580374922,4299,4461
1580375521,4298,4460
1580377322,4295,4455
1580378521,4296,4456
1580380321,4295,4455
1580380921,4296,4456
1580382121,4301,4461
1580382721,4304,4464
1580383322,4302,4462
1580385121,4306,4466
1580385721,4304,4464
1580386321,4305,4465
1580386921,4308,4468
1580387521,4306,4466
1580388721,4307,4467
1580389921,4305,4465
1580390521,4306,4466
1580391121,4307,4467
1580391722,4306,4466
1580392921,4305,4466
1580394122,4303,4464
1580394721,4305,4466
1580395321,4303,4464
1580396522,4308,4469
1580397121,4305,4466
1580398322,4301,4462
1580398921,4301,4462
1580400121,4323,4484
1580401321,4323,4484
1580402522,4325,4486
1580404321,4324,4485
1580404921,4326,4487
1580405521,4326,4487
1580406721,4324,4484
1580407321,4328,4488
1580407921,4331,4491
1580408521,4332,4492
1580409121,4339,4501
1580409722,4338,4499
1580410921,4339,4499
1580412121,4339,4499
1580412722,4343,4503
1580413321,4341,4501
1580414522,4340,4500
1580416921,4337,4497
1580417521,4340,4500
1580418121,4340,4500
1580419921,4339,4499
1580420521,4338,4499
1580422321,4329,4490
1580422922,4332,4493
1580423522,4329,4490
1580424721,4329,4490
1580425321,4332,4493
1580425921,4329,4490
1580427122,4330,4491
1580428321,4326,4486
1580430121,4327,4487
1580430721,4325,4485
1580431921,4324,4484
1580432521,4326,4486
1580433122,4331,4492
1580433721,4335,4496
1580435521,4336,4497
1580436121,4338,4499
1580436721,4340,4501
1580437921,4342,4503
1580438521,4342,4503
1580439722,4345,4506
1580440321,4343,4504
1580440921,4345,4506
1580442121,4346,4506
1580443322,4345,4505
1580443921,4344,4503
1580444521,4352,4511
1580445721,4350,4508
1580446922,4349,4507
1580448121,4345,4503
1580448721,4345,4502
1580450521,4347,4504
1580451722,4343,4499
1580452322,4348,4504
1580455321,4344,4500
1580456521,4342,4498
1580457721,4345,4501
1580458922,4347,4503
1580460121,4344,4500
1580460721,4342,4498
1580461922,4339,4495
1580463721,4338,4494
1580464321,4336,4492
1580465521,4335,4490
1580466721,4334,4489
1580467921,4333,4487
1580469122,4330,4484
1580470322,4332,4486
1580470921,4332,4486
1580472121,4329,4483
1580472721,4330,4484
1580473922,4328,4482
1580474521,4329,4483
1580475121,4325,4479
1580476321,4322,4476
1580477521,4320,4474
1580478121,4322,4476
1580479921,4320,4474
1580481121,4321,4475
1580482321,4326,4480
1580482921,4324,4478
1580483521,4326,4480
1580484122,4325,4479
1580484721,4322,4476
1580485321,4323,4477
1580485921,4323,4479
1580486522,4320,4476
1580487121,4319,4475
1580487721,4321,4477
1580488321,4322,4478
1580489521,4318,4474
1580490121,4316,4472
1580491321,4316,4471
1580496121,4314,4469
1580497322,4310,4466
1580497922,4310,4466
1580499721,4309,4465
1580500922,4310,4467
1580502121,4307,4464
