DateTime,AddedIPs,RemovedIPs
1580391121,67,67
1580391722,43,43
1580392921,98,98
1580394122,61,61
1580394721,51,51
1580395321,47,47
1580396522,78,78
1580397121,63,63
1580397721,56,56
1580398322,67,67
1580398921,67,67
1580400121,91,91
1580401321,98,98
1580402522,95,95
1580404321,99,99
1580404921,68,68
1580405521,56,56
1580406721,96,96
1580407321,71,71
1580407921,70,70
1580408521,58,58
1580409121,74,74
1580409722,71,71
1580410921,100,100
1580412121,100,100
1580412722,56,56
1580413321,29,29
1580414522,74,74
1580415121,66,66
1580415721,78,78
1580416921,80,80
1580417521,75,75
1580418121,44,44
1580419921,99,99
1580420521,77,77
1580422321,99,99
1580422922,61,61
1580423522,58,58
1580424721,99,99
1580425321,67,67
1580425921,59,59
1580427122,95,95
1580427721,70,70
1580428321,31,31
1580430121,99,99
1580430721,47,47
1580431921,96,96
1580432521,63,63
1580433122,66,66
1580433721,71,71
1580434322,74,74
1580435521,83,83
1580436121,54,54
1580436721,60,60
1580437921,99,99
1580438521,61,61
1580439722,91,91
1580440321,39,39
1580440921,63,63
1580442121,93,93
1580443322,96,96
1580443921,25,25
1580444521,68,68
1580445721,94,94
1580446922,98,98
1580448121,99,99
1580448721,60,60
1580449921,93,93
1580450521,56,56
1580451722,90,90
1580452322,73,73
1580454121,100,100
1580455321,88,88
1580456521,86,86
1580457721,97,97
1580458321,64,64
1580458922,86,86
1580460121,99,99
1580460721,63,63
1580461922,93,93
1580462521,25,25
1580463721,99,99
1580464321,49,49
1580465521,93,93
1580466122,4,4
1580466721,19,19
1580467921,97,97
1580468522,47,47
1580469122,42,42
1580469722,43,43
1580470322,50,50
1580470921,42,42
1580472121,93,93
1580472721,39,39
1580473321,26,26
1580473922,75,75
1580474521,27,27
1580475121,55,55
1580475722,84,84
1580476321,38,38
1580477521,81,81
1580478121,49,49
1580479321,57,57
1580479921,59,59
1580481121,45,45
1580481721,65,65
1580482321,53,53
1580482921,90,90
1580483521,18,18
1580484122,44,44
1580484721,74,74
1580485321,24,24
1580485921,61,61
1580486522,18,18
1580487121,33,33
1580487721,78,78
1580488321,35,35
1580489521,97,97
1580490121,16,16
1580490721,65,65
1580491321,57,57
1580491921,71,71
1580492521,22,22
1580493721,97,97
1580494921,73,73
1580496121,95,95
1580497322,100,100
1580497922,77,77
1580498522,78,78
1580499721,96,96
1580500922,98,98
1580502121,94,94
1580502721,69,69
1580503322,40,40
1580504521,73,73
1580505122,49,49
1580505721,29,29
1580506322,50,50
1580507521,91,91
1580508121,73,73
1580509321,98,98
1580509922,23,23
1580510522,18,18
1580511721,96,96
1580512921,97,97
1580513521,69,69
1580514121,65,65
1580515321,97,97
1580516522,100,100
1580517121,76,76
1580517721,71,71
1580518321,71,71
1580520121,99,99
1580521322,83,83
1580521921,83,83
1580522521,67,67
1580523721,97,97
1580524921,96,96
1580526122,72,72
1580526721,67,67
1580527922,100,100
1580528521,74,74
1580529721,87,87
1580530321,32,32
1580531521,97,97
1580532121,16,16
1580532721,71,71
1580533921,98,98
1580534521,67,67
1580535722,100,100
1580537521,92,92
1580538122,64,64
1580539321,100,100
1580540521,74,74
1580541722,99,99
1580542921,98,98
1580543522,53,53
1580544122,50,50
1580545321,94,94
1580546521,100,100
1580547121,82,82
1580547721,79,79
1580548921,93,93
1580550121,100,100
1580550722,60,60
1580551322,44,44
1580551922,65,65
1580553121,98,98
1580553721,60,60
1580554321,53,53
1580554921,42,42
1580555522,72,72
1580556121,36,36
1580557321,100,100
1580557921,22,22
1580558521,19,19
1580559121,21,21
1580559721,51,51
1580560321,10,10
1580560921,56,56
1580561521,67,67
1580562121,8,8
1580562721,40,40
1580563321,33,33
1580563921,32,32
1580565121,69,69
1580565721,48,48
1580566921,64,64
1580568122,63,63
1580569321,58,58
1580569921,43,43
1580570521,44,44
1580571121,50,50
1580571721,57,57
1580572921,84,84
1580573521,46,46
1580574122,51,51
1580575321,80,80
1580575921,29,29
1580577121,89,89
1580577721,34,34
1580578321,27,27
1580578921,48,48
1580580121,93,93
1580580721,44,44
1580581321,47,47
1580581921,25,25
1580582521,19,19
1580583121,59,59
1580583721,60,60
1580584321,24,24
1580584921,60,60
1580585521,45,45
1580586721,93,93
1580587321,43,43
1580587921,70,70
1580588521,64,64
1580589121,56,56
1580589721,35,35
1580590322,9,9
1580590922,20,20
1580591521,64,64
1580592121,38,38
1580592722,49,49
1580593322,48,48
1580593921,59,59
1580595121,97,97
1580595721,75,75
1580596321,48,48
1580596921,26,26
1580597522,54,54
1580598121,40,40
1580599321,100,100
1580599921,48,48
1580600521,37,37
1580601121,16,16
1580601721,44,44
1580602321,72,72
1580602922,51,51
1580604121,83,83
1580605321,7,7
1580606521,13,13
1580607121,56,56
1580607721,15,15
1580608921,72,72
1580610121,93,93
1580611321,78,78
1580612521,100,100
1580613721,100,100
1580614921,80,80
1580616121,99,99
1580617322,98,98
1580617921,61,61
1580618521,77,77
1580619721,100,100
1580620921,51,51
1580622121,97,97
1580623322,97,97
1580623921,48,48
1580625122,96,96
1580625721,69,69
1580626322,23,23
1580626922,74,74
1580628121,99,99
1580628721,41,41
1580629322,29,29
1580630521,96,96
1580631721,100,100
1580632921,100,100
1580634121,91,91
1580634721,48,48
1580635321,56,56
1580636521,99,99
1580637121,19,19
1580638321,96,96
1580638921,20,20
1580640121,98,98
1580640721,48,48
1580641322,20,20
1580642522,98,98
1580643121,78,78
1580643721,18,18
1580644322,71,71
1580644921,70,70
1580645522,37,37
1580646121,65,65
1580646722,56,56
1580647321,72,72
1580648521,75,75
1580649121,61,61
1580649721,20,20
1580650321,55,55
1580650921,10,10
1580651521,54,54
1580652121,67,67
1580653321,64,64
1580653921,39,39
1580654522,11,11
1580655121,61,61
1580655722,51,51
1580656921,86,86
1580658122,95,95
1580658721,37,37
1580659321,16,16
1580659921,61,61
1580660522,16,16
1580661121,45,45
1580661721,69,69
1580662921,97,97
1580663521,74,74
1580664121,67,67
1580664721,60,60
1580665321,51,51
1580665921,31,31
1580666521,66,66
1580667121,60,60
1580667722,67,67
1580668921,83,83
1580669521,61,61
1580670121,52,52
1580671321,68,68
1580672521,80,80
1580673122,69,69
